,sub_cat,item_name,URL
0,"Cookbooks, Food & Wine",Real-Irish-Food-Classic-Recipes-ebook,/Real-Irish-Food-Classic-Recipes-ebook/dp/B00AQZJ1RW/ref=zg_bs_156154011_1?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
1,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B00AQZJ1RW/ref=zg_bs_156154011_cr_1?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
2,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B00AQZJ1RW/ref=zg_bs_156154011_cr_1?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
3,"Cookbooks, Food & Wine",Real-Irish-Food-Classic-Recipes-ebook,/Real-Irish-Food-Classic-Recipes-ebook/dp/B00AQZJ1RW/ref=zg_bs_156154011_1?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
4,"Cookbooks, Food & Wine",History-World-6-Glasses-ebook,/History-World-6-Glasses-ebook/dp/B002STNBRK/ref=zg_bs_156154011_2?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
5,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B002STNBRK/ref=zg_bs_156154011_cr_2?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
6,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B002STNBRK/ref=zg_bs_156154011_cr_2?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
7,"Cookbooks, Food & Wine",History-World-6-Glasses-ebook,/History-World-6-Glasses-ebook/dp/B002STNBRK/ref=zg_bs_156154011_2?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
8,"Cookbooks, Food & Wine",French-Desserts-Hillary-Davis-ebook,/French-Desserts-Hillary-Davis-ebook/dp/B01KUGQY3A/ref=zg_bs_156154011_3?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
9,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B01KUGQY3A/ref=zg_bs_156154011_cr_3?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
10,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B01KUGQY3A/ref=zg_bs_156154011_cr_3?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
11,"Cookbooks, Food & Wine",French-Desserts-Hillary-Davis-ebook,/French-Desserts-Hillary-Davis-ebook/dp/B01KUGQY3A/ref=zg_bs_156154011_3?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
12,"Cookbooks, Food & Wine",Can-Ferment-Satisfying-Small-Batch-Fermentation-ebook,/Can-Ferment-Satisfying-Small-Batch-Fermentation-ebook/dp/B072DXSRZT/ref=zg_bs_156154011_4?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
13,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B072DXSRZT/ref=zg_bs_156154011_cr_4?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
14,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B072DXSRZT/ref=zg_bs_156154011_cr_4?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
15,"Cookbooks, Food & Wine",Can-Ferment-Satisfying-Small-Batch-Fermentation-ebook,/Can-Ferment-Satisfying-Small-Batch-Fermentation-ebook/dp/B072DXSRZT/ref=zg_bs_156154011_4?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
16,"Cookbooks, Food & Wine",,https://www.amazon.com/gp/new-releases/digital-text/156154011/ref=zg_bs_tab_t_bsnr
17,"Cookbooks, Food & Wine",,https://www.amazon.com/gp/new-releases/digital-text/156154011/ref=zg_bs_tab_t_bsnr
18,"Cookbooks, Food & Wine",Complete-One-Pot-Skillet-Instant-ebook,/Complete-One-Pot-Skillet-Instant-ebook/dp/B084V81V3Y/ref=zg_bs_156154011_5?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
19,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B084V81V3Y/ref=zg_bs_156154011_cr_5?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
20,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B084V81V3Y/ref=zg_bs_156154011_cr_5?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
21,"Cookbooks, Food & Wine",Complete-One-Pot-Skillet-Instant-ebook,/Complete-One-Pot-Skillet-Instant-ebook/dp/B084V81V3Y/ref=zg_bs_156154011_5?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
22,"Cookbooks, Food & Wine",Finding-Freedom-Cooks-Remaking-Scratch-ebook,/Finding-Freedom-Cooks-Remaking-Scratch-ebook/dp/B088Q9X35M/ref=zg_bs_156154011_6?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
23,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B088Q9X35M/ref=zg_bs_156154011_cr_6?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
24,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B088Q9X35M/ref=zg_bs_156154011_cr_6?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
25,"Cookbooks, Food & Wine",Finding-Freedom-Cooks-Remaking-Scratch-ebook,/Finding-Freedom-Cooks-Remaking-Scratch-ebook/dp/B088Q9X35M/ref=zg_bs_156154011_6?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
26,"Cookbooks, Food & Wine",Stunning-Spreads-Entertaining-Cheese-Charcuterie-ebook,/Stunning-Spreads-Entertaining-Cheese-Charcuterie-ebook/dp/B07Z42XYXB/ref=zg_bs_156154011_7?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
27,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B07Z42XYXB/ref=zg_bs_156154011_cr_7?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
28,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B07Z42XYXB/ref=zg_bs_156154011_cr_7?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
29,"Cookbooks, Food & Wine",Stunning-Spreads-Entertaining-Cheese-Charcuterie-ebook,/Stunning-Spreads-Entertaining-Cheese-Charcuterie-ebook/dp/B07Z42XYXB/ref=zg_bs_156154011_7?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
30,"Cookbooks, Food & Wine",Elis-Cheesecake-Cookbook-Remarkable-Recipes-ebook,/Elis-Cheesecake-Cookbook-Remarkable-Recipes-ebook/dp/B0165X48KS/ref=zg_bs_156154011_8?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
31,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B0165X48KS/ref=zg_bs_156154011_cr_8?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
32,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B0165X48KS/ref=zg_bs_156154011_cr_8?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
33,"Cookbooks, Food & Wine",Elis-Cheesecake-Cookbook-Remarkable-Recipes-ebook,/Elis-Cheesecake-Cookbook-Remarkable-Recipes-ebook/dp/B0165X48KS/ref=zg_bs_156154011_8?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
34,"Cookbooks, Food & Wine",Mystery-Writers-America-Cookbook-Wickedly-ebook,/Mystery-Writers-America-Cookbook-Wickedly-ebook/dp/B00N6PBELA/ref=zg_bs_156154011_9?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
35,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B00N6PBELA/ref=zg_bs_156154011_cr_9?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
36,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B00N6PBELA/ref=zg_bs_156154011_cr_9?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
37,"Cookbooks, Food & Wine",Mystery-Writers-America-Cookbook-Wickedly-ebook,/Mystery-Writers-America-Cookbook-Wickedly-ebook/dp/B00N6PBELA/ref=zg_bs_156154011_9?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
38,"Cookbooks, Food & Wine",Mediterranean-Instant-Pot-Inspired-Eating-ebook,/Mediterranean-Instant-Pot-Inspired-Eating-ebook/dp/B07Q7VYG6B/ref=zg_bs_156154011_10?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
39,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B07Q7VYG6B/ref=zg_bs_156154011_cr_10?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
40,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B07Q7VYG6B/ref=zg_bs_156154011_cr_10?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
41,"Cookbooks, Food & Wine",Mediterranean-Instant-Pot-Inspired-Eating-ebook,/Mediterranean-Instant-Pot-Inspired-Eating-ebook/dp/B07Q7VYG6B/ref=zg_bs_156154011_10?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
42,"Cookbooks, Food & Wine",Hungry-Eating-Road-Tripping-Risking-Greatest-ebook,/Hungry-Eating-Road-Tripping-Risking-Greatest-ebook/dp/B07JFM9CMR/ref=zg_bs_156154011_11?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
43,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B07JFM9CMR/ref=zg_bs_156154011_cr_11?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
44,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B07JFM9CMR/ref=zg_bs_156154011_cr_11?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
45,"Cookbooks, Food & Wine",Hungry-Eating-Road-Tripping-Risking-Greatest-ebook,/Hungry-Eating-Road-Tripping-Risking-Greatest-ebook/dp/B07JFM9CMR/ref=zg_bs_156154011_11?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
46,"Cookbooks, Food & Wine",Complete-Diabetes-Cookbook-Healthy-Foods-ebook,/Complete-Diabetes-Cookbook-Healthy-Foods-ebook/dp/B07F5ZMTWY/ref=zg_bs_156154011_12?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
47,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B07F5ZMTWY/ref=zg_bs_156154011_cr_12?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
48,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B07F5ZMTWY/ref=zg_bs_156154011_cr_12?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
49,"Cookbooks, Food & Wine",Complete-Diabetes-Cookbook-Healthy-Foods-ebook,/Complete-Diabetes-Cookbook-Healthy-Foods-ebook/dp/B07F5ZMTWY/ref=zg_bs_156154011_12?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
50,"Cookbooks, Food & Wine",Plant-Based-Cooking-Made-Easy-ebook,/Plant-Based-Cooking-Made-Easy-ebook/dp/B084FL6S1J/ref=zg_bs_156154011_13?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
51,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B084FL6S1J/ref=zg_bs_156154011_cr_13?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
52,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B084FL6S1J/ref=zg_bs_156154011_cr_13?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
53,"Cookbooks, Food & Wine",Plant-Based-Cooking-Made-Easy-ebook,/Plant-Based-Cooking-Made-Easy-ebook/dp/B084FL6S1J/ref=zg_bs_156154011_13?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
54,"Cookbooks, Food & Wine",Complete-Anti-Inflammatory-Diet-Beginners-No-Stress-ebook,/Complete-Anti-Inflammatory-Diet-Beginners-No-Stress-ebook/dp/B06XPZ9RCJ/ref=zg_bs_156154011_14?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
55,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B06XPZ9RCJ/ref=zg_bs_156154011_cr_14?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
56,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B06XPZ9RCJ/ref=zg_bs_156154011_cr_14?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
57,"Cookbooks, Food & Wine",Complete-Anti-Inflammatory-Diet-Beginners-No-Stress-ebook,/Complete-Anti-Inflammatory-Diet-Beginners-No-Stress-ebook/dp/B06XPZ9RCJ/ref=zg_bs_156154011_14?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
58,"Cookbooks, Food & Wine",Weight-Watchers-Family-Meals-Lifestyle-ebook,/Weight-Watchers-Family-Meals-Lifestyle-ebook/dp/B01DB530YI/ref=zg_bs_156154011_15?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
59,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B01DB530YI/ref=zg_bs_156154011_cr_15?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
60,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B01DB530YI/ref=zg_bs_156154011_cr_15?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
61,"Cookbooks, Food & Wine",Weight-Watchers-Family-Meals-Lifestyle-ebook,/Weight-Watchers-Family-Meals-Lifestyle-ebook/dp/B01DB530YI/ref=zg_bs_156154011_15?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
62,"Cookbooks, Food & Wine",Vegan-Everybody-Foolproof-Plant-Based-Between-ebook,/Vegan-Everybody-Foolproof-Plant-Based-Between-ebook/dp/B01I85OZDQ/ref=zg_bs_156154011_16?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
63,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B01I85OZDQ/ref=zg_bs_156154011_cr_16?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
64,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B01I85OZDQ/ref=zg_bs_156154011_cr_16?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
65,"Cookbooks, Food & Wine",Vegan-Everybody-Foolproof-Plant-Based-Between-ebook,/Vegan-Everybody-Foolproof-Plant-Based-Between-ebook/dp/B01I85OZDQ/ref=zg_bs_156154011_16?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
66,"Cookbooks, Food & Wine",Forks-Over-Knives-Whole-Food-Plant-Based-ebook,/Forks-Over-Knives-Whole-Food-Plant-Based-ebook/dp/B072BFJCP6/ref=zg_bs_156154011_17?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
67,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B072BFJCP6/ref=zg_bs_156154011_cr_17?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
68,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B072BFJCP6/ref=zg_bs_156154011_cr_17?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
69,"Cookbooks, Food & Wine",Forks-Over-Knives-Whole-Food-Plant-Based-ebook,/Forks-Over-Knives-Whole-Food-Plant-Based-ebook/dp/B072BFJCP6/ref=zg_bs_156154011_17?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
70,"Cookbooks, Food & Wine",Complete-Ketogenic-Diet-Beginners-Essential-ebook,/Complete-Ketogenic-Diet-Beginners-Essential-ebook/dp/B01N9892Q6/ref=zg_bs_156154011_18?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
71,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B01N9892Q6/ref=zg_bs_156154011_cr_18?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
72,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B01N9892Q6/ref=zg_bs_156154011_cr_18?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
73,"Cookbooks, Food & Wine",Complete-Ketogenic-Diet-Beginners-Essential-ebook,/Complete-Ketogenic-Diet-Beginners-Essential-ebook/dp/B01N9892Q6/ref=zg_bs_156154011_18?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
74,"Cookbooks, Food & Wine",Americas-Test-Kitchen-Pancakes-Waffles-ebook,/Americas-Test-Kitchen-Pancakes-Waffles-ebook/dp/B01N7SLHPQ/ref=zg_bs_156154011_19?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
75,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B01N7SLHPQ/ref=zg_bs_156154011_cr_19?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
76,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B01N7SLHPQ/ref=zg_bs_156154011_cr_19?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
77,"Cookbooks, Food & Wine",Americas-Test-Kitchen-Pancakes-Waffles-ebook,/Americas-Test-Kitchen-Pancakes-Waffles-ebook/dp/B01N7SLHPQ/ref=zg_bs_156154011_19?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
78,"Cookbooks, Food & Wine",Forget-Me-Not-My-Love-ebook,/Forget-Me-Not-My-Love-ebook/dp/B08XXKMWKD/ref=zg_bs_156154011_20?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
79,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B08XXKMWKD/ref=zg_bs_156154011_cr_20?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
80,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B08XXKMWKD/ref=zg_bs_156154011_cr_20?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
81,"Cookbooks, Food & Wine",Forget-Me-Not-My-Love-ebook,/Forget-Me-Not-My-Love-ebook/dp/B08XXKMWKD/ref=zg_bs_156154011_20?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
82,"Cookbooks, Food & Wine",Indian-Instant-Pot-Cookbook-Traditional-ebook,/Indian-Instant-Pot-Cookbook-Traditional-ebook/dp/B088WTWQCK/ref=zg_bs_156154011_21?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
83,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B088WTWQCK/ref=zg_bs_156154011_cr_21?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
84,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B088WTWQCK/ref=zg_bs_156154011_cr_21?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
85,"Cookbooks, Food & Wine",Indian-Instant-Pot-Cookbook-Traditional-ebook,/Indian-Instant-Pot-Cookbook-Traditional-ebook/dp/B088WTWQCK/ref=zg_bs_156154011_21?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
86,"Cookbooks, Food & Wine",Ama-Tex-Mex-Kitchen-Betty-Hallock-ebook,/Ama-Tex-Mex-Kitchen-Betty-Hallock-ebook/dp/B07VJ2SZHJ/ref=zg_bs_156154011_22?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
87,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B07VJ2SZHJ/ref=zg_bs_156154011_cr_22?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
88,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B07VJ2SZHJ/ref=zg_bs_156154011_cr_22?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
89,"Cookbooks, Food & Wine",Ama-Tex-Mex-Kitchen-Betty-Hallock-ebook,/Ama-Tex-Mex-Kitchen-Betty-Hallock-ebook/dp/B07VJ2SZHJ/ref=zg_bs_156154011_22?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
90,"Cookbooks, Food & Wine",Plenty-Vibrant-Vegetable-Recipes-Ottolenghi-ebook,/Plenty-Vibrant-Vegetable-Recipes-Ottolenghi-ebook/dp/B005CRY2O6/ref=zg_bs_156154011_23?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
91,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B005CRY2O6/ref=zg_bs_156154011_cr_23?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
92,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B005CRY2O6/ref=zg_bs_156154011_cr_23?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
93,"Cookbooks, Food & Wine",Plenty-Vibrant-Vegetable-Recipes-Ottolenghi-ebook,/Plenty-Vibrant-Vegetable-Recipes-Ottolenghi-ebook/dp/B005CRY2O6/ref=zg_bs_156154011_23?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
94,"Cookbooks, Food & Wine",Season-Big-Flavors-Beautiful-Food-ebook,/Season-Big-Flavors-Beautiful-Food-ebook/dp/B07F55N2JF/ref=zg_bs_156154011_24?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
95,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B07F55N2JF/ref=zg_bs_156154011_cr_24?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
96,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B07F55N2JF/ref=zg_bs_156154011_cr_24?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
97,"Cookbooks, Food & Wine",Season-Big-Flavors-Beautiful-Food-ebook,/Season-Big-Flavors-Beautiful-Food-ebook/dp/B07F55N2JF/ref=zg_bs_156154011_24?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
98,"Cookbooks, Food & Wine",Crying-Mart-Memoir-Michelle-Zauner-ebook,/Crying-Mart-Memoir-Michelle-Zauner-ebook/dp/B08DMXF7ZZ/ref=zg_bs_156154011_25?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
99,"Cookbooks, Food & Wine",Crying-Mart-Memoir-Michelle-Zauner-ebook,/Crying-Mart-Memoir-Michelle-Zauner-ebook/dp/B08DMXF7ZZ/ref=zg_bs_156154011_25?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
100,"Cookbooks, Food & Wine",ENERGY-Formula-Ingredients-Limitless-Potential-ebook,/ENERGY-Formula-Ingredients-Limitless-Potential-ebook/dp/B08SCM7MHB/ref=zg_bs_156154011_26?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
101,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B08SCM7MHB/ref=zg_bs_156154011_cr_26?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
102,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B08SCM7MHB/ref=zg_bs_156154011_cr_26?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
103,"Cookbooks, Food & Wine",ENERGY-Formula-Ingredients-Limitless-Potential-ebook,/ENERGY-Formula-Ingredients-Limitless-Potential-ebook/dp/B08SCM7MHB/ref=zg_bs_156154011_26?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
104,"Cookbooks, Food & Wine",30-Minute-Mediterranean-Diet-Cookbook-Flavorful-ebook,/30-Minute-Mediterranean-Diet-Cookbook-Flavorful-ebook/dp/B07HXGLK9B/ref=zg_bs_156154011_27?_encoding=UTF8&psc=1&refRID=RKS4NRS75BBFHHJG2PKT
105,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B07HXGLK9B/ref=zg_bs_156154011_cr_27?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
106,"Cookbooks, Food & Wine",product-reviews,/product-reviews/B07HXGLK9B/ref=zg_bs_156154011_cr_27?ie=UTF8&refRID=RKS4NRS75BBFHHJG2PKT
