,sub_cat,item_name,URL
0,"Crafts, Hobbies & Home",Life-Changing-Magic-Tidying-Decluttering-Organizing-ebook,/Life-Changing-Magic-Tidying-Decluttering-Organizing-ebook/dp/B00KK0PICK/ref=zg_bs_156699011_1?_encoding=UTF8&psc=1&refRID=W5S6NDFH4NY2ECB7V4XC
1,"Crafts, Hobbies & Home",product-reviews,/product-reviews/B00KK0PICK/ref=zg_bs_156699011_cr_1?ie=UTF8&refRID=W5S6NDFH4NY2ECB7V4XC
2,"Crafts, Hobbies & Home",product-reviews,/product-reviews/B00KK0PICK/ref=zg_bs_156699011_cr_1?ie=UTF8&refRID=W5S6NDFH4NY2ECB7V4XC
3,"Crafts, Hobbies & Home",Life-Changing-Magic-Tidying-Decluttering-Organizing-ebook,/Life-Changing-Magic-Tidying-Decluttering-Organizing-ebook/dp/B00KK0PICK/ref=zg_bs_156699011_1?_encoding=UTF8&psc=1&refRID=W5S6NDFH4NY2ECB7V4XC
4,"Crafts, Hobbies & Home",My-Creative-Space-Stimulate-Innovation-ebook,/My-Creative-Space-Stimulate-Innovation-ebook/dp/B07RKY7GQC/ref=zg_bs_156699011_2?_encoding=UTF8&psc=1&refRID=W5S6NDFH4NY2ECB7V4XC
5,"Crafts, Hobbies & Home",product-reviews,/product-reviews/B07RKY7GQC/ref=zg_bs_156699011_cr_2?ie=UTF8&refRID=W5S6NDFH4NY2ECB7V4XC
6,"Crafts, Hobbies & Home",product-reviews,/product-reviews/B07RKY7GQC/ref=zg_bs_156699011_cr_2?ie=UTF8&refRID=W5S6NDFH4NY2ECB7V4XC
7,"Crafts, Hobbies & Home",My-Creative-Space-Stimulate-Innovation-ebook,/My-Creative-Space-Stimulate-Innovation-ebook/dp/B07RKY7GQC/ref=zg_bs_156699011_2?_encoding=UTF8&psc=1&refRID=W5S6NDFH4NY2ECB7V4XC
8,"Crafts, Hobbies & Home",Rescue-Found-Dogs-Mission-ebook,/Rescue-Found-Dogs-Mission-ebook/dp/B004ULMWXS/ref=zg_bs_156699011_3?_encoding=UTF8&psc=1&refRID=W5S6NDFH4NY2ECB7V4XC
9,"Crafts, Hobbies & Home",product-reviews,/product-reviews/B004ULMWXS/ref=zg_bs_156699011_cr_3?ie=UTF8&refRID=W5S6NDFH4NY2ECB7V4XC
10,"Crafts, Hobbies & Home",product-reviews,/product-reviews/B004ULMWXS/ref=zg_bs_156699011_cr_3?ie=UTF8&refRID=W5S6NDFH4NY2ECB7V4XC
11,"Crafts, Hobbies & Home",Rescue-Found-Dogs-Mission-ebook,/Rescue-Found-Dogs-Mission-ebook/dp/B004ULMWXS/ref=zg_bs_156699011_3?_encoding=UTF8&psc=1&refRID=W5S6NDFH4NY2ECB7V4XC
12,"Crafts, Hobbies & Home",Boy-Who-Talked-Dogs-Memoir-ebook,/Boy-Who-Talked-Dogs-Memoir-ebook/dp/B00MSYV186/ref=zg_bs_156699011_4?_encoding=UTF8&psc=1&refRID=W5S6NDFH4NY2ECB7V4XC
13,"Crafts, Hobbies & Home",product-reviews,/product-reviews/B00MSYV186/ref=zg_bs_156699011_cr_4?ie=UTF8&refRID=W5S6NDFH4NY2ECB7V4XC
14,"Crafts, Hobbies & Home",product-reviews,/product-reviews/B00MSYV186/ref=zg_bs_156699011_cr_4?ie=UTF8&refRID=W5S6NDFH4NY2ECB7V4XC
15,"Crafts, Hobbies & Home",Boy-Who-Talked-Dogs-Memoir-ebook,/Boy-Who-Talked-Dogs-Memoir-ebook/dp/B00MSYV186/ref=zg_bs_156699011_4?_encoding=UTF8&psc=1&refRID=W5S6NDFH4NY2ECB7V4XC
16,"Crafts, Hobbies & Home",,https://www.amazon.com/gp/new-releases/digital-text/156699011/ref=zg_bs_tab_t_bsnr
17,"Crafts, Hobbies & Home",,https://www.amazon.com/gp/new-releases/digital-text/156699011/ref=zg_bs_tab_t_bsnr
18,"Crafts, Hobbies & Home",Elements-Home-Histories-Everyday-Household-ebook,/Elements-Home-Histories-Everyday-Household-ebook/dp/B084H29C9Q/ref=zg_bs_156699011_5?_encoding=UTF8&psc=1&refRID=W5S6NDFH4NY2ECB7V4XC
19,"Crafts, Hobbies & Home",product-reviews,/product-reviews/B084H29C9Q/ref=zg_bs_156699011_cr_5?ie=UTF8&refRID=W5S6NDFH4NY2ECB7V4XC
20,"Crafts, Hobbies & Home",product-reviews,/product-reviews/B084H29C9Q/ref=zg_bs_156699011_cr_5?ie=UTF8&refRID=W5S6NDFH4NY2ECB7V4XC
21,"Crafts, Hobbies & Home",Elements-Home-Histories-Everyday-Household-ebook,/Elements-Home-Histories-Everyday-Household-ebook/dp/B084H29C9Q/ref=zg_bs_156699011_5?_encoding=UTF8&psc=1&refRID=W5S6NDFH4NY2ECB7V4XC
22,"Crafts, Hobbies & Home",Every-Living-Thing-Creatures-Great-ebook,/Every-Living-Thing-Creatures-Great-ebook/dp/B0060QM0DS/ref=zg_bs_156699011_6?_encoding=UTF8&psc=1&refRID=W5S6NDFH4NY2ECB7V4XC
23,"Crafts, Hobbies & Home",product-reviews,/product-reviews/B0060QM0DS/ref=zg_bs_156699011_cr_6?ie=UTF8&refRID=W5S6NDFH4NY2ECB7V4XC
24,"Crafts, Hobbies & Home",product-reviews,/product-reviews/B0060QM0DS/ref=zg_bs_156699011_cr_6?ie=UTF8&refRID=W5S6NDFH4NY2ECB7V4XC
25,"Crafts, Hobbies & Home",Every-Living-Thing-Creatures-Great-ebook,/Every-Living-Thing-Creatures-Great-ebook/dp/B0060QM0DS/ref=zg_bs_156699011_6?_encoding=UTF8&psc=1&refRID=W5S6NDFH4NY2ECB7V4XC
26,"Crafts, Hobbies & Home",Down-Earth-Gardening-Monty-Don-ebook,/Down-Earth-Gardening-Monty-Don-ebook/dp/B081G9N89V/ref=zg_bs_156699011_7?_encoding=UTF8&psc=1&refRID=W5S6NDFH4NY2ECB7V4XC
27,"Crafts, Hobbies & Home",product-reviews,/product-reviews/B081G9N89V/ref=zg_bs_156699011_cr_7?ie=UTF8&refRID=W5S6NDFH4NY2ECB7V4XC
28,"Crafts, Hobbies & Home",product-reviews,/product-reviews/B081G9N89V/ref=zg_bs_156699011_cr_7?ie=UTF8&refRID=W5S6NDFH4NY2ECB7V4XC
29,"Crafts, Hobbies & Home",Down-Earth-Gardening-Monty-Don-ebook,/Down-Earth-Gardening-Monty-Don-ebook/dp/B081G9N89V/ref=zg_bs_156699011_7?_encoding=UTF8&psc=1&refRID=W5S6NDFH4NY2ECB7V4XC
30,"Crafts, Hobbies & Home",Magnolia-Story-Bonus-Content-ebook,/Magnolia-Story-Bonus-Content-ebook/dp/B01CH2EW20/ref=zg_bs_156699011_8?_encoding=UTF8&psc=1&refRID=W5S6NDFH4NY2ECB7V4XC
