,sub_cat,item_name,URL
0,Dramas & Plays,Standing-Rainbow-Ballantine-Readers-Circle-ebook,/Standing-Rainbow-Ballantine-Readers-Circle-ebook/dp/B000FC1V2Y/ref=zg_bs_2159_1?_encoding=UTF8&psc=1&refRID=D0BEBZZQK16HT5A1X8CV
1,Dramas & Plays,product-reviews,/product-reviews/B000FC1V2Y/ref=zg_bs_2159_cr_1?ie=UTF8&refRID=D0BEBZZQK16HT5A1X8CV
2,Dramas & Plays,product-reviews,/product-reviews/B000FC1V2Y/ref=zg_bs_2159_cr_1?ie=UTF8&refRID=D0BEBZZQK16HT5A1X8CV
3,Dramas & Plays,Standing-Rainbow-Ballantine-Readers-Circle-ebook,/Standing-Rainbow-Ballantine-Readers-Circle-ebook/dp/B000FC1V2Y/ref=zg_bs_2159_1?_encoding=UTF8&psc=1&refRID=D0BEBZZQK16HT5A1X8CV
4,Dramas & Plays,Crucible-Arthur-Miller-ebook,/Crucible-Arthur-Miller-ebook/dp/B0023ZLLBM/ref=zg_bs_2159_2?_encoding=UTF8&psc=1&refRID=D0BEBZZQK16HT5A1X8CV
5,Dramas & Plays,product-reviews,/product-reviews/B0023ZLLBM/ref=zg_bs_2159_cr_2?ie=UTF8&refRID=D0BEBZZQK16HT5A1X8CV
6,Dramas & Plays,product-reviews,/product-reviews/B0023ZLLBM/ref=zg_bs_2159_cr_2?ie=UTF8&refRID=D0BEBZZQK16HT5A1X8CV
7,Dramas & Plays,Crucible-Arthur-Miller-ebook,/Crucible-Arthur-Miller-ebook/dp/B0023ZLLBM/ref=zg_bs_2159_2?_encoding=UTF8&psc=1&refRID=D0BEBZZQK16HT5A1X8CV
8,Dramas & Plays,People-Meet-Vacation-Emily-Henry,/People-Meet-Vacation-Emily-Henry/dp/1984806750/ref=zg_bs_2159_3?_encoding=UTF8&psc=1&refRID=D0BEBZZQK16HT5A1X8CV
9,Dramas & Plays,People-Meet-Vacation-Emily-Henry,/People-Meet-Vacation-Emily-Henry/dp/1984806750/ref=zg_bs_2159_3?_encoding=UTF8&psc=1&refRID=D0BEBZZQK16HT5A1X8CV
10,Dramas & Plays,Way-Househusband-Vol-Kousuke-Oono,/Way-Househusband-Vol-Kousuke-Oono/dp/197470940X/ref=zg_bs_2159_4?_encoding=UTF8&psc=1&refRID=D0BEBZZQK16HT5A1X8CV
11,Dramas & Plays,product-reviews,/product-reviews/197470940X/ref=zg_bs_2159_cr_4?ie=UTF8&refRID=D0BEBZZQK16HT5A1X8CV
12,Dramas & Plays,product-reviews,/product-reviews/197470940X/ref=zg_bs_2159_cr_4?ie=UTF8&refRID=D0BEBZZQK16HT5A1X8CV
13,Dramas & Plays,Way-Househusband-Vol-Kousuke-Oono,/Way-Househusband-Vol-Kousuke-Oono/dp/197470940X/ref=zg_bs_2159_4?_encoding=UTF8&psc=1&refRID=D0BEBZZQK16HT5A1X8CV
