,sub_cat,item_name,URL
0,Education & Teaching,Uncomfortable-Conversations-Black-Emmanuel-Acho-ebook,/Uncomfortable-Conversations-Black-Emmanuel-Acho-ebook/dp/B08BKMV54M/ref=zg_bs_158125011_1?_encoding=UTF8&psc=1&refRID=B85062WZT3YFVDNQEWG5
1,Education & Teaching,product-reviews,/product-reviews/B08BKMV54M/ref=zg_bs_158125011_cr_1?ie=UTF8&refRID=B85062WZT3YFVDNQEWG5
2,Education & Teaching,product-reviews,/product-reviews/B08BKMV54M/ref=zg_bs_158125011_cr_1?ie=UTF8&refRID=B85062WZT3YFVDNQEWG5
3,Education & Teaching,Uncomfortable-Conversations-Black-Emmanuel-Acho-ebook,/Uncomfortable-Conversations-Black-Emmanuel-Acho-ebook/dp/B08BKMV54M/ref=zg_bs_158125011_1?_encoding=UTF8&psc=1&refRID=B85062WZT3YFVDNQEWG5
4,Education & Teaching,Master-Your-Emotions-Practical-Negativity-ebook,/Master-Your-Emotions-Practical-Negativity-ebook/dp/B07CX8H6YH/ref=zg_bs_158125011_2?_encoding=UTF8&psc=1&refRID=B85062WZT3YFVDNQEWG5
5,Education & Teaching,product-reviews,/product-reviews/B07CX8H6YH/ref=zg_bs_158125011_cr_2?ie=UTF8&refRID=B85062WZT3YFVDNQEWG5
6,Education & Teaching,product-reviews,/product-reviews/B07CX8H6YH/ref=zg_bs_158125011_cr_2?ie=UTF8&refRID=B85062WZT3YFVDNQEWG5
7,Education & Teaching,Master-Your-Emotions-Practical-Negativity-ebook,/Master-Your-Emotions-Practical-Negativity-ebook/dp/B07CX8H6YH/ref=zg_bs_158125011_2?_encoding=UTF8&psc=1&refRID=B85062WZT3YFVDNQEWG5
8,Education & Teaching,Speed-Read-Anything-Retention-Learning-ebook,/Speed-Read-Anything-Retention-Learning-ebook/dp/B0927THHMT/ref=zg_bs_158125011_3?_encoding=UTF8&psc=1&refRID=B85062WZT3YFVDNQEWG5
9,Education & Teaching,product-reviews,/product-reviews/B0927THHMT/ref=zg_bs_158125011_cr_3?ie=UTF8&refRID=B85062WZT3YFVDNQEWG5
10,Education & Teaching,product-reviews,/product-reviews/B0927THHMT/ref=zg_bs_158125011_cr_3?ie=UTF8&refRID=B85062WZT3YFVDNQEWG5
11,Education & Teaching,Speed-Read-Anything-Retention-Learning-ebook,/Speed-Read-Anything-Retention-Learning-ebook/dp/B0927THHMT/ref=zg_bs_158125011_3?_encoding=UTF8&psc=1&refRID=B85062WZT3YFVDNQEWG5
12,Education & Teaching,Read-People-Like-Book-Charismatic-ebook,/Read-People-Like-Book-Charismatic-ebook/dp/B08PT6S7ZW/ref=zg_bs_158125011_4?_encoding=UTF8&psc=1&refRID=B85062WZT3YFVDNQEWG5
13,Education & Teaching,product-reviews,/product-reviews/B08PT6S7ZW/ref=zg_bs_158125011_cr_4?ie=UTF8&refRID=B85062WZT3YFVDNQEWG5
14,Education & Teaching,product-reviews,/product-reviews/B08PT6S7ZW/ref=zg_bs_158125011_cr_4?ie=UTF8&refRID=B85062WZT3YFVDNQEWG5
15,Education & Teaching,Read-People-Like-Book-Charismatic-ebook,/Read-People-Like-Book-Charismatic-ebook/dp/B08PT6S7ZW/ref=zg_bs_158125011_4?_encoding=UTF8&psc=1&refRID=B85062WZT3YFVDNQEWG5
16,Education & Teaching,,https://www.amazon.com/gp/new-releases/digital-text/158125011/ref=zg_bs_tab_t_bsnr
17,Education & Teaching,,https://www.amazon.com/gp/new-releases/digital-text/158125011/ref=zg_bs_tab_t_bsnr
18,Education & Teaching,Super-Learning-Strategies-Comprehension-Accelerated-ebook,/Super-Learning-Strategies-Comprehension-Accelerated-ebook/dp/B08Y7S9VQS/ref=zg_bs_158125011_5?_encoding=UTF8&psc=1&refRID=B85062WZT3YFVDNQEWG5
19,Education & Teaching,product-reviews,/product-reviews/B08Y7S9VQS/ref=zg_bs_158125011_cr_5?ie=UTF8&refRID=B85062WZT3YFVDNQEWG5
20,Education & Teaching,product-reviews,/product-reviews/B08Y7S9VQS/ref=zg_bs_158125011_cr_5?ie=UTF8&refRID=B85062WZT3YFVDNQEWG5
21,Education & Teaching,Super-Learning-Strategies-Comprehension-Accelerated-ebook,/Super-Learning-Strategies-Comprehension-Accelerated-ebook/dp/B08Y7S9VQS/ref=zg_bs_158125011_5?_encoding=UTF8&psc=1&refRID=B85062WZT3YFVDNQEWG5
22,Education & Teaching,Limitless-Science-that-Unlocks-Potential-ebook,/Limitless-Science-that-Unlocks-Potential-ebook/dp/B07CRH312M/ref=zg_bs_158125011_6?_encoding=UTF8&psc=1&refRID=B85062WZT3YFVDNQEWG5
23,Education & Teaching,product-reviews,/product-reviews/B07CRH312M/ref=zg_bs_158125011_cr_6?ie=UTF8&refRID=B85062WZT3YFVDNQEWG5
24,Education & Teaching,product-reviews,/product-reviews/B07CRH312M/ref=zg_bs_158125011_cr_6?ie=UTF8&refRID=B85062WZT3YFVDNQEWG5
25,Education & Teaching,Limitless-Science-that-Unlocks-Potential-ebook,/Limitless-Science-that-Unlocks-Potential-ebook/dp/B07CRH312M/ref=zg_bs_158125011_6?_encoding=UTF8&psc=1&refRID=B85062WZT3YFVDNQEWG5
26,Education & Teaching,History-California-Captivating-Americans-Exploration-ebook,/History-California-Captivating-Americans-Exploration-ebook/dp/B091TS3LJG/ref=zg_bs_158125011_7?_encoding=UTF8&psc=1&refRID=B85062WZT3YFVDNQEWG5
27,Education & Teaching,product-reviews,/product-reviews/B091TS3LJG/ref=zg_bs_158125011_cr_7?ie=UTF8&refRID=B85062WZT3YFVDNQEWG5
28,Education & Teaching,product-reviews,/product-reviews/B091TS3LJG/ref=zg_bs_158125011_cr_7?ie=UTF8&refRID=B85062WZT3YFVDNQEWG5
29,Education & Teaching,History-California-Captivating-Americans-Exploration-ebook,/History-California-Captivating-Americans-Exploration-ebook/dp/B091TS3LJG/ref=zg_bs_158125011_7?_encoding=UTF8&psc=1&refRID=B85062WZT3YFVDNQEWG5
30,Education & Teaching,Money-Honey-Getting-Financial-Together-ebook,/Money-Honey-Getting-Financial-Together-ebook/dp/B075HGM2WG/ref=zg_bs_158125011_8?_encoding=UTF8&psc=1&refRID=B85062WZT3YFVDNQEWG5
31,Education & Teaching,product-reviews,/product-reviews/B075HGM2WG/ref=zg_bs_158125011_cr_8?ie=UTF8&refRID=B85062WZT3YFVDNQEWG5
32,Education & Teaching,product-reviews,/product-reviews/B075HGM2WG/ref=zg_bs_158125011_cr_8?ie=UTF8&refRID=B85062WZT3YFVDNQEWG5
33,Education & Teaching,Money-Honey-Getting-Financial-Together-ebook,/Money-Honey-Getting-Financial-Together-ebook/dp/B075HGM2WG/ref=zg_bs_158125011_8?_encoding=UTF8&psc=1&refRID=B85062WZT3YFVDNQEWG5
34,Education & Teaching,Blackout-America-Second-Democrat-Plantation-ebook,/Blackout-America-Second-Democrat-Plantation-ebook/dp/B07W7D4WN4/ref=zg_bs_158125011_9?_encoding=UTF8&psc=1&refRID=B85062WZT3YFVDNQEWG5
35,Education & Teaching,product-reviews,/product-reviews/B07W7D4WN4/ref=zg_bs_158125011_cr_9?ie=UTF8&refRID=B85062WZT3YFVDNQEWG5
36,Education & Teaching,product-reviews,/product-reviews/B07W7D4WN4/ref=zg_bs_158125011_cr_9?ie=UTF8&refRID=B85062WZT3YFVDNQEWG5
37,Education & Teaching,Blackout-America-Second-Democrat-Plantation-ebook,/Blackout-America-Second-Democrat-Plantation-ebook/dp/B07W7D4WN4/ref=zg_bs_158125011_9?_encoding=UTF8&psc=1&refRID=B85062WZT3YFVDNQEWG5
38,Education & Teaching,Unlimited-Memory-Advanced-Strategies-Productive-ebook,/Unlimited-Memory-Advanced-Strategies-Productive-ebook/dp/B00I3QS1XQ/ref=zg_bs_158125011_10?_encoding=UTF8&psc=1&refRID=B85062WZT3YFVDNQEWG5
39,Education & Teaching,product-reviews,/product-reviews/B00I3QS1XQ/ref=zg_bs_158125011_cr_10?ie=UTF8&refRID=B85062WZT3YFVDNQEWG5
40,Education & Teaching,product-reviews,/product-reviews/B00I3QS1XQ/ref=zg_bs_158125011_cr_10?ie=UTF8&refRID=B85062WZT3YFVDNQEWG5
