,sub_cat,item_name,URL
0,Engineering & Transportation,Longitude-Genius-Greatest-Scientific-Problem-ebook,/Longitude-Genius-Greatest-Scientific-Problem-ebook/dp/B003WUYE66/ref=zg_bs_157626011_1?_encoding=UTF8&psc=1&refRID=8BVPC7P8W9P376KJRAXB
1,Engineering & Transportation,product-reviews,/product-reviews/B003WUYE66/ref=zg_bs_157626011_cr_1?ie=UTF8&refRID=8BVPC7P8W9P376KJRAXB
2,Engineering & Transportation,product-reviews,/product-reviews/B003WUYE66/ref=zg_bs_157626011_cr_1?ie=UTF8&refRID=8BVPC7P8W9P376KJRAXB
3,Engineering & Transportation,Longitude-Genius-Greatest-Scientific-Problem-ebook,/Longitude-Genius-Greatest-Scientific-Problem-ebook/dp/B003WUYE66/ref=zg_bs_157626011_1?_encoding=UTF8&psc=1&refRID=8BVPC7P8W9P376KJRAXB
4,Engineering & Transportation,Grid-Fraying-Between-Americans-Energy-ebook,/Grid-Fraying-Between-Americans-Energy-ebook/dp/B01DM9Q6CQ/ref=zg_bs_157626011_2?_encoding=UTF8&psc=1&refRID=8BVPC7P8W9P376KJRAXB
5,Engineering & Transportation,product-reviews,/product-reviews/B01DM9Q6CQ/ref=zg_bs_157626011_cr_2?ie=UTF8&refRID=8BVPC7P8W9P376KJRAXB
6,Engineering & Transportation,product-reviews,/product-reviews/B01DM9Q6CQ/ref=zg_bs_157626011_cr_2?ie=UTF8&refRID=8BVPC7P8W9P376KJRAXB
7,Engineering & Transportation,Grid-Fraying-Between-Americans-Energy-ebook,/Grid-Fraying-Between-Americans-Energy-ebook/dp/B01DM9Q6CQ/ref=zg_bs_157626011_2?_encoding=UTF8&psc=1&refRID=8BVPC7P8W9P376KJRAXB
8,Engineering & Transportation,Pan-Am-War-Airline-Secretly-ebook,/Pan-Am-War-Airline-Secretly-ebook/dp/B073YG95JQ/ref=zg_bs_157626011_3?_encoding=UTF8&psc=1&refRID=8BVPC7P8W9P376KJRAXB
9,Engineering & Transportation,product-reviews,/product-reviews/B073YG95JQ/ref=zg_bs_157626011_cr_3?ie=UTF8&refRID=8BVPC7P8W9P376KJRAXB
10,Engineering & Transportation,product-reviews,/product-reviews/B073YG95JQ/ref=zg_bs_157626011_cr_3?ie=UTF8&refRID=8BVPC7P8W9P376KJRAXB
11,Engineering & Transportation,Pan-Am-War-Airline-Secretly-ebook,/Pan-Am-War-Airline-Secretly-ebook/dp/B073YG95JQ/ref=zg_bs_157626011_3?_encoding=UTF8&psc=1&refRID=8BVPC7P8W9P376KJRAXB
12,Engineering & Transportation,How-Avoid-Climate-Disaster-Breakthroughs-ebook,/How-Avoid-Climate-Disaster-Breakthroughs-ebook/dp/B07YRY461Y/ref=zg_bs_157626011_4?_encoding=UTF8&psc=1&refRID=8BVPC7P8W9P376KJRAXB
13,Engineering & Transportation,product-reviews,/product-reviews/B07YRY461Y/ref=zg_bs_157626011_cr_4?ie=UTF8&refRID=8BVPC7P8W9P376KJRAXB
14,Engineering & Transportation,product-reviews,/product-reviews/B07YRY461Y/ref=zg_bs_157626011_cr_4?ie=UTF8&refRID=8BVPC7P8W9P376KJRAXB
15,Engineering & Transportation,How-Avoid-Climate-Disaster-Breakthroughs-ebook,/How-Avoid-Climate-Disaster-Breakthroughs-ebook/dp/B07YRY461Y/ref=zg_bs_157626011_4?_encoding=UTF8&psc=1&refRID=8BVPC7P8W9P376KJRAXB
16,Engineering & Transportation,,https://www.amazon.com/gp/new-releases/digital-text/157626011/ref=zg_bs_tab_t_bsnr
17,Engineering & Transportation,,https://www.amazon.com/gp/new-releases/digital-text/157626011/ref=zg_bs_tab_t_bsnr
18,Engineering & Transportation,Great-Railway-Bazaar-Paul-Theroux-ebook,/Great-Railway-Bazaar-Paul-Theroux-ebook/dp/B005G03ETI/ref=zg_bs_157626011_5?_encoding=UTF8&psc=1&refRID=8BVPC7P8W9P376KJRAXB
19,Engineering & Transportation,product-reviews,/product-reviews/B005G03ETI/ref=zg_bs_157626011_cr_5?ie=UTF8&refRID=8BVPC7P8W9P376KJRAXB
20,Engineering & Transportation,product-reviews,/product-reviews/B005G03ETI/ref=zg_bs_157626011_cr_5?ie=UTF8&refRID=8BVPC7P8W9P376KJRAXB
21,Engineering & Transportation,Great-Railway-Bazaar-Paul-Theroux-ebook,/Great-Railway-Bazaar-Paul-Theroux-ebook/dp/B005G03ETI/ref=zg_bs_157626011_5?_encoding=UTF8&psc=1&refRID=8BVPC7P8W9P376KJRAXB
22,Engineering & Transportation,Guinness-World-Records-Gamers-2020-ebook,/Guinness-World-Records-Gamers-2020-ebook/dp/B07S8X74WK/ref=zg_bs_157626011_6?_encoding=UTF8&psc=1&refRID=8BVPC7P8W9P376KJRAXB
23,Engineering & Transportation,product-reviews,/product-reviews/B07S8X74WK/ref=zg_bs_157626011_cr_6?ie=UTF8&refRID=8BVPC7P8W9P376KJRAXB
