,sub_cat,item_name,URL
0,Essays & Correspondence,Mere-Christianity-C-S-Lewis,/Mere-Christianity-C-S-Lewis/dp/0060652926/ref=zg_bs_10108_1?_encoding=UTF8&psc=1&refRID=XNFKJETT9WXVZDK4RY54
1,Essays & Correspondence,product-reviews,/product-reviews/0060652926/ref=zg_bs_10108_cr_1?ie=UTF8&refRID=XNFKJETT9WXVZDK4RY54
2,Essays & Correspondence,product-reviews,/product-reviews/0060652926/ref=zg_bs_10108_cr_1?ie=UTF8&refRID=XNFKJETT9WXVZDK4RY54
3,Essays & Correspondence,Mere-Christianity-C-S-Lewis,/Mere-Christianity-C-S-Lewis/dp/0060652926/ref=zg_bs_10108_1?_encoding=UTF8&psc=1&refRID=XNFKJETT9WXVZDK4RY54
4,Essays & Correspondence,Fire-Next-Time-James-Baldwin,/Fire-Next-Time-James-Baldwin/dp/067974472X/ref=zg_bs_10108_2?_encoding=UTF8&psc=1&refRID=XNFKJETT9WXVZDK4RY54
5,Essays & Correspondence,product-reviews,/product-reviews/067974472X/ref=zg_bs_10108_cr_2?ie=UTF8&refRID=XNFKJETT9WXVZDK4RY54
6,Essays & Correspondence,product-reviews,/product-reviews/067974472X/ref=zg_bs_10108_cr_2?ie=UTF8&refRID=XNFKJETT9WXVZDK4RY54
7,Essays & Correspondence,Fire-Next-Time-James-Baldwin,/Fire-Next-Time-James-Baldwin/dp/067974472X/ref=zg_bs_10108_2?_encoding=UTF8&psc=1&refRID=XNFKJETT9WXVZDK4RY54
8,Essays & Correspondence,Anthropocene-Reviewed-Signed-John-Green,/Anthropocene-Reviewed-Signed-John-Green/dp/0525555218/ref=zg_bs_10108_3?_encoding=UTF8&psc=1&refRID=XNFKJETT9WXVZDK4RY54
9,Essays & Correspondence,Anthropocene-Reviewed-Signed-John-Green,/Anthropocene-Reviewed-Signed-John-Green/dp/0525555218/ref=zg_bs_10108_3?_encoding=UTF8&psc=1&refRID=XNFKJETT9WXVZDK4RY54
10,Essays & Correspondence,The-Best-of-Me,/The-Best-of-Me/dp/B08H8STW83/ref=zg_bs_10108_4?_encoding=UTF8&psc=1&refRID=XNFKJETT9WXVZDK4RY54
11,Essays & Correspondence,product-reviews,/product-reviews/B08H8STW83/ref=zg_bs_10108_cr_4?ie=UTF8&refRID=XNFKJETT9WXVZDK4RY54
12,Essays & Correspondence,product-reviews,/product-reviews/B08H8STW83/ref=zg_bs_10108_cr_4?ie=UTF8&refRID=XNFKJETT9WXVZDK4RY54
13,Essays & Correspondence,The-Best-of-Me,/The-Best-of-Me/dp/B08H8STW83/ref=zg_bs_10108_4?_encoding=UTF8&psc=1&refRID=XNFKJETT9WXVZDK4RY54
14,Essays & Correspondence,,https://www.amazon.com/gp/new-releases/books/10108/ref=zg_bs_tab_t_bsnr
15,Essays & Correspondence,,https://www.amazon.com/gp/new-releases/books/10108/ref=zg_bs_tab_t_bsnr
16,Essays & Correspondence,,https://www.amazon.com/gp/most-wished-for/books/10108/ref=zg_bs_tab_t_mw
17,Essays & Correspondence,,https://www.amazon.com/gp/most-wished-for/books/10108/ref=zg_bs_tab_t_mw
18,Essays & Correspondence,Unti-Book-Essays-Jomny-Sun,/Unti-Book-Essays-Jomny-Sun/dp/0062880853/ref=zg_bs_10108_5?_encoding=UTF8&psc=1&refRID=XNFKJETT9WXVZDK4RY54
19,Essays & Correspondence,Unti-Book-Essays-Jomny-Sun,/Unti-Book-Essays-Jomny-Sun/dp/0062880853/ref=zg_bs_10108_5?_encoding=UTF8&psc=1&refRID=XNFKJETT9WXVZDK4RY54
20,Essays & Correspondence,The-Fire-Next-Time-James-Baldwin-audiobook,/The-Fire-Next-Time-James-Baldwin-audiobook/dp/B0014EAHHM/ref=zg_bs_10108_6?_encoding=UTF8&psc=1&refRID=XNFKJETT9WXVZDK4RY54
21,Essays & Correspondence,product-reviews,/product-reviews/B0014EAHHM/ref=zg_bs_10108_cr_6?ie=UTF8&refRID=XNFKJETT9WXVZDK4RY54
22,Essays & Correspondence,product-reviews,/product-reviews/B0014EAHHM/ref=zg_bs_10108_cr_6?ie=UTF8&refRID=XNFKJETT9WXVZDK4RY54
23,Essays & Correspondence,The-Fire-Next-Time-James-Baldwin-audiobook,/The-Fire-Next-Time-James-Baldwin-audiobook/dp/B0014EAHHM/ref=zg_bs_10108_6?_encoding=UTF8&psc=1&refRID=XNFKJETT9WXVZDK4RY54
24,Essays & Correspondence,Divine-Comedy-Inferno-Purgatorio-Paradiso,/Divine-Comedy-Inferno-Purgatorio-Paradiso/dp/0451208633/ref=zg_bs_10108_7?_encoding=UTF8&psc=1&refRID=XNFKJETT9WXVZDK4RY54
25,Essays & Correspondence,product-reviews,/product-reviews/0451208633/ref=zg_bs_10108_cr_7?ie=UTF8&refRID=XNFKJETT9WXVZDK4RY54
26,Essays & Correspondence,product-reviews,/product-reviews/0451208633/ref=zg_bs_10108_cr_7?ie=UTF8&refRID=XNFKJETT9WXVZDK4RY54
27,Essays & Correspondence,Divine-Comedy-Inferno-Purgatorio-Paradiso,/Divine-Comedy-Inferno-Purgatorio-Paradiso/dp/0451208633/ref=zg_bs_10108_7?_encoding=UTF8&psc=1&refRID=XNFKJETT9WXVZDK4RY54
28,Essays & Correspondence,Myth-Sisyphus-Vintage-International,/Myth-Sisyphus-Vintage-International/dp/0525564454/ref=zg_bs_10108_8?_encoding=UTF8&psc=1&refRID=XNFKJETT9WXVZDK4RY54
29,Essays & Correspondence,product-reviews,/product-reviews/0525564454/ref=zg_bs_10108_cr_8?ie=UTF8&refRID=XNFKJETT9WXVZDK4RY54
30,Essays & Correspondence,product-reviews,/product-reviews/0525564454/ref=zg_bs_10108_cr_8?ie=UTF8&refRID=XNFKJETT9WXVZDK4RY54
