,sub_cat,item_name,URL
0,Foreign Languages,Caliente-Wonder-Readers-Spanish-Emergent-ebook,/Caliente-Wonder-Readers-Spanish-Emergent-ebook/dp/B07DNGC252/ref=zg_bs_7735160011_1?_encoding=UTF8&psc=1&refRID=XBKKVWY4B584SV8FFAJG
1,Foreign Languages,product-reviews,/product-reviews/B07DNGC252/ref=zg_bs_7735160011_cr_1?ie=UTF8&refRID=XBKKVWY4B584SV8FFAJG
2,Foreign Languages,product-reviews,/product-reviews/B07DNGC252/ref=zg_bs_7735160011_cr_1?ie=UTF8&refRID=XBKKVWY4B584SV8FFAJG
3,Foreign Languages,Caliente-Wonder-Readers-Spanish-Emergent-ebook,/Caliente-Wonder-Readers-Spanish-Emergent-ebook/dp/B07DNGC252/ref=zg_bs_7735160011_1?_encoding=UTF8&psc=1&refRID=XBKKVWY4B584SV8FFAJG
4,Foreign Languages,acerca-serpientes-lagartos-Readers-Spanish-ebook,/acerca-serpientes-lagartos-Readers-Spanish-ebook/dp/B07DNFVG5S/ref=zg_bs_7735160011_2?_encoding=UTF8&psc=1&refRID=XBKKVWY4B584SV8FFAJG
5,Foreign Languages,product-reviews,/product-reviews/B07DNFVG5S/ref=zg_bs_7735160011_cr_2?ie=UTF8&refRID=XBKKVWY4B584SV8FFAJG
6,Foreign Languages,product-reviews,/product-reviews/B07DNFVG5S/ref=zg_bs_7735160011_cr_2?ie=UTF8&refRID=XBKKVWY4B584SV8FFAJG
7,Foreign Languages,acerca-serpientes-lagartos-Readers-Spanish-ebook,/acerca-serpientes-lagartos-Readers-Spanish-ebook/dp/B07DNFVG5S/ref=zg_bs_7735160011_2?_encoding=UTF8&psc=1&refRID=XBKKVWY4B584SV8FFAJG
8,Foreign Languages,Los-sentidos-insectos-Comparar-Spanish-ebook,/Los-sentidos-insectos-Comparar-Spanish-ebook/dp/B07DNG215V/ref=zg_bs_7735160011_3?_encoding=UTF8&psc=1&refRID=XBKKVWY4B584SV8FFAJG
9,Foreign Languages,product-reviews,/product-reviews/B07DNG215V/ref=zg_bs_7735160011_cr_3?ie=UTF8&refRID=XBKKVWY4B584SV8FFAJG
