,sub_cat,item_name,URL
0,Hair Accessories,Child-Flower-Crown-Wreath-Girl,/Child-Flower-Crown-Wreath-Girl/dp/B07PMFJCH8/ref=zg_bs_14344534011_1?_encoding=UTF8&psc=1&refRID=GB7MVTRY5QJGQ8MFS123
1,Hair Accessories,product-reviews,/product-reviews/B07PMFJCH8/ref=zg_bs_14344534011_cr_1?ie=UTF8&refRID=GB7MVTRY5QJGQ8MFS123
2,Hair Accessories,product-reviews,/product-reviews/B07PMFJCH8/ref=zg_bs_14344534011_cr_1?ie=UTF8&refRID=GB7MVTRY5QJGQ8MFS123
3,Hair Accessories,Child-Flower-Crown-Wreath-Girl,/Child-Flower-Crown-Wreath-Girl/dp/B07PMFJCH8/ref=zg_bs_14344534011_1?_encoding=UTF8&psc=1&refRID=GB7MVTRY5QJGQ8MFS123
4,Hair Accessories,Leather-Barrettes-Sticks-Ponytail-Holders,/Leather-Barrettes-Sticks-Ponytail-Holders/dp/B0716J5ZSX/ref=zg_bs_14344534011_2?_encoding=UTF8&psc=1&refRID=GB7MVTRY5QJGQ8MFS123
5,Hair Accessories,product-reviews,/product-reviews/B0716J5ZSX/ref=zg_bs_14344534011_cr_2?ie=UTF8&refRID=GB7MVTRY5QJGQ8MFS123
6,Hair Accessories,product-reviews,/product-reviews/B0716J5ZSX/ref=zg_bs_14344534011_cr_2?ie=UTF8&refRID=GB7MVTRY5QJGQ8MFS123
7,Hair Accessories,Leather-Barrettes-Sticks-Ponytail-Holders,/Leather-Barrettes-Sticks-Ponytail-Holders/dp/B0716J5ZSX/ref=zg_bs_14344534011_2?_encoding=UTF8&psc=1&refRID=GB7MVTRY5QJGQ8MFS123
8,Hair Accessories,African-Headband-Afrocentric-Cloth-Cord,/African-Headband-Afrocentric-Cloth-Cord/dp/B07QYXJPWP/ref=zg_bs_14344534011_3?_encoding=UTF8&psc=1&refRID=GB7MVTRY5QJGQ8MFS123
9,Hair Accessories,product-reviews,/product-reviews/B07QYXJPWP/ref=zg_bs_14344534011_cr_3?ie=UTF8&refRID=GB7MVTRY5QJGQ8MFS123
10,Hair Accessories,product-reviews,/product-reviews/B07QYXJPWP/ref=zg_bs_14344534011_cr_3?ie=UTF8&refRID=GB7MVTRY5QJGQ8MFS123
11,Hair Accessories,African-Headband-Afrocentric-Cloth-Cord,/African-Headband-Afrocentric-Cloth-Cord/dp/B07QYXJPWP/ref=zg_bs_14344534011_3?_encoding=UTF8&psc=1&refRID=GB7MVTRY5QJGQ8MFS123
12,Hair Accessories,Leather-Butterfly-Barrettes-Ponytail-Holders,/Leather-Butterfly-Barrettes-Ponytail-Holders/dp/B06WW5HS99/ref=zg_bs_14344534011_4?_encoding=UTF8&psc=1&refRID=GB7MVTRY5QJGQ8MFS123
13,Hair Accessories,product-reviews,/product-reviews/B06WW5HS99/ref=zg_bs_14344534011_cr_4?ie=UTF8&refRID=GB7MVTRY5QJGQ8MFS123
14,Hair Accessories,product-reviews,/product-reviews/B06WW5HS99/ref=zg_bs_14344534011_cr_4?ie=UTF8&refRID=GB7MVTRY5QJGQ8MFS123
15,Hair Accessories,Leather-Butterfly-Barrettes-Ponytail-Holders,/Leather-Butterfly-Barrettes-Ponytail-Holders/dp/B06WW5HS99/ref=zg_bs_14344534011_4?_encoding=UTF8&psc=1&refRID=GB7MVTRY5QJGQ8MFS123
16,Hair Accessories,,https://www.amazon.com/gp/new-releases/handmade/14344534011/ref=zg_bs_tab_t_bsnr
17,Hair Accessories,,https://www.amazon.com/gp/new-releases/handmade/14344534011/ref=zg_bs_tab_t_bsnr
18,Hair Accessories,,https://www.amazon.com/gp/most-wished-for/handmade/14344534011/ref=zg_bs_tab_t_mw
19,Hair Accessories,,https://www.amazon.com/gp/most-wished-for/handmade/14344534011/ref=zg_bs_tab_t_mw
