,sub_cat,item_name,URL
0,Heaters & Accessories,Intex-Solar-Heater-Ground-Swimming,/Intex-Solar-Heater-Ground-Swimming/dp/B00O80PSE6/ref=zg_bs_1272946011_1?_encoding=UTF8&psc=1&refRID=0M319N2MAAYBWSBZP881
1,Heaters & Accessories,product-reviews,/product-reviews/B00O80PSE6/ref=zg_bs_1272946011_cr_1?ie=UTF8&refRID=0M319N2MAAYBWSBZP881
2,Heaters & Accessories,product-reviews,/product-reviews/B00O80PSE6/ref=zg_bs_1272946011_cr_1?ie=UTF8&refRID=0M319N2MAAYBWSBZP881
3,Heaters & Accessories,Intex-Solar-Heater-Ground-Swimming,/Intex-Solar-Heater-Ground-Swimming/dp/B00O80PSE6/ref=zg_bs_1272946011_1?_encoding=UTF8&psc=1&refRID=0M319N2MAAYBWSBZP881
4,Heaters & Accessories,SmartPool-SunHeater-Blanket-HeatShield-SHS32,/SmartPool-SunHeater-Blanket-HeatShield-SHS32/dp/B06X6H3218/ref=zg_bs_1272946011_2?_encoding=UTF8&psc=1&refRID=0M319N2MAAYBWSBZP881
5,Heaters & Accessories,product-reviews,/product-reviews/B08721FXQ2/ref=zg_bs_1272946011_cr_2?ie=UTF8&refRID=0M319N2MAAYBWSBZP881
6,Heaters & Accessories,product-reviews,/product-reviews/B08721FXQ2/ref=zg_bs_1272946011_cr_2?ie=UTF8&refRID=0M319N2MAAYBWSBZP881
7,Heaters & Accessories,SmartPool-SunHeater-Blanket-HeatShield-SHS32,/SmartPool-SunHeater-Blanket-HeatShield-SHS32/dp/B06X6H3218/ref=zg_bs_1272946011_2?_encoding=UTF8&psc=1&refRID=0M319N2MAAYBWSBZP881
8,Heaters & Accessories,Intex-28429E-PureSpa-Portable-Inflatable,/Intex-28429E-PureSpa-Portable-Inflatable/dp/B0831P1CCD/ref=zg_bs_1272946011_3?_encoding=UTF8&psc=1&refRID=0M319N2MAAYBWSBZP881
9,Heaters & Accessories,product-reviews,/product-reviews/B083YWP1GD/ref=zg_bs_1272946011_cr_3?ie=UTF8&refRID=0M319N2MAAYBWSBZP881
10,Heaters & Accessories,product-reviews,/product-reviews/B083YWP1GD/ref=zg_bs_1272946011_cr_3?ie=UTF8&refRID=0M319N2MAAYBWSBZP881
11,Heaters & Accessories,Intex-28429E-PureSpa-Portable-Inflatable,/Intex-28429E-PureSpa-Portable-Inflatable/dp/B0831P1CCD/ref=zg_bs_1272946011_3?_encoding=UTF8&psc=1&refRID=0M319N2MAAYBWSBZP881
12,Heaters & Accessories,Intex-28481E-Simple-Inflatable-Bubble,/Intex-28481E-Simple-Inflatable-Bubble/dp/B083LL68Z5/ref=zg_bs_1272946011_4?_encoding=UTF8&psc=1&refRID=0M319N2MAAYBWSBZP881
13,Heaters & Accessories,product-reviews,/product-reviews/B083LL68Z5/ref=zg_bs_1272946011_cr_4?ie=UTF8&refRID=0M319N2MAAYBWSBZP881
