,sub_cat,item_name,URL
0,Hinduism,Fantasy-Science-Fiction-print-edition,/Fantasy-Science-Fiction-print-edition/dp/B00006KDW3/ref=zg_bs_254162011_1?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
1,Hinduism,product-reviews,/product-reviews/B00006KDW3/ref=zg_bs_254162011_cr_1?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
2,Hinduism,product-reviews,/product-reviews/B00006KDW3/ref=zg_bs_254162011_cr_1?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
3,Hinduism,Fantasy-Science-Fiction-print-edition,/Fantasy-Science-Fiction-print-edition/dp/B00006KDW3/ref=zg_bs_254162011_1?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
4,Hinduism,Guideposts,/Guideposts/dp/B004HLGC5U/ref=zg_bs_254162011_2?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
5,Hinduism,product-reviews,/product-reviews/B004HLGC5U/ref=zg_bs_254162011_cr_2?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
6,Hinduism,product-reviews,/product-reviews/B004HLGC5U/ref=zg_bs_254162011_cr_2?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
7,Hinduism,Guideposts,/Guideposts/dp/B004HLGC5U/ref=zg_bs_254162011_2?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
8,Hinduism,Fellowship-St-James-Touchstone-Christianity,/Fellowship-St-James-Touchstone-Christianity/dp/B0001PBUDA/ref=zg_bs_254162011_3?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
9,Hinduism,product-reviews,/product-reviews/B0001PBUDA/ref=zg_bs_254162011_cr_3?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
10,Hinduism,product-reviews,/product-reviews/B0001PBUDA/ref=zg_bs_254162011_cr_3?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
11,Hinduism,Fellowship-St-James-Touchstone-Christianity,/Fellowship-St-James-Touchstone-Christianity/dp/B0001PBUDA/ref=zg_bs_254162011_3?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
12,Hinduism,Religion-and-Public-Life-Things,/Religion-and-Public-Life-Things/dp/B000HOJOZ6/ref=zg_bs_254162011_4?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
13,Hinduism,product-reviews,/product-reviews/B000HOJOZ6/ref=zg_bs_254162011_cr_4?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
14,Hinduism,product-reviews,/product-reviews/B000HOJOZ6/ref=zg_bs_254162011_cr_4?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
15,Hinduism,Religion-and-Public-Life-Things,/Religion-and-Public-Life-Things/dp/B000HOJOZ6/ref=zg_bs_254162011_4?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
16,Hinduism,,https://www.amazon.com/gp/most-wished-for/magazines/254162011/ref=zg_bs_tab_t_mw
17,Hinduism,,https://www.amazon.com/gp/most-wished-for/magazines/254162011/ref=zg_bs_tab_t_mw
18,Hinduism,,https://www.amazon.com/gp/most-gifted/magazines/254162011/ref=zg_bs_tab_t_mg
19,Hinduism,,https://www.amazon.com/gp/most-gifted/magazines/254162011/ref=zg_bs_tab_t_mg
20,Hinduism,Vision-Publications-Reiki-News-Magazine,/Vision-Publications-Reiki-News-Magazine/dp/B00007KGVC/ref=zg_bs_254162011_5?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
21,Hinduism,product-reviews,/product-reviews/B00007KGVC/ref=zg_bs_254162011_cr_5?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
22,Hinduism,product-reviews,/product-reviews/B00007KGVC/ref=zg_bs_254162011_cr_5?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
23,Hinduism,Vision-Publications-Reiki-News-Magazine,/Vision-Publications-Reiki-News-Magazine/dp/B00007KGVC/ref=zg_bs_254162011_5?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
24,Hinduism,Foundation-for-a-Mindful-Soc,/Foundation-for-a-Mindful-Soc/dp/B00A6IMSTC/ref=zg_bs_254162011_6?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
25,Hinduism,product-reviews,/product-reviews/B00A6IMSTC/ref=zg_bs_254162011_cr_6?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
26,Hinduism,product-reviews,/product-reviews/B00A6IMSTC/ref=zg_bs_254162011_cr_6?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
27,Hinduism,Foundation-for-a-Mindful-Soc,/Foundation-for-a-Mindful-Soc/dp/B00A6IMSTC/ref=zg_bs_254162011_6?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
28,Hinduism,Lions-Roar-Foundation,/Lions-Roar-Foundation/dp/B002PXW19I/ref=zg_bs_254162011_7?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
29,Hinduism,product-reviews,/product-reviews/B002PXW19I/ref=zg_bs_254162011_cr_7?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
30,Hinduism,product-reviews,/product-reviews/B002PXW19I/ref=zg_bs_254162011_cr_7?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
31,Hinduism,Lions-Roar-Foundation,/Lions-Roar-Foundation/dp/B002PXW19I/ref=zg_bs_254162011_7?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
32,Hinduism,Liturgical-Press-Give-This-Day,/Liturgical-Press-Give-This-Day/dp/B00529YCWQ/ref=zg_bs_254162011_8?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
33,Hinduism,product-reviews,/product-reviews/B00529YCWQ/ref=zg_bs_254162011_cr_8?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
34,Hinduism,product-reviews,/product-reviews/B00529YCWQ/ref=zg_bs_254162011_cr_8?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
35,Hinduism,Liturgical-Press-Give-This-Day,/Liturgical-Press-Give-This-Day/dp/B00529YCWQ/ref=zg_bs_254162011_8?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
36,Hinduism,Living-With-Christ-US-Edition,/Living-With-Christ-US-Edition/dp/B0001KCHIC/ref=zg_bs_254162011_9?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
37,Hinduism,product-reviews,/product-reviews/B0001KCHIC/ref=zg_bs_254162011_cr_9?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
38,Hinduism,product-reviews,/product-reviews/B0001KCHIC/ref=zg_bs_254162011_cr_9?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
39,Hinduism,Living-With-Christ-US-Edition,/Living-With-Christ-US-Edition/dp/B0001KCHIC/ref=zg_bs_254162011_9?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
40,Hinduism,Religion-and-Public-Life-First,/Religion-and-Public-Life-First/dp/B002PXW07Q/ref=zg_bs_254162011_10?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
41,Hinduism,product-reviews,/product-reviews/B002PXW07Q/ref=zg_bs_254162011_cr_10?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
42,Hinduism,product-reviews,/product-reviews/B002PXW07Q/ref=zg_bs_254162011_cr_10?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
43,Hinduism,Religion-and-Public-Life-First,/Religion-and-Public-Life-First/dp/B002PXW07Q/ref=zg_bs_254162011_10?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
44,Hinduism,Lions-Roar-Foundation,/Lions-Roar-Foundation/dp/B000302EG0/ref=zg_bs_254162011_11?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
45,Hinduism,product-reviews,/product-reviews/B000302EG0/ref=zg_bs_254162011_cr_11?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
46,Hinduism,product-reviews,/product-reviews/B000302EG0/ref=zg_bs_254162011_cr_11?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
47,Hinduism,Lions-Roar-Foundation,/Lions-Roar-Foundation/dp/B000302EG0/ref=zg_bs_254162011_11?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
48,Hinduism,Bbi-Media-Witches-Pagans,/Bbi-Media-Witches-Pagans/dp/B009CWLIDA/ref=zg_bs_254162011_12?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
49,Hinduism,product-reviews,/product-reviews/B009CWLIDA/ref=zg_bs_254162011_cr_12?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
50,Hinduism,product-reviews,/product-reviews/B009CWLIDA/ref=zg_bs_254162011_cr_12?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
51,Hinduism,Bbi-Media-Witches-Pagans,/Bbi-Media-Witches-Pagans/dp/B009CWLIDA/ref=zg_bs_254162011_12?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
52,Hinduism,Charisma-Media,/Charisma-Media/dp/B002PXW01W/ref=zg_bs_254162011_13?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
53,Hinduism,product-reviews,/product-reviews/B002PXW01W/ref=zg_bs_254162011_cr_13?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
54,Hinduism,product-reviews,/product-reviews/B002PXW01W/ref=zg_bs_254162011_cr_13?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
55,Hinduism,Charisma-Media,/Charisma-Media/dp/B002PXW01W/ref=zg_bs_254162011_13?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
56,Hinduism,Empty-Vessel,/Empty-Vessel/dp/B007JOD95I/ref=zg_bs_254162011_14?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
57,Hinduism,product-reviews,/product-reviews/B007JOD95I/ref=zg_bs_254162011_cr_14?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
58,Hinduism,product-reviews,/product-reviews/B007JOD95I/ref=zg_bs_254162011_cr_14?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
59,Hinduism,Empty-Vessel,/Empty-Vessel/dp/B007JOD95I/ref=zg_bs_254162011_14?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
60,Hinduism,Bbi-Media-Sagewoman-Magazine,/Bbi-Media-Sagewoman-Magazine/dp/B007TBWZ3I/ref=zg_bs_254162011_15?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
61,Hinduism,product-reviews,/product-reviews/B007TBWZ3I/ref=zg_bs_254162011_cr_15?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
62,Hinduism,product-reviews,/product-reviews/B007TBWZ3I/ref=zg_bs_254162011_cr_15?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
63,Hinduism,Bbi-Media-Sagewoman-Magazine,/Bbi-Media-Sagewoman-Magazine/dp/B007TBWZ3I/ref=zg_bs_254162011_15?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
64,Hinduism,World-Magazine-Inc,/World-Magazine-Inc/dp/B0000DH8GV/ref=zg_bs_254162011_16?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
65,Hinduism,product-reviews,/product-reviews/B0000DH8GV/ref=zg_bs_254162011_cr_16?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
66,Hinduism,product-reviews,/product-reviews/B0000DH8GV/ref=zg_bs_254162011_cr_16?ie=UTF8&refRID=QZXYX7TH89HFW4FBM614
67,Hinduism,World-Magazine-Inc,/World-Magazine-Inc/dp/B0000DH8GV/ref=zg_bs_254162011_16?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
68,Hinduism,Soc-for-Study-Myth-Tradition,/Soc-for-Study-Myth-Tradition/dp/B00007B9L0/ref=zg_bs_254162011_17?_encoding=UTF8&psc=1&refRID=QZXYX7TH89HFW4FBM614
