,sub_cat,item_name,URL
0,Historical Fiction,The-Four-Winds-A-Novel,/The-Four-Winds-A-Novel/dp/B0882VNQKS/ref=zg_bs_10177_1?_encoding=UTF8&psc=1&refRID=7PHJDF7CX589T8EXBX9P
1,Historical Fiction,product-reviews,/product-reviews/B0882VNQKS/ref=zg_bs_10177_cr_1?ie=UTF8&refRID=7PHJDF7CX589T8EXBX9P
2,Historical Fiction,product-reviews,/product-reviews/B0882VNQKS/ref=zg_bs_10177_cr_1?ie=UTF8&refRID=7PHJDF7CX589T8EXBX9P
3,Historical Fiction,The-Four-Winds-A-Novel,/The-Four-Winds-A-Novel/dp/B0882VNQKS/ref=zg_bs_10177_1?_encoding=UTF8&psc=1&refRID=7PHJDF7CX589T8EXBX9P
4,Historical Fiction,Venice-Sketchbook-Novel-Rhys-Bowen-ebook,/Venice-Sketchbook-Novel-Rhys-Bowen-ebook/dp/B08CV9SPDQ/ref=zg_bs_10177_2?_encoding=UTF8&psc=1&refRID=7PHJDF7CX589T8EXBX9P
5,Historical Fiction,product-reviews,/product-reviews/B08CV9SPDQ/ref=zg_bs_10177_cr_2?ie=UTF8&refRID=7PHJDF7CX589T8EXBX9P
6,Historical Fiction,product-reviews,/product-reviews/B08CV9SPDQ/ref=zg_bs_10177_cr_2?ie=UTF8&refRID=7PHJDF7CX589T8EXBX9P
7,Historical Fiction,Venice-Sketchbook-Novel-Rhys-Bowen-ebook,/Venice-Sketchbook-Novel-Rhys-Bowen-ebook/dp/B08CV9SPDQ/ref=zg_bs_10177_2?_encoding=UTF8&psc=1&refRID=7PHJDF7CX589T8EXBX9P
8,Historical Fiction,Four-Winds-Novel-Kristin-Hannah-ebook,/Four-Winds-Novel-Kristin-Hannah-ebook/dp/B087ZXSPGJ/ref=zg_bs_10177_3?_encoding=UTF8&psc=1&refRID=7PHJDF7CX589T8EXBX9P
9,Historical Fiction,product-reviews,/product-reviews/B087ZXSPGJ/ref=zg_bs_10177_cr_3?ie=UTF8&refRID=7PHJDF7CX589T8EXBX9P
10,Historical Fiction,product-reviews,/product-reviews/B087ZXSPGJ/ref=zg_bs_10177_cr_3?ie=UTF8&refRID=7PHJDF7CX589T8EXBX9P
11,Historical Fiction,Four-Winds-Novel-Kristin-Hannah-ebook,/Four-Winds-Novel-Kristin-Hannah-ebook/dp/B087ZXSPGJ/ref=zg_bs_10177_3?_encoding=UTF8&psc=1&refRID=7PHJDF7CX589T8EXBX9P
12,Historical Fiction,Tell-Bees-That-Gone-Outlander-ebook,/Tell-Bees-That-Gone-Outlander-ebook/dp/B0925FP6G6/ref=zg_bs_10177_4?_encoding=UTF8&psc=1&refRID=7PHJDF7CX589T8EXBX9P
13,Historical Fiction,Tell-Bees-That-Gone-Outlander-ebook,/Tell-Bees-That-Gone-Outlander-ebook/dp/B0925FP6G6/ref=zg_bs_10177_4?_encoding=UTF8&psc=1&refRID=7PHJDF7CX589T8EXBX9P
14,Historical Fiction,Tell-Bees-That-Gone-Outlander,/Tell-Bees-That-Gone-Outlander/dp/1101885688/ref=zg_bs_10177_5?_encoding=UTF8&psc=1&refRID=7PHJDF7CX589T8EXBX9P
15,Historical Fiction,Tell-Bees-That-Gone-Outlander,/Tell-Bees-That-Gone-Outlander/dp/1101885688/ref=zg_bs_10177_5?_encoding=UTF8&psc=1&refRID=7PHJDF7CX589T8EXBX9P
16,Historical Fiction,Four-Winds-Novel-Kristin-Hannah,/Four-Winds-Novel-Kristin-Hannah/dp/1250178606/ref=zg_bs_10177_6?_encoding=UTF8&psc=1&refRID=7PHJDF7CX589T8EXBX9P
17,Historical Fiction,product-reviews,/product-reviews/1250178606/ref=zg_bs_10177_cr_6?ie=UTF8&refRID=7PHJDF7CX589T8EXBX9P
18,Historical Fiction,product-reviews,/product-reviews/1250178606/ref=zg_bs_10177_cr_6?ie=UTF8&refRID=7PHJDF7CX589T8EXBX9P
19,Historical Fiction,Four-Winds-Novel-Kristin-Hannah,/Four-Winds-Novel-Kristin-Hannah/dp/1250178606/ref=zg_bs_10177_6?_encoding=UTF8&psc=1&refRID=7PHJDF7CX589T8EXBX9P
20,Historical Fiction,Tears-Amber-Sof%C3%ADa-Segovia-ebook,/Tears-Amber-Sof%C3%ADa-Segovia-ebook/dp/B08CDWLTD8/ref=zg_bs_10177_7?_encoding=UTF8&psc=1&refRID=7PHJDF7CX589T8EXBX9P
21,Historical Fiction,product-reviews,/product-reviews/B08CDWLTD8/ref=zg_bs_10177_cr_7?ie=UTF8&refRID=7PHJDF7CX589T8EXBX9P
22,Historical Fiction,product-reviews,/product-reviews/B08CDWLTD8/ref=zg_bs_10177_cr_7?ie=UTF8&refRID=7PHJDF7CX589T8EXBX9P
23,Historical Fiction,Tears-Amber-Sof%C3%ADa-Segovia-ebook,/Tears-Amber-Sof%C3%ADa-Segovia-ebook/dp/B08CDWLTD8/ref=zg_bs_10177_7?_encoding=UTF8&psc=1&refRID=7PHJDF7CX589T8EXBX9P
24,Historical Fiction,True-Story-Hansel-Gretel-ebook,/True-Story-Hansel-Gretel-ebook/dp/B004DI7I64/ref=zg_bs_10177_8?_encoding=UTF8&psc=1&refRID=7PHJDF7CX589T8EXBX9P
25,Historical Fiction,product-reviews,/product-reviews/B004DI7I64/ref=zg_bs_10177_cr_8?ie=UTF8&refRID=7PHJDF7CX589T8EXBX9P
26,Historical Fiction,product-reviews,/product-reviews/B004DI7I64/ref=zg_bs_10177_cr_8?ie=UTF8&refRID=7PHJDF7CX589T8EXBX9P
27,Historical Fiction,True-Story-Hansel-Gretel-ebook,/True-Story-Hansel-Gretel-ebook/dp/B004DI7I64/ref=zg_bs_10177_8?_encoding=UTF8&psc=1&refRID=7PHJDF7CX589T8EXBX9P
28,Historical Fiction,Take-What-You-Can-Carry-ebook,/Take-What-You-Can-Carry-ebook/dp/B088JXXW67/ref=zg_bs_10177_9?_encoding=UTF8&psc=1&refRID=7PHJDF7CX589T8EXBX9P
29,Historical Fiction,product-reviews,/product-reviews/B088JXXW67/ref=zg_bs_10177_cr_9?ie=UTF8&refRID=7PHJDF7CX589T8EXBX9P
30,Historical Fiction,product-reviews,/product-reviews/B088JXXW67/ref=zg_bs_10177_cr_9?ie=UTF8&refRID=7PHJDF7CX589T8EXBX9P
31,Historical Fiction,Take-What-You-Can-Carry-ebook,/Take-What-You-Can-Carry-ebook/dp/B088JXXW67/ref=zg_bs_10177_9?_encoding=UTF8&psc=1&refRID=7PHJDF7CX589T8EXBX9P
32,Historical Fiction,Beneath-Scarlet-Sky-Mark-Sullivan-ebook,/Beneath-Scarlet-Sky-Mark-Sullivan-ebook/dp/B01L1CEZ6K/ref=zg_bs_10177_10?_encoding=UTF8&psc=1&refRID=7PHJDF7CX589T8EXBX9P
33,Historical Fiction,product-reviews,/product-reviews/B01L1CEZ6K/ref=zg_bs_10177_cr_10?ie=UTF8&refRID=7PHJDF7CX589T8EXBX9P
34,Historical Fiction,product-reviews,/product-reviews/B01L1CEZ6K/ref=zg_bs_10177_cr_10?ie=UTF8&refRID=7PHJDF7CX589T8EXBX9P
35,Historical Fiction,Beneath-Scarlet-Sky-Mark-Sullivan-ebook,/Beneath-Scarlet-Sky-Mark-Sullivan-ebook/dp/B01L1CEZ6K/ref=zg_bs_10177_10?_encoding=UTF8&psc=1&refRID=7PHJDF7CX589T8EXBX9P
36,Historical Fiction,Call-Your-Daughter-Home-audiobook,/Call-Your-Daughter-Home-audiobook/dp/B07PMLQ15D/ref=zg_bs_10177_11?_encoding=UTF8&psc=1&refRID=7PHJDF7CX589T8EXBX9P
37,Historical Fiction,product-reviews,/product-reviews/B07PMLQ15D/ref=zg_bs_10177_cr_11?ie=UTF8&refRID=7PHJDF7CX589T8EXBX9P
38,Historical Fiction,product-reviews,/product-reviews/B07PMLQ15D/ref=zg_bs_10177_cr_11?ie=UTF8&refRID=7PHJDF7CX589T8EXBX9P
39,Historical Fiction,Call-Your-Daughter-Home-audiobook,/Call-Your-Daughter-Home-audiobook/dp/B07PMLQ15D/ref=zg_bs_10177_11?_encoding=UTF8&psc=1&refRID=7PHJDF7CX589T8EXBX9P
40,Historical Fiction,Gambling-Man-Archer-Novel-ebook,/Gambling-Man-Archer-Novel-ebook/dp/B08BZ9WSPC/ref=zg_bs_10177_12?_encoding=UTF8&psc=1&refRID=7PHJDF7CX589T8EXBX9P
41,Historical Fiction,product-reviews,/product-reviews/B08BZ9WSPC/ref=zg_bs_10177_cr_12?ie=UTF8&refRID=7PHJDF7CX589T8EXBX9P
