,sub_cat,item_name,URL
0,History & Criticism,Kaaterskill-Falls-Novel-Allegra-Goodman-ebook,/Kaaterskill-Falls-Novel-Allegra-Goodman-ebook/dp/B002SXIEOG/ref=zg_bs_10204_1?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
1,History & Criticism,product-reviews,/product-reviews/B002SXIEOG/ref=zg_bs_10204_cr_1?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
2,History & Criticism,product-reviews,/product-reviews/B002SXIEOG/ref=zg_bs_10204_cr_1?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
3,History & Criticism,Kaaterskill-Falls-Novel-Allegra-Goodman-ebook,/Kaaterskill-Falls-Novel-Allegra-Goodman-ebook/dp/B002SXIEOG/ref=zg_bs_10204_1?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
4,History & Criticism,Last-Bookshop-London-Novel-World-ebook,/Last-Bookshop-London-Novel-World-ebook/dp/B087ZMTBRX/ref=zg_bs_10204_2?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
5,History & Criticism,product-reviews,/product-reviews/B087ZMTBRX/ref=zg_bs_10204_cr_2?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
6,History & Criticism,product-reviews,/product-reviews/B087ZMTBRX/ref=zg_bs_10204_cr_2?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
7,History & Criticism,Last-Bookshop-London-Novel-World-ebook,/Last-Bookshop-London-Novel-World-ebook/dp/B087ZMTBRX/ref=zg_bs_10204_2?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
8,History & Criticism,Handmaids-Tale-Margaret-Atwood-ebook,/Handmaids-Tale-Margaret-Atwood-ebook/dp/B003JFJHTS/ref=zg_bs_10204_3?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
9,History & Criticism,product-reviews,/product-reviews/B003JFJHTS/ref=zg_bs_10204_cr_3?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
10,History & Criticism,product-reviews,/product-reviews/B003JFJHTS/ref=zg_bs_10204_cr_3?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
11,History & Criticism,Handmaids-Tale-Margaret-Atwood-ebook,/Handmaids-Tale-Margaret-Atwood-ebook/dp/B003JFJHTS/ref=zg_bs_10204_3?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
12,History & Criticism,Hamnet-Maggie-OFarrell-ebook,/Hamnet-Maggie-OFarrell-ebook/dp/B07ZN51NL3/ref=zg_bs_10204_4?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
13,History & Criticism,product-reviews,/product-reviews/B07ZN51NL3/ref=zg_bs_10204_cr_4?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
14,History & Criticism,product-reviews,/product-reviews/B07ZN51NL3/ref=zg_bs_10204_cr_4?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
15,History & Criticism,Hamnet-Maggie-OFarrell-ebook,/Hamnet-Maggie-OFarrell-ebook/dp/B07ZN51NL3/ref=zg_bs_10204_4?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
16,History & Criticism,,https://www.amazon.com/gp/new-releases/books/10204/ref=zg_bs_tab_t_bsnr
17,History & Criticism,,https://www.amazon.com/gp/new-releases/books/10204/ref=zg_bs_tab_t_bsnr
18,History & Criticism,,https://www.amazon.com/gp/most-wished-for/books/10204/ref=zg_bs_tab_t_mw
19,History & Criticism,,https://www.amazon.com/gp/most-wished-for/books/10204/ref=zg_bs_tab_t_mw
20,History & Criticism,Hamnet-Maggie-OFarrell,/Hamnet-Maggie-OFarrell/dp/0525657606/ref=zg_bs_10204_5?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
21,History & Criticism,product-reviews,/product-reviews/0525657606/ref=zg_bs_10204_cr_5?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
22,History & Criticism,product-reviews,/product-reviews/0525657606/ref=zg_bs_10204_cr_5?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
23,History & Criticism,Hamnet-Maggie-OFarrell,/Hamnet-Maggie-OFarrell/dp/0525657606/ref=zg_bs_10204_5?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
24,History & Criticism,Handmaids-Tale-Margaret-Atwood,/Handmaids-Tale-Margaret-Atwood/dp/038549081X/ref=zg_bs_10204_6?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
25,History & Criticism,product-reviews,/product-reviews/038549081X/ref=zg_bs_10204_cr_6?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
26,History & Criticism,product-reviews,/product-reviews/038549081X/ref=zg_bs_10204_cr_6?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
27,History & Criticism,Handmaids-Tale-Margaret-Atwood,/Handmaids-Tale-Margaret-Atwood/dp/038549081X/ref=zg_bs_10204_6?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
28,History & Criticism,Women-Who-Run-Wolves-Archetype,/Women-Who-Run-Wolves-Archetype/dp/0345409876/ref=zg_bs_10204_7?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
29,History & Criticism,product-reviews,/product-reviews/0345409876/ref=zg_bs_10204_cr_7?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
30,History & Criticism,product-reviews,/product-reviews/0345409876/ref=zg_bs_10204_cr_7?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
31,History & Criticism,Women-Who-Run-Wolves-Archetype,/Women-Who-Run-Wolves-Archetype/dp/0345409876/ref=zg_bs_10204_7?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
32,History & Criticism,Everybody-Behaves-Badly-Hemingways-Masterpiece-ebook,/Everybody-Behaves-Badly-Hemingways-Masterpiece-ebook/dp/B011H55QX2/ref=zg_bs_10204_8?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
33,History & Criticism,product-reviews,/product-reviews/B011H55QX2/ref=zg_bs_10204_cr_8?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
34,History & Criticism,product-reviews,/product-reviews/B011H55QX2/ref=zg_bs_10204_cr_8?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
35,History & Criticism,Everybody-Behaves-Badly-Hemingways-Masterpiece-ebook,/Everybody-Behaves-Badly-Hemingways-Masterpiece-ebook/dp/B011H55QX2/ref=zg_bs_10204_8?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
36,History & Criticism,Philip-Roth-Biography-Blake-Bailey,/Philip-Roth-Biography-Blake-Bailey/dp/039324072X/ref=zg_bs_10204_9?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
37,History & Criticism,product-reviews,/product-reviews/039324072X/ref=zg_bs_10204_cr_9?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
38,History & Criticism,product-reviews,/product-reviews/039324072X/ref=zg_bs_10204_cr_9?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
39,History & Criticism,Philip-Roth-Biography-Blake-Bailey,/Philip-Roth-Biography-Blake-Bailey/dp/039324072X/ref=zg_bs_10204_9?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
40,History & Criticism,Minor-Feelings-Asian-American-Reckoning,/Minor-Feelings-Asian-American-Reckoning/dp/1984820389/ref=zg_bs_10204_10?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
41,History & Criticism,product-reviews,/product-reviews/1984820389/ref=zg_bs_10204_cr_10?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
42,History & Criticism,product-reviews,/product-reviews/1984820389/ref=zg_bs_10204_cr_10?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
43,History & Criticism,Minor-Feelings-Asian-American-Reckoning,/Minor-Feelings-Asian-American-Reckoning/dp/1984820389/ref=zg_bs_10204_10?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
44,History & Criticism,Last-Bookshop-London-Novel-World,/Last-Bookshop-London-Novel-World/dp/133528480X/ref=zg_bs_10204_11?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
45,History & Criticism,product-reviews,/product-reviews/133528480X/ref=zg_bs_10204_cr_11?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
46,History & Criticism,product-reviews,/product-reviews/133528480X/ref=zg_bs_10204_cr_11?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
47,History & Criticism,Last-Bookshop-London-Novel-World,/Last-Bookshop-London-Novel-World/dp/133528480X/ref=zg_bs_10204_11?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
48,History & Criticism,Swim-Pond-Rain-Russians-Writing,/Swim-Pond-Rain-Russians-Writing/dp/1984856022/ref=zg_bs_10204_12?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
49,History & Criticism,product-reviews,/product-reviews/1984856022/ref=zg_bs_10204_cr_12?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
50,History & Criticism,product-reviews,/product-reviews/1984856022/ref=zg_bs_10204_cr_12?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
51,History & Criticism,Swim-Pond-Rain-Russians-Writing,/Swim-Pond-Rain-Russians-Writing/dp/1984856022/ref=zg_bs_10204_12?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
52,History & Criticism,Sun-Her-Flowers-Rupi-Kaur,/Sun-Her-Flowers-Rupi-Kaur/dp/1449486797/ref=zg_bs_10204_13?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
53,History & Criticism,product-reviews,/product-reviews/1449486797/ref=zg_bs_10204_cr_13?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
54,History & Criticism,product-reviews,/product-reviews/1449486797/ref=zg_bs_10204_cr_13?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
55,History & Criticism,Sun-Her-Flowers-Rupi-Kaur,/Sun-Her-Flowers-Rupi-Kaur/dp/1449486797/ref=zg_bs_10204_13?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
56,History & Criticism,Minor-Feelings-Asian-American-Reckoning,/Minor-Feelings-Asian-American-Reckoning/dp/B084RL6LR3/ref=zg_bs_10204_14?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
57,History & Criticism,product-reviews,/product-reviews/B084RL6LR3/ref=zg_bs_10204_cr_14?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
58,History & Criticism,product-reviews,/product-reviews/B084RL6LR3/ref=zg_bs_10204_cr_14?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
59,History & Criticism,Minor-Feelings-Asian-American-Reckoning,/Minor-Feelings-Asian-American-Reckoning/dp/B084RL6LR3/ref=zg_bs_10204_14?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
60,History & Criticism,Sun-Her-Flowers-Rupi-Kaur-ebook,/Sun-Her-Flowers-Rupi-Kaur-ebook/dp/B073VTX3TW/ref=zg_bs_10204_15?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
61,History & Criticism,product-reviews,/product-reviews/B073VTX3TW/ref=zg_bs_10204_cr_15?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
62,History & Criticism,product-reviews,/product-reviews/B073VTX3TW/ref=zg_bs_10204_cr_15?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
63,History & Criticism,Sun-Her-Flowers-Rupi-Kaur-ebook,/Sun-Her-Flowers-Rupi-Kaur-ebook/dp/B073VTX3TW/ref=zg_bs_10204_15?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
64,History & Criticism,Mystery-Writers-America-Cookbook-Wickedly-ebook,/Mystery-Writers-America-Cookbook-Wickedly-ebook/dp/B00N6PBELA/ref=zg_bs_10204_16?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
65,History & Criticism,product-reviews,/product-reviews/B00N6PBELA/ref=zg_bs_10204_cr_16?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
66,History & Criticism,product-reviews,/product-reviews/B00N6PBELA/ref=zg_bs_10204_cr_16?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
67,History & Criticism,Mystery-Writers-America-Cookbook-Wickedly-ebook,/Mystery-Writers-America-Cookbook-Wickedly-ebook/dp/B00N6PBELA/ref=zg_bs_10204_16?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
68,History & Criticism,Know-Why-Caged-Bird-Sings,/Know-Why-Caged-Bird-Sings/dp/0345514408/ref=zg_bs_10204_17?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
69,History & Criticism,product-reviews,/product-reviews/0345514408/ref=zg_bs_10204_cr_17?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
70,History & Criticism,product-reviews,/product-reviews/0345514408/ref=zg_bs_10204_cr_17?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
71,History & Criticism,Know-Why-Caged-Bird-Sings,/Know-Why-Caged-Bird-Sings/dp/0345514408/ref=zg_bs_10204_17?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
72,History & Criticism,Romeo-Juliet-No-Fear-Shakespeare,/Romeo-Juliet-No-Fear-Shakespeare/dp/1586638459/ref=zg_bs_10204_18?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
73,History & Criticism,product-reviews,/product-reviews/1586638459/ref=zg_bs_10204_cr_18?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
74,History & Criticism,product-reviews,/product-reviews/1586638459/ref=zg_bs_10204_cr_18?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
75,History & Criticism,Romeo-Juliet-No-Fear-Shakespeare,/Romeo-Juliet-No-Fear-Shakespeare/dp/1586638459/ref=zg_bs_10204_18?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
76,History & Criticism,Agatha-Christies-Poirot,/Agatha-Christies-Poirot/dp/0008296618/ref=zg_bs_10204_19?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
77,History & Criticism,product-reviews,/product-reviews/0008296618/ref=zg_bs_10204_cr_19?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
78,History & Criticism,product-reviews,/product-reviews/0008296618/ref=zg_bs_10204_cr_19?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
79,History & Criticism,Agatha-Christies-Poirot,/Agatha-Christies-Poirot/dp/0008296618/ref=zg_bs_10204_19?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
80,History & Criticism,Crime-Punishment-Volokhonsky-Translation-Classics,/Crime-Punishment-Volokhonsky-Translation-Classics/dp/0679734503/ref=zg_bs_10204_20?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
81,History & Criticism,product-reviews,/product-reviews/0679734503/ref=zg_bs_10204_cr_20?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
82,History & Criticism,product-reviews,/product-reviews/0679734503/ref=zg_bs_10204_cr_20?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
83,History & Criticism,Crime-Punishment-Volokhonsky-Translation-Classics,/Crime-Punishment-Volokhonsky-Translation-Classics/dp/0679734503/ref=zg_bs_10204_20?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
84,History & Criticism,Everything-Need-World-History-Notebook,/Everything-Need-World-History-Notebook/dp/0761160949/ref=zg_bs_10204_21?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
85,History & Criticism,product-reviews,/product-reviews/0761160949/ref=zg_bs_10204_cr_21?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
86,History & Criticism,product-reviews,/product-reviews/0761160949/ref=zg_bs_10204_cr_21?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
87,History & Criticism,Everything-Need-World-History-Notebook,/Everything-Need-World-History-Notebook/dp/0761160949/ref=zg_bs_10204_21?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
88,History & Criticism,Philip-Roth-Biography-Blake-Bailey-ebook,/Philip-Roth-Biography-Blake-Bailey-ebook/dp/B08D1QLMQN/ref=zg_bs_10204_22?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
89,History & Criticism,product-reviews,/product-reviews/B08D1QLMQN/ref=zg_bs_10204_cr_22?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
90,History & Criticism,product-reviews,/product-reviews/B08D1QLMQN/ref=zg_bs_10204_cr_22?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
91,History & Criticism,Philip-Roth-Biography-Blake-Bailey-ebook,/Philip-Roth-Biography-Blake-Bailey-ebook/dp/B08D1QLMQN/ref=zg_bs_10204_22?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
92,History & Criticism,You-Love-Me-Novel,/You-Love-Me-Novel/dp/0593133781/ref=zg_bs_10204_23?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
93,History & Criticism,product-reviews,/product-reviews/0593133781/ref=zg_bs_10204_cr_23?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
94,History & Criticism,product-reviews,/product-reviews/0593133781/ref=zg_bs_10204_cr_23?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
95,History & Criticism,You-Love-Me-Novel,/You-Love-Me-Novel/dp/0593133781/ref=zg_bs_10204_23?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
96,History & Criticism,I-Know-Why-Caged-Bird-Sings-audiobook,/I-Know-Why-Caged-Bird-Sings-audiobook/dp/B004HYHTN6/ref=zg_bs_10204_24?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
97,History & Criticism,product-reviews,/product-reviews/B004HYHTN6/ref=zg_bs_10204_cr_24?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
98,History & Criticism,product-reviews,/product-reviews/B004HYHTN6/ref=zg_bs_10204_cr_24?ie=UTF8&refRID=EEEEKHG8CDXN4ZFN0PB3
99,History & Criticism,I-Know-Why-Caged-Bird-Sings-audiobook,/I-Know-Why-Caged-Bird-Sings-audiobook/dp/B004HYHTN6/ref=zg_bs_10204_24?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
100,History & Criticism,The-Count-of-Monte-Cristo-audiobook,/The-Count-of-Monte-Cristo-audiobook/dp/B005GG1APM/ref=zg_bs_10204_25?_encoding=UTF8&psc=1&refRID=EEEEKHG8CDXN4ZFN0PB3
