,sub_cat,item_name,URL
0,History,Yellow-House-Sarah-M-Broom-ebook,/Yellow-House-Sarah-M-Broom-ebook/dp/B07MG5ZGW6/ref=zg_bs_156576011_1?_encoding=UTF8&psc=1&refRID=4RPWQK5JK3G62459F672
1,History,product-reviews,/product-reviews/B07MG5ZGW6/ref=zg_bs_156576011_cr_1?ie=UTF8&refRID=4RPWQK5JK3G62459F672
2,History,product-reviews,/product-reviews/B07MG5ZGW6/ref=zg_bs_156576011_cr_1?ie=UTF8&refRID=4RPWQK5JK3G62459F672
3,History,Yellow-House-Sarah-M-Broom-ebook,/Yellow-House-Sarah-M-Broom-ebook/dp/B07MG5ZGW6/ref=zg_bs_156576011_1?_encoding=UTF8&psc=1&refRID=4RPWQK5JK3G62459F672
4,History,Unsettled-Climate-Science-Doesnt-Matters-ebook,/Unsettled-Climate-Science-Doesnt-Matters-ebook/dp/B08JQKQGD5/ref=zg_bs_156576011_2?_encoding=UTF8&psc=1&refRID=4RPWQK5JK3G62459F672
5,History,Unsettled-Climate-Science-Doesnt-Matters-ebook,/Unsettled-Climate-Science-Doesnt-Matters-ebook/dp/B08JQKQGD5/ref=zg_bs_156576011_2?_encoding=UTF8&psc=1&refRID=4RPWQK5JK3G62459F672
6,History,Stamped-Beginning-Definitive-History-America-ebook,/Stamped-Beginning-Definitive-History-America-ebook/dp/B017QL8WV4/ref=zg_bs_156576011_3?_encoding=UTF8&psc=1&refRID=4RPWQK5JK3G62459F672
7,History,product-reviews,/product-reviews/B017QL8WV4/ref=zg_bs_156576011_cr_3?ie=UTF8&refRID=4RPWQK5JK3G62459F672
8,History,product-reviews,/product-reviews/B017QL8WV4/ref=zg_bs_156576011_cr_3?ie=UTF8&refRID=4RPWQK5JK3G62459F672
9,History,Stamped-Beginning-Definitive-History-America-ebook,/Stamped-Beginning-Definitive-History-America-ebook/dp/B017QL8WV4/ref=zg_bs_156576011_3?_encoding=UTF8&psc=1&refRID=4RPWQK5JK3G62459F672
10,History,D-Day-Girls-Resistance-Sabotaged-Helped-ebook,/D-Day-Girls-Resistance-Sabotaged-Helped-ebook/dp/B07GNS3LGK/ref=zg_bs_156576011_4?_encoding=UTF8&psc=1&refRID=4RPWQK5JK3G62459F672
11,History,product-reviews,/product-reviews/B07GNS3LGK/ref=zg_bs_156576011_cr_4?ie=UTF8&refRID=4RPWQK5JK3G62459F672
12,History,product-reviews,/product-reviews/B07GNS3LGK/ref=zg_bs_156576011_cr_4?ie=UTF8&refRID=4RPWQK5JK3G62459F672
13,History,D-Day-Girls-Resistance-Sabotaged-Helped-ebook,/D-Day-Girls-Resistance-Sabotaged-Helped-ebook/dp/B07GNS3LGK/ref=zg_bs_156576011_4?_encoding=UTF8&psc=1&refRID=4RPWQK5JK3G62459F672
14,History,,https://www.amazon.com/gp/new-releases/digital-text/156576011/ref=zg_bs_tab_t_bsnr
15,History,,https://www.amazon.com/gp/new-releases/digital-text/156576011/ref=zg_bs_tab_t_bsnr
16,History,Tombstone-Earp-Brothers-Holliday-Vendetta-ebook,/Tombstone-Earp-Brothers-Holliday-Vendetta-ebook/dp/B07V41F68C/ref=zg_bs_156576011_5?_encoding=UTF8&psc=1&refRID=4RPWQK5JK3G62459F672
17,History,product-reviews,/product-reviews/B07V41F68C/ref=zg_bs_156576011_cr_5?ie=UTF8&refRID=4RPWQK5JK3G62459F672
18,History,product-reviews,/product-reviews/B07V41F68C/ref=zg_bs_156576011_cr_5?ie=UTF8&refRID=4RPWQK5JK3G62459F672
