,sub_cat,item_name,URL
0,Humor & Entertainment,Ride-Lifetime-Lessons-Learned-Company-ebook,/Ride-Lifetime-Lessons-Learned-Company-ebook/dp/B07PF6XTD8/ref=zg_bs_156279011_1?_encoding=UTF8&psc=1&refRID=034DBGC1N37VEW3GFESG
1,Humor & Entertainment,product-reviews,/product-reviews/B07PF6XTD8/ref=zg_bs_156279011_cr_1?ie=UTF8&refRID=034DBGC1N37VEW3GFESG
2,Humor & Entertainment,product-reviews,/product-reviews/B07PF6XTD8/ref=zg_bs_156279011_cr_1?ie=UTF8&refRID=034DBGC1N37VEW3GFESG
3,Humor & Entertainment,Ride-Lifetime-Lessons-Learned-Company-ebook,/Ride-Lifetime-Lessons-Learned-Company-ebook/dp/B07PF6XTD8/ref=zg_bs_156279011_1?_encoding=UTF8&psc=1&refRID=034DBGC1N37VEW3GFESG
4,Humor & Entertainment,Cowboys-Their-Girls-Wyoming-Rebels-ebook,/Cowboys-Their-Girls-Wyoming-Rebels-ebook/dp/B075C65TZ8/ref=zg_bs_156279011_2?_encoding=UTF8&psc=1&refRID=034DBGC1N37VEW3GFESG
5,Humor & Entertainment,product-reviews,/product-reviews/B075C65TZ8/ref=zg_bs_156279011_cr_2?ie=UTF8&refRID=034DBGC1N37VEW3GFESG
6,Humor & Entertainment,product-reviews,/product-reviews/B075C65TZ8/ref=zg_bs_156279011_cr_2?ie=UTF8&refRID=034DBGC1N37VEW3GFESG
7,Humor & Entertainment,Cowboys-Their-Girls-Wyoming-Rebels-ebook,/Cowboys-Their-Girls-Wyoming-Rebels-ebook/dp/B075C65TZ8/ref=zg_bs_156279011_2?_encoding=UTF8&psc=1&refRID=034DBGC1N37VEW3GFESG
8,Humor & Entertainment,Oops-Ive-Fallen-Max-Monroe-ebook,/Oops-Ive-Fallen-Max-Monroe-ebook/dp/B08Z8MRPQ9/ref=zg_bs_156279011_3?_encoding=UTF8&psc=1&refRID=034DBGC1N37VEW3GFESG
9,Humor & Entertainment,product-reviews,/product-reviews/B08Z8MRPQ9/ref=zg_bs_156279011_cr_3?ie=UTF8&refRID=034DBGC1N37VEW3GFESG
10,Humor & Entertainment,product-reviews,/product-reviews/B08Z8MRPQ9/ref=zg_bs_156279011_cr_3?ie=UTF8&refRID=034DBGC1N37VEW3GFESG
11,Humor & Entertainment,Oops-Ive-Fallen-Max-Monroe-ebook,/Oops-Ive-Fallen-Max-Monroe-ebook/dp/B08Z8MRPQ9/ref=zg_bs_156279011_3?_encoding=UTF8&psc=1&refRID=034DBGC1N37VEW3GFESG
12,Humor & Entertainment,Erma-Bombeck-Collection-Cherries-Motherhood-ebook,/Erma-Bombeck-Collection-Cherries-Motherhood-ebook/dp/B00CLVB9WO/ref=zg_bs_156279011_4?_encoding=UTF8&psc=1&refRID=034DBGC1N37VEW3GFESG
13,Humor & Entertainment,product-reviews,/product-reviews/B00CLVB9WO/ref=zg_bs_156279011_cr_4?ie=UTF8&refRID=034DBGC1N37VEW3GFESG
14,Humor & Entertainment,product-reviews,/product-reviews/B00CLVB9WO/ref=zg_bs_156279011_cr_4?ie=UTF8&refRID=034DBGC1N37VEW3GFESG
15,Humor & Entertainment,Erma-Bombeck-Collection-Cherries-Motherhood-ebook,/Erma-Bombeck-Collection-Cherries-Motherhood-ebook/dp/B00CLVB9WO/ref=zg_bs_156279011_4?_encoding=UTF8&psc=1&refRID=034DBGC1N37VEW3GFESG
16,Humor & Entertainment,,https://www.amazon.com/gp/new-releases/digital-text/156279011/ref=zg_bs_tab_t_bsnr
17,Humor & Entertainment,,https://www.amazon.com/gp/new-releases/digital-text/156279011/ref=zg_bs_tab_t_bsnr
18,Humor & Entertainment,Forever-Never-Lucy-Score-ebook,/Forever-Never-Lucy-Score-ebook/dp/B08XC816XM/ref=zg_bs_156279011_5?_encoding=UTF8&psc=1&refRID=034DBGC1N37VEW3GFESG
19,Humor & Entertainment,product-reviews,/product-reviews/B08XC816XM/ref=zg_bs_156279011_cr_5?ie=UTF8&refRID=034DBGC1N37VEW3GFESG
20,Humor & Entertainment,product-reviews,/product-reviews/B08XC816XM/ref=zg_bs_156279011_cr_5?ie=UTF8&refRID=034DBGC1N37VEW3GFESG
21,Humor & Entertainment,Forever-Never-Lucy-Score-ebook,/Forever-Never-Lucy-Score-ebook/dp/B08XC816XM/ref=zg_bs_156279011_5?_encoding=UTF8&psc=1&refRID=034DBGC1N37VEW3GFESG
22,Humor & Entertainment,Text-Me-Tuesday-Texting-Accidentally-ebook,/Text-Me-Tuesday-Texting-Accidentally-ebook/dp/B08WKKM3NN/ref=zg_bs_156279011_6?_encoding=UTF8&psc=1&refRID=034DBGC1N37VEW3GFESG
23,Humor & Entertainment,product-reviews,/product-reviews/B08WKKM3NN/ref=zg_bs_156279011_cr_6?ie=UTF8&refRID=034DBGC1N37VEW3GFESG
24,Humor & Entertainment,product-reviews,/product-reviews/B08WKKM3NN/ref=zg_bs_156279011_cr_6?ie=UTF8&refRID=034DBGC1N37VEW3GFESG
25,Humor & Entertainment,Text-Me-Tuesday-Texting-Accidentally-ebook,/Text-Me-Tuesday-Texting-Accidentally-ebook/dp/B08WKKM3NN/ref=zg_bs_156279011_6?_encoding=UTF8&psc=1&refRID=034DBGC1N37VEW3GFESG
26,Humor & Entertainment,He-Who-Fights-Monsters-Adventure-ebook,/He-Who-Fights-Monsters-Adventure-ebook/dp/B08WCT9W26/ref=zg_bs_156279011_7?_encoding=UTF8&psc=1&refRID=034DBGC1N37VEW3GFESG
