,sub_cat,item_name,URL
0,Humor & Satire,Thought-Said-This-Would-Work-ebook,/Thought-Said-This-Would-Work-ebook/dp/B08CMS48FT/ref=zg_bs_4465_1?_encoding=UTF8&psc=1&refRID=V6462N6N2ZVVA3A8VW7Z
1,Humor & Satire,product-reviews,/product-reviews/B08CMS48FT/ref=zg_bs_4465_cr_1?ie=UTF8&refRID=V6462N6N2ZVVA3A8VW7Z
2,Humor & Satire,product-reviews,/product-reviews/B08CMS48FT/ref=zg_bs_4465_cr_1?ie=UTF8&refRID=V6462N6N2ZVVA3A8VW7Z
3,Humor & Satire,Thought-Said-This-Would-Work-ebook,/Thought-Said-This-Would-Work-ebook/dp/B08CMS48FT/ref=zg_bs_4465_1?_encoding=UTF8&psc=1&refRID=V6462N6N2ZVVA3A8VW7Z
4,Humor & Satire,Pucking-Love-Copper-Valley-Thrusters-ebook,/Pucking-Love-Copper-Valley-Thrusters-ebook/dp/B091P5TKQG/ref=zg_bs_4465_2?_encoding=UTF8&psc=1&refRID=V6462N6N2ZVVA3A8VW7Z
5,Humor & Satire,product-reviews,/product-reviews/B091P5TKQG/ref=zg_bs_4465_cr_2?ie=UTF8&refRID=V6462N6N2ZVVA3A8VW7Z
6,Humor & Satire,product-reviews,/product-reviews/B091P5TKQG/ref=zg_bs_4465_cr_2?ie=UTF8&refRID=V6462N6N2ZVVA3A8VW7Z
7,Humor & Satire,Pucking-Love-Copper-Valley-Thrusters-ebook,/Pucking-Love-Copper-Valley-Thrusters-ebook/dp/B091P5TKQG/ref=zg_bs_4465_2?_encoding=UTF8&psc=1&refRID=V6462N6N2ZVVA3A8VW7Z
8,Humor & Satire,Oops-Ive-Fallen-Max-Monroe-ebook,/Oops-Ive-Fallen-Max-Monroe-ebook/dp/B08Z8MRPQ9/ref=zg_bs_4465_3?_encoding=UTF8&psc=1&refRID=V6462N6N2ZVVA3A8VW7Z
9,Humor & Satire,product-reviews,/product-reviews/B08Z8MRPQ9/ref=zg_bs_4465_cr_3?ie=UTF8&refRID=V6462N6N2ZVVA3A8VW7Z
10,Humor & Satire,product-reviews,/product-reviews/B08Z8MRPQ9/ref=zg_bs_4465_cr_3?ie=UTF8&refRID=V6462N6N2ZVVA3A8VW7Z
11,Humor & Satire,Oops-Ive-Fallen-Max-Monroe-ebook,/Oops-Ive-Fallen-Max-Monroe-ebook/dp/B08Z8MRPQ9/ref=zg_bs_4465_3?_encoding=UTF8&psc=1&refRID=V6462N6N2ZVVA3A8VW7Z
12,Humor & Satire,Twisted-Twenty-Six-Stephanie-Plum-Book-ebook,/Twisted-Twenty-Six-Stephanie-Plum-Book-ebook/dp/B07QBLNPR2/ref=zg_bs_4465_4?_encoding=UTF8&psc=1&refRID=V6462N6N2ZVVA3A8VW7Z
13,Humor & Satire,product-reviews,/product-reviews/B07QBLNPR2/ref=zg_bs_4465_cr_4?ie=UTF8&refRID=V6462N6N2ZVVA3A8VW7Z
14,Humor & Satire,product-reviews,/product-reviews/B07QBLNPR2/ref=zg_bs_4465_cr_4?ie=UTF8&refRID=V6462N6N2ZVVA3A8VW7Z
15,Humor & Satire,Twisted-Twenty-Six-Stephanie-Plum-Book-ebook,/Twisted-Twenty-Six-Stephanie-Plum-Book-ebook/dp/B07QBLNPR2/ref=zg_bs_4465_4?_encoding=UTF8&psc=1&refRID=V6462N6N2ZVVA3A8VW7Z
16,Humor & Satire,,https://www.amazon.com/gp/new-releases/books/4465/ref=zg_bs_tab_t_bsnr
17,Humor & Satire,,https://www.amazon.com/gp/new-releases/books/4465/ref=zg_bs_tab_t_bsnr
18,Humor & Satire,,https://www.amazon.com/gp/most-wished-for/books/4465/ref=zg_bs_tab_t_mw
19,Humor & Satire,,https://www.amazon.com/gp/most-wished-for/books/4465/ref=zg_bs_tab_t_mw
20,Humor & Satire,1984-Signet-Classics-George-Orwell,/1984-Signet-Classics-George-Orwell/dp/0451524934/ref=zg_bs_4465_5?_encoding=UTF8&psc=1&refRID=V6462N6N2ZVVA3A8VW7Z
21,Humor & Satire,product-reviews,/product-reviews/0451524934/ref=zg_bs_4465_cr_5?ie=UTF8&refRID=V6462N6N2ZVVA3A8VW7Z
22,Humor & Satire,product-reviews,/product-reviews/0451524934/ref=zg_bs_4465_cr_5?ie=UTF8&refRID=V6462N6N2ZVVA3A8VW7Z
23,Humor & Satire,1984-Signet-Classics-George-Orwell,/1984-Signet-Classics-George-Orwell/dp/0451524934/ref=zg_bs_4465_5?_encoding=UTF8&psc=1&refRID=V6462N6N2ZVVA3A8VW7Z
24,Humor & Satire,Standing-Rainbow-Ballantine-Readers-Circle-ebook,/Standing-Rainbow-Ballantine-Readers-Circle-ebook/dp/B000FC1V2Y/ref=zg_bs_4465_6?_encoding=UTF8&psc=1&refRID=V6462N6N2ZVVA3A8VW7Z
