,sub_cat,item_name,URL
0,Islam,Fantasy-Science-Fiction-print-edition,/Fantasy-Science-Fiction-print-edition/dp/B00006KDW3/ref=zg_bs_254163011_1?_encoding=UTF8&psc=1&refRID=5RD4X3K8YG5YP7VYBZ7X
1,Islam,product-reviews,/product-reviews/B00006KDW3/ref=zg_bs_254163011_cr_1?ie=UTF8&refRID=5RD4X3K8YG5YP7VYBZ7X
2,Islam,product-reviews,/product-reviews/B00006KDW3/ref=zg_bs_254163011_cr_1?ie=UTF8&refRID=5RD4X3K8YG5YP7VYBZ7X
3,Islam,Fantasy-Science-Fiction-print-edition,/Fantasy-Science-Fiction-print-edition/dp/B00006KDW3/ref=zg_bs_254163011_1?_encoding=UTF8&psc=1&refRID=5RD4X3K8YG5YP7VYBZ7X
4,Islam,Guideposts,/Guideposts/dp/B004HLGC5U/ref=zg_bs_254163011_2?_encoding=UTF8&psc=1&refRID=5RD4X3K8YG5YP7VYBZ7X
5,Islam,product-reviews,/product-reviews/B004HLGC5U/ref=zg_bs_254163011_cr_2?ie=UTF8&refRID=5RD4X3K8YG5YP7VYBZ7X
6,Islam,product-reviews,/product-reviews/B004HLGC5U/ref=zg_bs_254163011_cr_2?ie=UTF8&refRID=5RD4X3K8YG5YP7VYBZ7X
7,Islam,Guideposts,/Guideposts/dp/B004HLGC5U/ref=zg_bs_254163011_2?_encoding=UTF8&psc=1&refRID=5RD4X3K8YG5YP7VYBZ7X
8,Islam,Fellowship-St-James-Touchstone-Christianity,/Fellowship-St-James-Touchstone-Christianity/dp/B0001PBUDA/ref=zg_bs_254163011_3?_encoding=UTF8&psc=1&refRID=5RD4X3K8YG5YP7VYBZ7X
9,Islam,product-reviews,/product-reviews/B0001PBUDA/ref=zg_bs_254163011_cr_3?ie=UTF8&refRID=5RD4X3K8YG5YP7VYBZ7X
10,Islam,product-reviews,/product-reviews/B0001PBUDA/ref=zg_bs_254163011_cr_3?ie=UTF8&refRID=5RD4X3K8YG5YP7VYBZ7X
11,Islam,Fellowship-St-James-Touchstone-Christianity,/Fellowship-St-James-Touchstone-Christianity/dp/B0001PBUDA/ref=zg_bs_254163011_3?_encoding=UTF8&psc=1&refRID=5RD4X3K8YG5YP7VYBZ7X
12,Islam,Religion-and-Public-Life-Things,/Religion-and-Public-Life-Things/dp/B000HOJOZ6/ref=zg_bs_254163011_4?_encoding=UTF8&psc=1&refRID=5RD4X3K8YG5YP7VYBZ7X
13,Islam,product-reviews,/product-reviews/B000HOJOZ6/ref=zg_bs_254163011_cr_4?ie=UTF8&refRID=5RD4X3K8YG5YP7VYBZ7X
14,Islam,product-reviews,/product-reviews/B000HOJOZ6/ref=zg_bs_254163011_cr_4?ie=UTF8&refRID=5RD4X3K8YG5YP7VYBZ7X
15,Islam,Religion-and-Public-Life-Things,/Religion-and-Public-Life-Things/dp/B000HOJOZ6/ref=zg_bs_254163011_4?_encoding=UTF8&psc=1&refRID=5RD4X3K8YG5YP7VYBZ7X
16,Islam,,https://www.amazon.com/gp/most-wished-for/magazines/254163011/ref=zg_bs_tab_t_mw
