,sub_cat,item_name,URL
0,Literature & Fiction,Next-Wife-Kaira-Rouda-ebook,/Next-Wife-Kaira-Rouda-ebook/dp/B08C7J3LQZ/ref=zg_bs_157028011_1?_encoding=UTF8&psc=1&refRID=M71HVDJCRX2KKM5QCT76
1,Literature & Fiction,product-reviews,/product-reviews/B08C7J3LQZ/ref=zg_bs_157028011_cr_1?ie=UTF8&refRID=M71HVDJCRX2KKM5QCT76
2,Literature & Fiction,product-reviews,/product-reviews/B08C7J3LQZ/ref=zg_bs_157028011_cr_1?ie=UTF8&refRID=M71HVDJCRX2KKM5QCT76
3,Literature & Fiction,Next-Wife-Kaira-Rouda-ebook,/Next-Wife-Kaira-Rouda-ebook/dp/B08C7J3LQZ/ref=zg_bs_157028011_1?_encoding=UTF8&psc=1&refRID=M71HVDJCRX2KKM5QCT76
4,Literature & Fiction,Venice-Sketchbook-Novel-Rhys-Bowen-ebook,/Venice-Sketchbook-Novel-Rhys-Bowen-ebook/dp/B08CV9SPDQ/ref=zg_bs_157028011_2?_encoding=UTF8&psc=1&refRID=M71HVDJCRX2KKM5QCT76
5,Literature & Fiction,product-reviews,/product-reviews/B08CV9SPDQ/ref=zg_bs_157028011_cr_2?ie=UTF8&refRID=M71HVDJCRX2KKM5QCT76
6,Literature & Fiction,product-reviews,/product-reviews/B08CV9SPDQ/ref=zg_bs_157028011_cr_2?ie=UTF8&refRID=M71HVDJCRX2KKM5QCT76
7,Literature & Fiction,Venice-Sketchbook-Novel-Rhys-Bowen-ebook,/Venice-Sketchbook-Novel-Rhys-Bowen-ebook/dp/B08CV9SPDQ/ref=zg_bs_157028011_2?_encoding=UTF8&psc=1&refRID=M71HVDJCRX2KKM5QCT76
8,Literature & Fiction,Four-Winds-Novel-Kristin-Hannah-ebook,/Four-Winds-Novel-Kristin-Hannah-ebook/dp/B087ZXSPGJ/ref=zg_bs_157028011_3?_encoding=UTF8&psc=1&refRID=M71HVDJCRX2KKM5QCT76
9,Literature & Fiction,product-reviews,/product-reviews/B087ZXSPGJ/ref=zg_bs_157028011_cr_3?ie=UTF8&refRID=M71HVDJCRX2KKM5QCT76
10,Literature & Fiction,product-reviews,/product-reviews/B087ZXSPGJ/ref=zg_bs_157028011_cr_3?ie=UTF8&refRID=M71HVDJCRX2KKM5QCT76
11,Literature & Fiction,Four-Winds-Novel-Kristin-Hannah-ebook,/Four-Winds-Novel-Kristin-Hannah-ebook/dp/B087ZXSPGJ/ref=zg_bs_157028011_3?_encoding=UTF8&psc=1&refRID=M71HVDJCRX2KKM5QCT76
12,Literature & Fiction,Bossy-Grump-Enemies-Lovers-Romance-ebook,/Bossy-Grump-Enemies-Lovers-Romance-ebook/dp/B09195Z11D/ref=zg_bs_157028011_4?_encoding=UTF8&psc=1&refRID=M71HVDJCRX2KKM5QCT76
13,Literature & Fiction,product-reviews,/product-reviews/B09195Z11D/ref=zg_bs_157028011_cr_4?ie=UTF8&refRID=M71HVDJCRX2KKM5QCT76
14,Literature & Fiction,product-reviews,/product-reviews/B09195Z11D/ref=zg_bs_157028011_cr_4?ie=UTF8&refRID=M71HVDJCRX2KKM5QCT76
15,Literature & Fiction,Bossy-Grump-Enemies-Lovers-Romance-ebook,/Bossy-Grump-Enemies-Lovers-Romance-ebook/dp/B09195Z11D/ref=zg_bs_157028011_4?_encoding=UTF8&psc=1&refRID=M71HVDJCRX2KKM5QCT76
16,Literature & Fiction,,https://www.amazon.com/gp/new-releases/digital-text/157028011/ref=zg_bs_tab_t_bsnr
