,sub_cat,item_name,URL
0,Medical eBooks,When-Breath-Becomes-Paul-Kalanithi-ebook,/When-Breath-Becomes-Paul-Kalanithi-ebook/dp/B00XSSYR50/ref=zg_bs_157119011_1?_encoding=UTF8&psc=1&refRID=DZZQ0WXHAPWW873R51AE
1,Medical eBooks,product-reviews,/product-reviews/B00XSSYR50/ref=zg_bs_157119011_cr_1?ie=UTF8&refRID=DZZQ0WXHAPWW873R51AE
2,Medical eBooks,product-reviews,/product-reviews/B00XSSYR50/ref=zg_bs_157119011_cr_1?ie=UTF8&refRID=DZZQ0WXHAPWW873R51AE
3,Medical eBooks,When-Breath-Becomes-Paul-Kalanithi-ebook,/When-Breath-Becomes-Paul-Kalanithi-ebook/dp/B00XSSYR50/ref=zg_bs_157119011_1?_encoding=UTF8&psc=1&refRID=DZZQ0WXHAPWW873R51AE
4,Medical eBooks,Incognito-Secret-Lives-David-Eagleman-ebook,/Incognito-Secret-Lives-David-Eagleman-ebook/dp/B004J4WK9W/ref=zg_bs_157119011_2?_encoding=UTF8&psc=1&refRID=DZZQ0WXHAPWW873R51AE
5,Medical eBooks,product-reviews,/product-reviews/B004J4WK9W/ref=zg_bs_157119011_cr_2?ie=UTF8&refRID=DZZQ0WXHAPWW873R51AE
6,Medical eBooks,product-reviews,/product-reviews/B004J4WK9W/ref=zg_bs_157119011_cr_2?ie=UTF8&refRID=DZZQ0WXHAPWW873R51AE
7,Medical eBooks,Incognito-Secret-Lives-David-Eagleman-ebook,/Incognito-Secret-Lives-David-Eagleman-ebook/dp/B004J4WK9W/ref=zg_bs_157119011_2?_encoding=UTF8&psc=1&refRID=DZZQ0WXHAPWW873R51AE
8,Medical eBooks,Hot-Zone-Terrifying-Story-Origins-ebook,/Hot-Zone-Terrifying-Story-Origins-ebook/dp/B007DCU4IQ/ref=zg_bs_157119011_3?_encoding=UTF8&psc=1&refRID=DZZQ0WXHAPWW873R51AE
9,Medical eBooks,product-reviews,/product-reviews/B007DCU4IQ/ref=zg_bs_157119011_cr_3?ie=UTF8&refRID=DZZQ0WXHAPWW873R51AE
10,Medical eBooks,product-reviews,/product-reviews/B007DCU4IQ/ref=zg_bs_157119011_cr_3?ie=UTF8&refRID=DZZQ0WXHAPWW873R51AE
11,Medical eBooks,Hot-Zone-Terrifying-Story-Origins-ebook,/Hot-Zone-Terrifying-Story-Origins-ebook/dp/B007DCU4IQ/ref=zg_bs_157119011_3?_encoding=UTF8&psc=1&refRID=DZZQ0WXHAPWW873R51AE
12,Medical eBooks,This-Naked-Mind-Discover-Happiness-ebook,/This-Naked-Mind-Discover-Happiness-ebook/dp/B077VTJC8P/ref=zg_bs_157119011_4?_encoding=UTF8&psc=1&refRID=DZZQ0WXHAPWW873R51AE
13,Medical eBooks,product-reviews,/product-reviews/B077VTJC8P/ref=zg_bs_157119011_cr_4?ie=UTF8&refRID=DZZQ0WXHAPWW873R51AE
14,Medical eBooks,product-reviews,/product-reviews/B077VTJC8P/ref=zg_bs_157119011_cr_4?ie=UTF8&refRID=DZZQ0WXHAPWW873R51AE
15,Medical eBooks,This-Naked-Mind-Discover-Happiness-ebook,/This-Naked-Mind-Discover-Happiness-ebook/dp/B077VTJC8P/ref=zg_bs_157119011_4?_encoding=UTF8&psc=1&refRID=DZZQ0WXHAPWW873R51AE
16,Medical eBooks,,https://www.amazon.com/gp/new-releases/digital-text/157119011/ref=zg_bs_tab_t_bsnr
17,Medical eBooks,,https://www.amazon.com/gp/new-releases/digital-text/157119011/ref=zg_bs_tab_t_bsnr
18,Medical eBooks,This-Your-Brain-Food-Indispensable-ebook,/This-Your-Brain-Food-Indispensable-ebook/dp/B0827TG4N3/ref=zg_bs_157119011_5?_encoding=UTF8&psc=1&refRID=DZZQ0WXHAPWW873R51AE
19,Medical eBooks,product-reviews,/product-reviews/B0827TG4N3/ref=zg_bs_157119011_cr_5?ie=UTF8&refRID=DZZQ0WXHAPWW873R51AE
20,Medical eBooks,product-reviews,/product-reviews/B0827TG4N3/ref=zg_bs_157119011_cr_5?ie=UTF8&refRID=DZZQ0WXHAPWW873R51AE
21,Medical eBooks,This-Your-Brain-Food-Indispensable-ebook,/This-Your-Brain-Food-Indispensable-ebook/dp/B0827TG4N3/ref=zg_bs_157119011_5?_encoding=UTF8&psc=1&refRID=DZZQ0WXHAPWW873R51AE
22,Medical eBooks,Vagina-Bible-Vulva-Separating-Medicine-ebook,/Vagina-Bible-Vulva-Separating-Medicine-ebook/dp/B07L25YWR1/ref=zg_bs_157119011_6?_encoding=UTF8&psc=1&refRID=DZZQ0WXHAPWW873R51AE
23,Medical eBooks,product-reviews,/product-reviews/B07L25YWR1/ref=zg_bs_157119011_cr_6?ie=UTF8&refRID=DZZQ0WXHAPWW873R51AE
24,Medical eBooks,product-reviews,/product-reviews/B07L25YWR1/ref=zg_bs_157119011_cr_6?ie=UTF8&refRID=DZZQ0WXHAPWW873R51AE
25,Medical eBooks,Vagina-Bible-Vulva-Separating-Medicine-ebook,/Vagina-Bible-Vulva-Separating-Medicine-ebook/dp/B07L25YWR1/ref=zg_bs_157119011_6?_encoding=UTF8&psc=1&refRID=DZZQ0WXHAPWW873R51AE
