,sub_cat,item_name,URL
0,Men,Bachelorette-Customizable-T-Shirts-Bridesmaids-Graphic,/Bachelorette-Customizable-T-Shirts-Bridesmaids-Graphic/dp/B07Q3LWTFF/ref=zg_bs_17714749011_1?_encoding=UTF8&psc=1&refRID=WJK2EH94DZABBXB2V5NP
1,Men,product-reviews,/product-reviews/B07Q3LWTFF/ref=zg_bs_17714749011_cr_1?ie=UTF8&refRID=WJK2EH94DZABBXB2V5NP
2,Men,product-reviews,/product-reviews/B07Q3LWTFF/ref=zg_bs_17714749011_cr_1?ie=UTF8&refRID=WJK2EH94DZABBXB2V5NP
3,Men,Bachelorette-Customizable-T-Shirts-Bridesmaids-Graphic,/Bachelorette-Customizable-T-Shirts-Bridesmaids-Graphic/dp/B07Q3LWTFF/ref=zg_bs_17714749011_1?_encoding=UTF8&psc=1&refRID=WJK2EH94DZABBXB2V5NP
4,Men,Washable-Burgundy-Filter-Reusable-Wedding,/Washable-Burgundy-Filter-Reusable-Wedding/dp/B08JVGJTRG/ref=zg_bs_17714749011_2?_encoding=UTF8&psc=1&refRID=WJK2EH94DZABBXB2V5NP
5,Men,product-reviews,/product-reviews/B08JVGJTRG/ref=zg_bs_17714749011_cr_2?ie=UTF8&refRID=WJK2EH94DZABBXB2V5NP
6,Men,product-reviews,/product-reviews/B08JVGJTRG/ref=zg_bs_17714749011_cr_2?ie=UTF8&refRID=WJK2EH94DZABBXB2V5NP
7,Men,Washable-Burgundy-Filter-Reusable-Wedding,/Washable-Burgundy-Filter-Reusable-Wedding/dp/B08JVGJTRG/ref=zg_bs_17714749011_2?_encoding=UTF8&psc=1&refRID=WJK2EH94DZABBXB2V5NP
8,Men,Glitter-Disneyland-Birthday-Outfits-T-shirts,/Glitter-Disneyland-Birthday-Outfits-T-shirts/dp/B07VQDMMVZ/ref=zg_bs_17714749011_3?_encoding=UTF8&psc=1&refRID=WJK2EH94DZABBXB2V5NP
9,Men,product-reviews,/product-reviews/B07VQDMMVZ/ref=zg_bs_17714749011_cr_3?ie=UTF8&refRID=WJK2EH94DZABBXB2V5NP
10,Men,product-reviews,/product-reviews/B07VQDMMVZ/ref=zg_bs_17714749011_cr_3?ie=UTF8&refRID=WJK2EH94DZABBXB2V5NP
11,Men,Glitter-Disneyland-Birthday-Outfits-T-shirts,/Glitter-Disneyland-Birthday-Outfits-T-shirts/dp/B07VQDMMVZ/ref=zg_bs_17714749011_3?_encoding=UTF8&psc=1&refRID=WJK2EH94DZABBXB2V5NP
12,Men,Disney-Family-Matching-Shirts-Kingdom,/Disney-Family-Matching-Shirts-Kingdom/dp/B07WTTG373/ref=zg_bs_17714749011_4?_encoding=UTF8&psc=1&refRID=WJK2EH94DZABBXB2V5NP
13,Men,product-reviews,/product-reviews/B07WTTG373/ref=zg_bs_17714749011_cr_4?ie=UTF8&refRID=WJK2EH94DZABBXB2V5NP
