,sub_cat,item_name,URL
0,Nonfiction,When-Breath-Becomes-Paul-Kalanithi-ebook,/When-Breath-Becomes-Paul-Kalanithi-ebook/dp/B00XSSYR50/ref=zg_bs_157325011_1?_encoding=UTF8&psc=1&refRID=JWQR1QR2H5KSR54BMC73
1,Nonfiction,product-reviews,/product-reviews/B00XSSYR50/ref=zg_bs_157325011_cr_1?ie=UTF8&refRID=JWQR1QR2H5KSR54BMC73
2,Nonfiction,product-reviews,/product-reviews/B00XSSYR50/ref=zg_bs_157325011_cr_1?ie=UTF8&refRID=JWQR1QR2H5KSR54BMC73
3,Nonfiction,When-Breath-Becomes-Paul-Kalanithi-ebook,/When-Breath-Becomes-Paul-Kalanithi-ebook/dp/B00XSSYR50/ref=zg_bs_157325011_1?_encoding=UTF8&psc=1&refRID=JWQR1QR2H5KSR54BMC73
4,Nonfiction,Uncomfortable-Conversations-Black-Emmanuel-Acho-ebook,/Uncomfortable-Conversations-Black-Emmanuel-Acho-ebook/dp/B08BKMV54M/ref=zg_bs_157325011_2?_encoding=UTF8&psc=1&refRID=JWQR1QR2H5KSR54BMC73
5,Nonfiction,product-reviews,/product-reviews/B08BKMV54M/ref=zg_bs_157325011_cr_2?ie=UTF8&refRID=JWQR1QR2H5KSR54BMC73
6,Nonfiction,product-reviews,/product-reviews/B08BKMV54M/ref=zg_bs_157325011_cr_2?ie=UTF8&refRID=JWQR1QR2H5KSR54BMC73
7,Nonfiction,Uncomfortable-Conversations-Black-Emmanuel-Acho-ebook,/Uncomfortable-Conversations-Black-Emmanuel-Acho-ebook/dp/B08BKMV54M/ref=zg_bs_157325011_2?_encoding=UTF8&psc=1&refRID=JWQR1QR2H5KSR54BMC73
8,Nonfiction,If-You-Tell-Unbreakable-Sisterhood-ebook,/If-You-Tell-Unbreakable-Sisterhood-ebook/dp/B07Q5TL9SQ/ref=zg_bs_157325011_3?_encoding=UTF8&psc=1&refRID=JWQR1QR2H5KSR54BMC73
9,Nonfiction,product-reviews,/product-reviews/B07Q5TL9SQ/ref=zg_bs_157325011_cr_3?ie=UTF8&refRID=JWQR1QR2H5KSR54BMC73
10,Nonfiction,product-reviews,/product-reviews/B07Q5TL9SQ/ref=zg_bs_157325011_cr_3?ie=UTF8&refRID=JWQR1QR2H5KSR54BMC73
