,sub_cat,item_name,URL
0,Other Eastern Religions,Fantasy-Science-Fiction-print-edition,/Fantasy-Science-Fiction-print-edition/dp/B00006KDW3/ref=zg_bs_254168011_1?_encoding=UTF8&psc=1&refRID=VTJ76HF94JPXYW2XZWKJ
1,Other Eastern Religions,product-reviews,/product-reviews/B00006KDW3/ref=zg_bs_254168011_cr_1?ie=UTF8&refRID=VTJ76HF94JPXYW2XZWKJ
2,Other Eastern Religions,product-reviews,/product-reviews/B00006KDW3/ref=zg_bs_254168011_cr_1?ie=UTF8&refRID=VTJ76HF94JPXYW2XZWKJ
3,Other Eastern Religions,Fantasy-Science-Fiction-print-edition,/Fantasy-Science-Fiction-print-edition/dp/B00006KDW3/ref=zg_bs_254168011_1?_encoding=UTF8&psc=1&refRID=VTJ76HF94JPXYW2XZWKJ
4,Other Eastern Religions,Down-East-Enterprise-Magazine-Maine,/Down-East-Enterprise-Magazine-Maine/dp/B00006KC3X/ref=zg_bs_254168011_2?_encoding=UTF8&psc=1&refRID=VTJ76HF94JPXYW2XZWKJ
5,Other Eastern Religions,product-reviews,/product-reviews/B00006KC3X/ref=zg_bs_254168011_cr_2?ie=UTF8&refRID=VTJ76HF94JPXYW2XZWKJ
6,Other Eastern Religions,product-reviews,/product-reviews/B00006KC3X/ref=zg_bs_254168011_cr_2?ie=UTF8&refRID=VTJ76HF94JPXYW2XZWKJ
7,Other Eastern Religions,Down-East-Enterprise-Magazine-Maine,/Down-East-Enterprise-Magazine-Maine/dp/B00006KC3X/ref=zg_bs_254168011_2?_encoding=UTF8&psc=1&refRID=VTJ76HF94JPXYW2XZWKJ
8,Other Eastern Religions,Empty-Vessel,/Empty-Vessel/dp/B007JOD95I/ref=zg_bs_254168011_3?_encoding=UTF8&psc=1&refRID=VTJ76HF94JPXYW2XZWKJ
9,Other Eastern Religions,product-reviews,/product-reviews/B007JOD95I/ref=zg_bs_254168011_cr_3?ie=UTF8&refRID=VTJ76HF94JPXYW2XZWKJ
10,Other Eastern Religions,product-reviews,/product-reviews/B007JOD95I/ref=zg_bs_254168011_cr_3?ie=UTF8&refRID=VTJ76HF94JPXYW2XZWKJ
11,Other Eastern Religions,Empty-Vessel,/Empty-Vessel/dp/B007JOD95I/ref=zg_bs_254168011_3?_encoding=UTF8&psc=1&refRID=VTJ76HF94JPXYW2XZWKJ
12,Other Eastern Religions,Chicago,/Chicago/dp/B00005N7PA/ref=zg_bs_254168011_4?_encoding=UTF8&psc=1&refRID=VTJ76HF94JPXYW2XZWKJ
