,sub_cat,item_name,URL
0,Parenting & Relationships,Erma-Bombeck-Collection-Cherries-Motherhood-ebook,/Erma-Bombeck-Collection-Cherries-Motherhood-ebook/dp/B00CLVB9WO/ref=zg_bs_157584011_1?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
1,Parenting & Relationships,product-reviews,/product-reviews/B00CLVB9WO/ref=zg_bs_157584011_cr_1?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
2,Parenting & Relationships,product-reviews,/product-reviews/B00CLVB9WO/ref=zg_bs_157584011_cr_1?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
3,Parenting & Relationships,Erma-Bombeck-Collection-Cherries-Motherhood-ebook,/Erma-Bombeck-Collection-Cherries-Motherhood-ebook/dp/B00CLVB9WO/ref=zg_bs_157584011_1?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
4,Parenting & Relationships,Unusual-Boy-unforgettable-heart-stopping-book-ebook,/Unusual-Boy-unforgettable-heart-stopping-book-ebook/dp/B08D8YR4ZJ/ref=zg_bs_157584011_2?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
5,Parenting & Relationships,product-reviews,/product-reviews/B08D8YR4ZJ/ref=zg_bs_157584011_cr_2?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
6,Parenting & Relationships,product-reviews,/product-reviews/B08D8YR4ZJ/ref=zg_bs_157584011_cr_2?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
7,Parenting & Relationships,Unusual-Boy-unforgettable-heart-stopping-book-ebook,/Unusual-Boy-unforgettable-heart-stopping-book-ebook/dp/B08D8YR4ZJ/ref=zg_bs_157584011_2?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
8,Parenting & Relationships,Feel-Bad-About-My-Neck-ebook,/Feel-Bad-About-My-Neck-ebook/dp/B000JMKNBA/ref=zg_bs_157584011_3?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
9,Parenting & Relationships,product-reviews,/product-reviews/B000JMKNBA/ref=zg_bs_157584011_cr_3?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
10,Parenting & Relationships,product-reviews,/product-reviews/B000JMKNBA/ref=zg_bs_157584011_cr_3?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
11,Parenting & Relationships,Feel-Bad-About-My-Neck-ebook,/Feel-Bad-About-My-Neck-ebook/dp/B000JMKNBA/ref=zg_bs_157584011_3?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
12,Parenting & Relationships,Autism-Heels-Untold-Female-Spectrum-ebook,/Autism-Heels-Untold-Female-Spectrum-ebook/dp/B073X64DSV/ref=zg_bs_157584011_4?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
13,Parenting & Relationships,product-reviews,/product-reviews/B073X64DSV/ref=zg_bs_157584011_cr_4?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
14,Parenting & Relationships,product-reviews,/product-reviews/B073X64DSV/ref=zg_bs_157584011_cr_4?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
15,Parenting & Relationships,Autism-Heels-Untold-Female-Spectrum-ebook,/Autism-Heels-Untold-Female-Spectrum-ebook/dp/B073X64DSV/ref=zg_bs_157584011_4?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
16,Parenting & Relationships,,https://www.amazon.com/gp/new-releases/digital-text/157584011/ref=zg_bs_tab_t_bsnr
17,Parenting & Relationships,,https://www.amazon.com/gp/new-releases/digital-text/157584011/ref=zg_bs_tab_t_bsnr
18,Parenting & Relationships,Honest-Enneagram-Challenges-Embrace-Growth-ebook,/Honest-Enneagram-Challenges-Embrace-Growth-ebook/dp/B085T2P2JV/ref=zg_bs_157584011_5?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
19,Parenting & Relationships,product-reviews,/product-reviews/B085T2P2JV/ref=zg_bs_157584011_cr_5?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
20,Parenting & Relationships,product-reviews,/product-reviews/B085T2P2JV/ref=zg_bs_157584011_cr_5?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
21,Parenting & Relationships,Honest-Enneagram-Challenges-Embrace-Growth-ebook,/Honest-Enneagram-Challenges-Embrace-Growth-ebook/dp/B085T2P2JV/ref=zg_bs_157584011_5?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
22,Parenting & Relationships,Say-What-You-Mean-Communication-ebook,/Say-What-You-Mean-Communication-ebook/dp/B07DZG5W9H/ref=zg_bs_157584011_6?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
23,Parenting & Relationships,product-reviews,/product-reviews/B07DZG5W9H/ref=zg_bs_157584011_cr_6?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
24,Parenting & Relationships,product-reviews,/product-reviews/B07DZG5W9H/ref=zg_bs_157584011_cr_6?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
25,Parenting & Relationships,Say-What-You-Mean-Communication-ebook,/Say-What-You-Mean-Communication-ebook/dp/B07DZG5W9H/ref=zg_bs_157584011_6?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
26,Parenting & Relationships,Spilled-Milk-Based-True-Story-ebook,/Spilled-Milk-Based-True-Story-ebook/dp/B00D9GY2BU/ref=zg_bs_157584011_7?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
27,Parenting & Relationships,product-reviews,/product-reviews/B00D9GY2BU/ref=zg_bs_157584011_cr_7?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
28,Parenting & Relationships,product-reviews,/product-reviews/B00D9GY2BU/ref=zg_bs_157584011_cr_7?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
29,Parenting & Relationships,Spilled-Milk-Based-True-Story-ebook,/Spilled-Milk-Based-True-Story-ebook/dp/B00D9GY2BU/ref=zg_bs_157584011_7?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
30,Parenting & Relationships,Finding-Freedom-Cooks-Remaking-Scratch-ebook,/Finding-Freedom-Cooks-Remaking-Scratch-ebook/dp/B088Q9X35M/ref=zg_bs_157584011_8?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
31,Parenting & Relationships,product-reviews,/product-reviews/B088Q9X35M/ref=zg_bs_157584011_cr_8?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
32,Parenting & Relationships,product-reviews,/product-reviews/B088Q9X35M/ref=zg_bs_157584011_cr_8?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
33,Parenting & Relationships,Finding-Freedom-Cooks-Remaking-Scratch-ebook,/Finding-Freedom-Cooks-Remaking-Scratch-ebook/dp/B088Q9X35M/ref=zg_bs_157584011_8?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
34,Parenting & Relationships,Off-Limits-Rule-Romantic-Nashville-ebook,/Off-Limits-Rule-Romantic-Nashville-ebook/dp/B08M9YNQXJ/ref=zg_bs_157584011_9?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
35,Parenting & Relationships,product-reviews,/product-reviews/B08M9YNQXJ/ref=zg_bs_157584011_cr_9?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
36,Parenting & Relationships,product-reviews,/product-reviews/B08M9YNQXJ/ref=zg_bs_157584011_cr_9?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
37,Parenting & Relationships,Off-Limits-Rule-Romantic-Nashville-ebook,/Off-Limits-Rule-Romantic-Nashville-ebook/dp/B08M9YNQXJ/ref=zg_bs_157584011_9?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
38,Parenting & Relationships,1-2-3-Magic-Discipline-Effective-Parenting-ebook,/1-2-3-Magic-Discipline-Effective-Parenting-ebook/dp/B01A9BJK78/ref=zg_bs_157584011_10?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
39,Parenting & Relationships,product-reviews,/product-reviews/B01A9BJK78/ref=zg_bs_157584011_cr_10?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
40,Parenting & Relationships,product-reviews,/product-reviews/B01A9BJK78/ref=zg_bs_157584011_cr_10?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
41,Parenting & Relationships,1-2-3-Magic-Discipline-Effective-Parenting-ebook,/1-2-3-Magic-Discipline-Effective-Parenting-ebook/dp/B01A9BJK78/ref=zg_bs_157584011_10?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
42,Parenting & Relationships,Faking-brand-laugh-out-loud-romantic-comedy-ebook,/Faking-brand-laugh-out-loud-romantic-comedy-ebook/dp/B08HVY8V76/ref=zg_bs_157584011_11?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
43,Parenting & Relationships,product-reviews,/product-reviews/B08HVY8V76/ref=zg_bs_157584011_cr_11?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
44,Parenting & Relationships,product-reviews,/product-reviews/B08HVY8V76/ref=zg_bs_157584011_cr_11?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
45,Parenting & Relationships,Faking-brand-laugh-out-loud-romantic-comedy-ebook,/Faking-brand-laugh-out-loud-romantic-comedy-ebook/dp/B08HVY8V76/ref=zg_bs_157584011_11?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
46,Parenting & Relationships,My-Grandmothers-Hands-Racialized-Pathway-ebook,/My-Grandmothers-Hands-Racialized-Pathway-ebook/dp/B0727L1NGJ/ref=zg_bs_157584011_12?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
47,Parenting & Relationships,product-reviews,/product-reviews/B0727L1NGJ/ref=zg_bs_157584011_cr_12?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
48,Parenting & Relationships,product-reviews,/product-reviews/B0727L1NGJ/ref=zg_bs_157584011_cr_12?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
49,Parenting & Relationships,My-Grandmothers-Hands-Racialized-Pathway-ebook,/My-Grandmothers-Hands-Racialized-Pathway-ebook/dp/B0727L1NGJ/ref=zg_bs_157584011_12?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
50,Parenting & Relationships,Pale-Faced-Lie-True-Story-ebook,/Pale-Faced-Lie-True-Story-ebook/dp/B07P1J7P71/ref=zg_bs_157584011_13?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
51,Parenting & Relationships,product-reviews,/product-reviews/B07P1J7P71/ref=zg_bs_157584011_cr_13?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
52,Parenting & Relationships,product-reviews,/product-reviews/B07P1J7P71/ref=zg_bs_157584011_cr_13?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
53,Parenting & Relationships,Pale-Faced-Lie-True-Story-ebook,/Pale-Faced-Lie-True-Story-ebook/dp/B07P1J7P71/ref=zg_bs_157584011_13?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
54,Parenting & Relationships,House-Party-gripping-heart-stopping-psychological-ebook,/House-Party-gripping-heart-stopping-psychological-ebook/dp/B087CKSQ56/ref=zg_bs_157584011_14?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
55,Parenting & Relationships,product-reviews,/product-reviews/B087CKSQ56/ref=zg_bs_157584011_cr_14?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
56,Parenting & Relationships,product-reviews,/product-reviews/B087CKSQ56/ref=zg_bs_157584011_cr_14?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
57,Parenting & Relationships,House-Party-gripping-heart-stopping-psychological-ebook,/House-Party-gripping-heart-stopping-psychological-ebook/dp/B087CKSQ56/ref=zg_bs_157584011_14?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
58,Parenting & Relationships,What-If-laugh-out-loud-romantic-comedy-ebook,/What-If-laugh-out-loud-romantic-comedy-ebook/dp/B08BJ6MFXH/ref=zg_bs_157584011_15?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
59,Parenting & Relationships,product-reviews,/product-reviews/B08BJ6MFXH/ref=zg_bs_157584011_cr_15?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
60,Parenting & Relationships,product-reviews,/product-reviews/B08BJ6MFXH/ref=zg_bs_157584011_cr_15?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
61,Parenting & Relationships,What-If-laugh-out-loud-romantic-comedy-ebook,/What-If-laugh-out-loud-romantic-comedy-ebook/dp/B08BJ6MFXH/ref=zg_bs_157584011_15?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
62,Parenting & Relationships,White-Fragility-People-About-Racism-ebook,/White-Fragility-People-About-Racism-ebook/dp/B07638ZFN1/ref=zg_bs_157584011_16?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
63,Parenting & Relationships,product-reviews,/product-reviews/B07638ZFN1/ref=zg_bs_157584011_cr_16?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
64,Parenting & Relationships,product-reviews,/product-reviews/B07638ZFN1/ref=zg_bs_157584011_cr_16?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
65,Parenting & Relationships,White-Fragility-People-About-Racism-ebook,/White-Fragility-People-About-Racism-ebook/dp/B07638ZFN1/ref=zg_bs_157584011_16?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
66,Parenting & Relationships,Untitled-Flatiron-Nonfiction-Winter-9781250223180-ebook,/Untitled-Flatiron-Nonfiction-Winter-9781250223180-ebook/dp/B087D5YQXB/ref=zg_bs_157584011_17?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
67,Parenting & Relationships,Untitled-Flatiron-Nonfiction-Winter-9781250223180-ebook,/Untitled-Flatiron-Nonfiction-Winter-9781250223180-ebook/dp/B087D5YQXB/ref=zg_bs_157584011_17?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
68,Parenting & Relationships,Kind-Hindu-Nothing-Like-Imagined-ebook,/Kind-Hindu-Nothing-Like-Imagined-ebook/dp/B08GCCTFK3/ref=zg_bs_157584011_18?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
69,Parenting & Relationships,product-reviews,/product-reviews/B08GCCTFK3/ref=zg_bs_157584011_cr_18?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
70,Parenting & Relationships,product-reviews,/product-reviews/B08GCCTFK3/ref=zg_bs_157584011_cr_18?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
71,Parenting & Relationships,Kind-Hindu-Nothing-Like-Imagined-ebook,/Kind-Hindu-Nothing-Like-Imagined-ebook/dp/B08GCCTFK3/ref=zg_bs_157584011_18?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
72,Parenting & Relationships,Unoffendable-Just-Change-Make-Better-ebook,/Unoffendable-Just-Change-Make-Better-ebook/dp/B00PWOH05C/ref=zg_bs_157584011_19?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
73,Parenting & Relationships,product-reviews,/product-reviews/B00PWOH05C/ref=zg_bs_157584011_cr_19?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
74,Parenting & Relationships,product-reviews,/product-reviews/B00PWOH05C/ref=zg_bs_157584011_cr_19?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
75,Parenting & Relationships,Unoffendable-Just-Change-Make-Better-ebook,/Unoffendable-Just-Change-Make-Better-ebook/dp/B00PWOH05C/ref=zg_bs_157584011_19?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
76,Parenting & Relationships,Match-Romantic-Comedy-Happened-Charleston-ebook,/Match-Romantic-Comedy-Happened-Charleston-ebook/dp/B087F764ZX/ref=zg_bs_157584011_20?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
77,Parenting & Relationships,product-reviews,/product-reviews/B087F764ZX/ref=zg_bs_157584011_cr_20?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
78,Parenting & Relationships,product-reviews,/product-reviews/B087F764ZX/ref=zg_bs_157584011_cr_20?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
79,Parenting & Relationships,Match-Romantic-Comedy-Happened-Charleston-ebook,/Match-Romantic-Comedy-Happened-Charleston-ebook/dp/B087F764ZX/ref=zg_bs_157584011_20?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
80,Parenting & Relationships,White-Sheets-Babies-Jvonne-Hubbard-ebook,/White-Sheets-Babies-Jvonne-Hubbard-ebook/dp/B07C9SBDWR/ref=zg_bs_157584011_21?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
81,Parenting & Relationships,product-reviews,/product-reviews/B07C9SBDWR/ref=zg_bs_157584011_cr_21?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
82,Parenting & Relationships,product-reviews,/product-reviews/B07C9SBDWR/ref=zg_bs_157584011_cr_21?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
83,Parenting & Relationships,White-Sheets-Babies-Jvonne-Hubbard-ebook,/White-Sheets-Babies-Jvonne-Hubbard-ebook/dp/B07C9SBDWR/ref=zg_bs_157584011_21?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
84,Parenting & Relationships,Adult-Children-Emotionally-Immature-Parents-ebook,/Adult-Children-Emotionally-Immature-Parents-ebook/dp/B00TZE87S4/ref=zg_bs_157584011_22?_encoding=UTF8&psc=1&refRID=8QMYEJTP9X2HCM4E79PP
85,Parenting & Relationships,product-reviews,/product-reviews/B00TZE87S4/ref=zg_bs_157584011_cr_22?ie=UTF8&refRID=8QMYEJTP9X2HCM4E79PP
