,sub_cat,item_name,URL
0,Parts & Accessories,ease-Replacement-SmartChlor-Chlorine-Cartridge,/ease-Replacement-SmartChlor-Chlorine-Cartridge/dp/B01AASAM7M/ref=zg_bs_4623183011_1?_encoding=UTF8&psc=1&refRID=8QKEB93BYDJYZ6YJEC0R
1,Parts & Accessories,product-reviews,/product-reviews/B01AASAM7M/ref=zg_bs_4623183011_cr_1?ie=UTF8&refRID=8QKEB93BYDJYZ6YJEC0R
2,Parts & Accessories,product-reviews,/product-reviews/B01AASAM7M/ref=zg_bs_4623183011_cr_1?ie=UTF8&refRID=8QKEB93BYDJYZ6YJEC0R
3,Parts & Accessories,ease-Replacement-SmartChlor-Chlorine-Cartridge,/ease-Replacement-SmartChlor-Chlorine-Cartridge/dp/B01AASAM7M/ref=zg_bs_4623183011_1?_encoding=UTF8&psc=1&refRID=8QKEB93BYDJYZ6YJEC0R
4,Parts & Accessories,SpaChoice-472-3-5081-Chlorine-Granules-5-Pound,/SpaChoice-472-3-5081-Chlorine-Granules-5-Pound/dp/B00AYJ0XK4/ref=zg_bs_4623183011_2?_encoding=UTF8&psc=1&refRID=8QKEB93BYDJYZ6YJEC0R
5,Parts & Accessories,product-reviews,/product-reviews/B0846MV75L/ref=zg_bs_4623183011_cr_2?ie=UTF8&refRID=8QKEB93BYDJYZ6YJEC0R
6,Parts & Accessories,product-reviews,/product-reviews/B0846MV75L/ref=zg_bs_4623183011_cr_2?ie=UTF8&refRID=8QKEB93BYDJYZ6YJEC0R
7,Parts & Accessories,SpaChoice-472-3-5081-Chlorine-Granules-5-Pound,/SpaChoice-472-3-5081-Chlorine-Granules-5-Pound/dp/B00AYJ0XK4/ref=zg_bs_4623183011_2?_encoding=UTF8&psc=1&refRID=8QKEB93BYDJYZ6YJEC0R
8,Parts & Accessories,Sun2Solar-4-Foot-Rectangle-Above-Ground-Swimming,/Sun2Solar-4-Foot-Rectangle-Above-Ground-Swimming/dp/B01NB0MVNZ/ref=zg_bs_4623183011_3?_encoding=UTF8&psc=1&refRID=8QKEB93BYDJYZ6YJEC0R
9,Parts & Accessories,product-reviews,/product-reviews/B079KH64QF/ref=zg_bs_4623183011_cr_3?ie=UTF8&refRID=8QKEB93BYDJYZ6YJEC0R
10,Parts & Accessories,product-reviews,/product-reviews/B079KH64QF/ref=zg_bs_4623183011_cr_3?ie=UTF8&refRID=8QKEB93BYDJYZ6YJEC0R
11,Parts & Accessories,Sun2Solar-4-Foot-Rectangle-Above-Ground-Swimming,/Sun2Solar-4-Foot-Rectangle-Above-Ground-Swimming/dp/B01NB0MVNZ/ref=zg_bs_4623183011_3?_encoding=UTF8&psc=1&refRID=8QKEB93BYDJYZ6YJEC0R
12,Parts & Accessories,Intex-10-Foot-Round-Easy-Cover,/Intex-10-Foot-Round-Easy-Cover/dp/B00005U553/ref=zg_bs_4623183011_4?_encoding=UTF8&psc=1&refRID=8QKEB93BYDJYZ6YJEC0R
13,Parts & Accessories,product-reviews,/product-reviews/B00005U553/ref=zg_bs_4623183011_cr_4?ie=UTF8&refRID=8QKEB93BYDJYZ6YJEC0R
14,Parts & Accessories,product-reviews,/product-reviews/B00005U553/ref=zg_bs_4623183011_cr_4?ie=UTF8&refRID=8QKEB93BYDJYZ6YJEC0R
15,Parts & Accessories,Intex-10-Foot-Round-Easy-Cover,/Intex-10-Foot-Round-Easy-Cover/dp/B00005U553/ref=zg_bs_4623183011_4?_encoding=UTF8&psc=1&refRID=8QKEB93BYDJYZ6YJEC0R
16,Parts & Accessories,,https://www.amazon.com/gp/new-releases/lawn-garden/4623183011/ref=zg_bs_tab_t_bsnr
17,Parts & Accessories,,https://www.amazon.com/gp/new-releases/lawn-garden/4623183011/ref=zg_bs_tab_t_bsnr
18,Parts & Accessories,,https://www.amazon.com/gp/most-wished-for/lawn-garden/4623183011/ref=zg_bs_tab_t_mw
19,Parts & Accessories,,https://www.amazon.com/gp/most-wished-for/lawn-garden/4623183011/ref=zg_bs_tab_t_mw
20,Parts & Accessories,Intex-Solar-Cover-Diameter-Frame,/Intex-Solar-Cover-Diameter-Frame/dp/B00P7O4KAU/ref=zg_bs_4623183011_5?_encoding=UTF8&psc=1&refRID=8QKEB93BYDJYZ6YJEC0R
21,Parts & Accessories,product-reviews,/product-reviews/B016MMNH7M/ref=zg_bs_4623183011_cr_5?ie=UTF8&refRID=8QKEB93BYDJYZ6YJEC0R
22,Parts & Accessories,product-reviews,/product-reviews/B016MMNH7M/ref=zg_bs_4623183011_cr_5?ie=UTF8&refRID=8QKEB93BYDJYZ6YJEC0R
23,Parts & Accessories,Intex-Solar-Cover-Diameter-Frame,/Intex-Solar-Cover-Diameter-Frame/dp/B00P7O4KAU/ref=zg_bs_4623183011_5?_encoding=UTF8&psc=1&refRID=8QKEB93BYDJYZ6YJEC0R
24,Parts & Accessories,Chakev-Submersible-Underwater-Waterproof-Aquariums,/Chakev-Submersible-Underwater-Waterproof-Aquariums/dp/B08PNZ49TK/ref=zg_bs_4623183011_6?_encoding=UTF8&psc=1&refRID=8QKEB93BYDJYZ6YJEC0R
25,Parts & Accessories,product-reviews,/product-reviews/B08QN66SG2/ref=zg_bs_4623183011_cr_6?ie=UTF8&refRID=8QKEB93BYDJYZ6YJEC0R
26,Parts & Accessories,product-reviews,/product-reviews/B08QN66SG2/ref=zg_bs_4623183011_cr_6?ie=UTF8&refRID=8QKEB93BYDJYZ6YJEC0R
27,Parts & Accessories,Chakev-Submersible-Underwater-Waterproof-Aquariums,/Chakev-Submersible-Underwater-Waterproof-Aquariums/dp/B08PNZ49TK/ref=zg_bs_4623183011_6?_encoding=UTF8&psc=1&refRID=8QKEB93BYDJYZ6YJEC0R
28,Parts & Accessories,Evob-Skimmer-Swinging-Ground-Maintenance,/Evob-Skimmer-Swinging-Ground-Maintenance/dp/B071S5N9LH/ref=zg_bs_4623183011_7?_encoding=UTF8&psc=1&refRID=8QKEB93BYDJYZ6YJEC0R
29,Parts & Accessories,product-reviews,/product-reviews/B071S5N9LH/ref=zg_bs_4623183011_cr_7?ie=UTF8&refRID=8QKEB93BYDJYZ6YJEC0R
30,Parts & Accessories,product-reviews,/product-reviews/B071S5N9LH/ref=zg_bs_4623183011_cr_7?ie=UTF8&refRID=8QKEB93BYDJYZ6YJEC0R
31,Parts & Accessories,Evob-Skimmer-Swinging-Ground-Maintenance,/Evob-Skimmer-Swinging-Ground-Maintenance/dp/B071S5N9LH/ref=zg_bs_4623183011_7?_encoding=UTF8&psc=1&refRID=8QKEB93BYDJYZ6YJEC0R
32,Parts & Accessories,Zodiac-W20750-Nature2-Mineral-Sanitizer,/Zodiac-W20750-Nature2-Mineral-Sanitizer/dp/B002IT5JS4/ref=zg_bs_4623183011_8?_encoding=UTF8&psc=1&refRID=8QKEB93BYDJYZ6YJEC0R
33,Parts & Accessories,product-reviews,/product-reviews/B002IT5JS4/ref=zg_bs_4623183011_cr_8?ie=UTF8&refRID=8QKEB93BYDJYZ6YJEC0R
34,Parts & Accessories,product-reviews,/product-reviews/B002IT5JS4/ref=zg_bs_4623183011_cr_8?ie=UTF8&refRID=8QKEB93BYDJYZ6YJEC0R
35,Parts & Accessories,Zodiac-W20750-Nature2-Mineral-Sanitizer,/Zodiac-W20750-Nature2-Mineral-Sanitizer/dp/B002IT5JS4/ref=zg_bs_4623183011_8?_encoding=UTF8&psc=1&refRID=8QKEB93BYDJYZ6YJEC0R
36,Parts & Accessories,Rola-Chem-Scumbug-Oil-Absorbing-Sponge-Pack,/Rola-Chem-Scumbug-Oil-Absorbing-Sponge-Pack/dp/B00SYXDGPG/ref=zg_bs_4623183011_9?_encoding=UTF8&psc=1&refRID=8QKEB93BYDJYZ6YJEC0R
37,Parts & Accessories,product-reviews,/product-reviews/B00SYXDGPG/ref=zg_bs_4623183011_cr_9?ie=UTF8&refRID=8QKEB93BYDJYZ6YJEC0R
38,Parts & Accessories,product-reviews,/product-reviews/B00SYXDGPG/ref=zg_bs_4623183011_cr_9?ie=UTF8&refRID=8QKEB93BYDJYZ6YJEC0R
39,Parts & Accessories,Rola-Chem-Scumbug-Oil-Absorbing-Sponge-Pack,/Rola-Chem-Scumbug-Oil-Absorbing-Sponge-Pack/dp/B00SYXDGPG/ref=zg_bs_4623183011_9?_encoding=UTF8&psc=1&refRID=8QKEB93BYDJYZ6YJEC0R
40,Parts & Accessories,HydroTools-Swimline-Protective-Pool-Ladder,/HydroTools-Swimline-Protective-Pool-Ladder/dp/B0032JSPWQ/ref=zg_bs_4623183011_10?_encoding=UTF8&psc=1&refRID=8QKEB93BYDJYZ6YJEC0R
41,Parts & Accessories,product-reviews,/product-reviews/B08WM3NX86/ref=zg_bs_4623183011_cr_10?ie=UTF8&refRID=8QKEB93BYDJYZ6YJEC0R
42,Parts & Accessories,product-reviews,/product-reviews/B08WM3NX86/ref=zg_bs_4623183011_cr_10?ie=UTF8&refRID=8QKEB93BYDJYZ6YJEC0R
43,Parts & Accessories,HydroTools-Swimline-Protective-Pool-Ladder,/HydroTools-Swimline-Protective-Pool-Ladder/dp/B0032JSPWQ/ref=zg_bs_4623183011_10?_encoding=UTF8&psc=1&refRID=8QKEB93BYDJYZ6YJEC0R
44,Parts & Accessories,Clorox-Spa-50016CSP-Antifoam-16-Ounce,/Clorox-Spa-50016CSP-Antifoam-16-Ounce/dp/B00PZZFTXS/ref=zg_bs_4623183011_11?_encoding=UTF8&psc=1&refRID=8QKEB93BYDJYZ6YJEC0R
45,Parts & Accessories,product-reviews,/product-reviews/B00PZZFTXS/ref=zg_bs_4623183011_cr_11?ie=UTF8&refRID=8QKEB93BYDJYZ6YJEC0R
46,Parts & Accessories,product-reviews,/product-reviews/B00PZZFTXS/ref=zg_bs_4623183011_cr_11?ie=UTF8&refRID=8QKEB93BYDJYZ6YJEC0R
