,sub_cat,item_name,URL
0,"Patio, Lawn & Garden",Flexzilla-Garden-Lead-Lightweight-Drinking,/Flexzilla-Garden-Lead-Lightweight-Drinking/dp/B01D51VB9E/ref=zg_bs_lawn-garden_1?_encoding=UTF8&psc=1&refRID=WNKSSWBQ0X9PBCEM0Q3K
1,"Patio, Lawn & Garden",product-reviews,/product-reviews/B08XZ1S61B/ref=zg_bs_lawn-garden_cr_1?ie=UTF8&refRID=WNKSSWBQ0X9PBCEM0Q3K
2,"Patio, Lawn & Garden",product-reviews,/product-reviews/B08XZ1S61B/ref=zg_bs_lawn-garden_cr_1?ie=UTF8&refRID=WNKSSWBQ0X9PBCEM0Q3K
3,"Patio, Lawn & Garden",Flexzilla-Garden-Lead-Lightweight-Drinking,/Flexzilla-Garden-Lead-Lightweight-Drinking/dp/B01D51VB9E/ref=zg_bs_lawn-garden_1?_encoding=UTF8&psc=1&refRID=WNKSSWBQ0X9PBCEM0Q3K
4,"Patio, Lawn & Garden",Grampas-Weeder-CW-01-Original-Remover,/Grampas-Weeder-CW-01-Original-Remover/dp/B001D1FFZA/ref=zg_bs_lawn-garden_2?_encoding=UTF8&psc=1&refRID=WNKSSWBQ0X9PBCEM0Q3K
5,"Patio, Lawn & Garden",product-reviews,/product-reviews/B001D1FFZA/ref=zg_bs_lawn-garden_cr_2?ie=UTF8&refRID=WNKSSWBQ0X9PBCEM0Q3K
6,"Patio, Lawn & Garden",product-reviews,/product-reviews/B001D1FFZA/ref=zg_bs_lawn-garden_cr_2?ie=UTF8&refRID=WNKSSWBQ0X9PBCEM0Q3K
7,"Patio, Lawn & Garden",Grampas-Weeder-CW-01-Original-Remover,/Grampas-Weeder-CW-01-Original-Remover/dp/B001D1FFZA/ref=zg_bs_lawn-garden_2?_encoding=UTF8&psc=1&refRID=WNKSSWBQ0X9PBCEM0Q3K
8,"Patio, Lawn & Garden",Traeger-PEL318-All-Natural-Hardwood-Pellets,/Traeger-PEL318-All-Natural-Hardwood-Pellets/dp/B01F6ME4F8/ref=zg_bs_lawn-garden_3?_encoding=UTF8&psc=1&refRID=WNKSSWBQ0X9PBCEM0Q3K
9,"Patio, Lawn & Garden",product-reviews,/product-reviews/B091NW8DJR/ref=zg_bs_lawn-garden_cr_3?ie=UTF8&refRID=WNKSSWBQ0X9PBCEM0Q3K
