,sub_cat,item_name,URL
0,Poetry,Hill-We-Climb-Inaugural-Country,/Hill-We-Climb-Inaugural-Country/dp/059346527X/ref=zg_bs_10248_1?_encoding=UTF8&psc=1&refRID=5WXHMRZN24JZS2XNPR7Q
1,Poetry,product-reviews,/product-reviews/059346527X/ref=zg_bs_10248_cr_1?ie=UTF8&refRID=5WXHMRZN24JZS2XNPR7Q
2,Poetry,product-reviews,/product-reviews/059346527X/ref=zg_bs_10248_cr_1?ie=UTF8&refRID=5WXHMRZN24JZS2XNPR7Q
3,Poetry,Hill-We-Climb-Inaugural-Country,/Hill-We-Climb-Inaugural-Country/dp/059346527X/ref=zg_bs_10248_1?_encoding=UTF8&psc=1&refRID=5WXHMRZN24JZS2XNPR7Q
4,Poetry,Clarity-Connection-Yung-Pueblo,/Clarity-Connection-Yung-Pueblo/dp/1524860484/ref=zg_bs_10248_2?_encoding=UTF8&psc=1&refRID=5WXHMRZN24JZS2XNPR7Q
5,Poetry,Clarity-Connection-Yung-Pueblo,/Clarity-Connection-Yung-Pueblo/dp/1524860484/ref=zg_bs_10248_2?_encoding=UTF8&psc=1&refRID=5WXHMRZN24JZS2XNPR7Q
6,Poetry,Seusss-Beginner-Collection-Green-Socks,/Seusss-Beginner-Collection-Green-Socks/dp/0375851569/ref=zg_bs_10248_3?_encoding=UTF8&psc=1&refRID=5WXHMRZN24JZS2XNPR7Q
7,Poetry,product-reviews,/product-reviews/0375851569/ref=zg_bs_10248_cr_3?ie=UTF8&refRID=5WXHMRZN24JZS2XNPR7Q
8,Poetry,product-reviews,/product-reviews/0375851569/ref=zg_bs_10248_cr_3?ie=UTF8&refRID=5WXHMRZN24JZS2XNPR7Q
9,Poetry,Seusss-Beginner-Collection-Green-Socks,/Seusss-Beginner-Collection-Green-Socks/dp/0375851569/ref=zg_bs_10248_3?_encoding=UTF8&psc=1&refRID=5WXHMRZN24JZS2XNPR7Q
10,Poetry,Her-Pierre-Alex-Jeanty,/Her-Pierre-Alex-Jeanty/dp/0997426586/ref=zg_bs_10248_4?_encoding=UTF8&psc=1&refRID=5WXHMRZN24JZS2XNPR7Q
11,Poetry,product-reviews,/product-reviews/0997426586/ref=zg_bs_10248_cr_4?ie=UTF8&refRID=5WXHMRZN24JZS2XNPR7Q
12,Poetry,product-reviews,/product-reviews/0997426586/ref=zg_bs_10248_cr_4?ie=UTF8&refRID=5WXHMRZN24JZS2XNPR7Q
13,Poetry,Her-Pierre-Alex-Jeanty,/Her-Pierre-Alex-Jeanty/dp/0997426586/ref=zg_bs_10248_4?_encoding=UTF8&psc=1&refRID=5WXHMRZN24JZS2XNPR7Q
14,Poetry,,https://www.amazon.com/gp/new-releases/books/10248/ref=zg_bs_tab_t_bsnr
15,Poetry,,https://www.amazon.com/gp/new-releases/books/10248/ref=zg_bs_tab_t_bsnr
16,Poetry,,https://www.amazon.com/gp/most-wished-for/books/10248/ref=zg_bs_tab_t_mw
17,Poetry,,https://www.amazon.com/gp/most-wished-for/books/10248/ref=zg_bs_tab_t_mw
18,Poetry,Milk-Honey-Rupi-Kaur,/Milk-Honey-Rupi-Kaur/dp/144947425X/ref=zg_bs_10248_5?_encoding=UTF8&psc=1&refRID=5WXHMRZN24JZS2XNPR7Q
19,Poetry,product-reviews,/product-reviews/144947425X/ref=zg_bs_10248_cr_5?ie=UTF8&refRID=5WXHMRZN24JZS2XNPR7Q
20,Poetry,product-reviews,/product-reviews/144947425X/ref=zg_bs_10248_cr_5?ie=UTF8&refRID=5WXHMRZN24JZS2XNPR7Q
