,sub_cat,item_name,URL
0,Politics & Social Sciences,When-Breath-Becomes-Paul-Kalanithi-ebook,/When-Breath-Becomes-Paul-Kalanithi-ebook/dp/B00XSSYR50/ref=zg_bs_305951011_1?_encoding=UTF8&psc=1&refRID=WFDT6TXZWA04CZ2AGEH2
1,Politics & Social Sciences,product-reviews,/product-reviews/B00XSSYR50/ref=zg_bs_305951011_cr_1?ie=UTF8&refRID=WFDT6TXZWA04CZ2AGEH2
2,Politics & Social Sciences,product-reviews,/product-reviews/B00XSSYR50/ref=zg_bs_305951011_cr_1?ie=UTF8&refRID=WFDT6TXZWA04CZ2AGEH2
3,Politics & Social Sciences,When-Breath-Becomes-Paul-Kalanithi-ebook,/When-Breath-Becomes-Paul-Kalanithi-ebook/dp/B00XSSYR50/ref=zg_bs_305951011_1?_encoding=UTF8&psc=1&refRID=WFDT6TXZWA04CZ2AGEH2
4,Politics & Social Sciences,Uncomfortable-Conversations-Black-Emmanuel-Acho-ebook,/Uncomfortable-Conversations-Black-Emmanuel-Acho-ebook/dp/B08BKMV54M/ref=zg_bs_305951011_2?_encoding=UTF8&psc=1&refRID=WFDT6TXZWA04CZ2AGEH2
5,Politics & Social Sciences,product-reviews,/product-reviews/B08BKMV54M/ref=zg_bs_305951011_cr_2?ie=UTF8&refRID=WFDT6TXZWA04CZ2AGEH2
6,Politics & Social Sciences,product-reviews,/product-reviews/B08BKMV54M/ref=zg_bs_305951011_cr_2?ie=UTF8&refRID=WFDT6TXZWA04CZ2AGEH2
7,Politics & Social Sciences,Uncomfortable-Conversations-Black-Emmanuel-Acho-ebook,/Uncomfortable-Conversations-Black-Emmanuel-Acho-ebook/dp/B08BKMV54M/ref=zg_bs_305951011_2?_encoding=UTF8&psc=1&refRID=WFDT6TXZWA04CZ2AGEH2
8,Politics & Social Sciences,Lives-Stoics-Living-Marcus-Aurelius-ebook,/Lives-Stoics-Living-Marcus-Aurelius-ebook/dp/B083HL8RLK/ref=zg_bs_305951011_3?_encoding=UTF8&psc=1&refRID=WFDT6TXZWA04CZ2AGEH2
9,Politics & Social Sciences,product-reviews,/product-reviews/B083HL8RLK/ref=zg_bs_305951011_cr_3?ie=UTF8&refRID=WFDT6TXZWA04CZ2AGEH2
