,sub_cat,item_name,URL
0,Pumps,Hayward-ECX270861-Pressure-Replacement-Select,/Hayward-ECX270861-Pressure-Replacement-Select/dp/B004VU8MTG/ref=zg_bs_1273011011_1?_encoding=UTF8&psc=1&refRID=QT84J3XXR8BKN6M6RBQ9
1,Pumps,product-reviews,/product-reviews/B07RMHHW69/ref=zg_bs_1273011011_cr_1?ie=UTF8&refRID=QT84J3XXR8BKN6M6RBQ9
2,Pumps,product-reviews,/product-reviews/B07RMHHW69/ref=zg_bs_1273011011_cr_1?ie=UTF8&refRID=QT84J3XXR8BKN6M6RBQ9
3,Pumps,Hayward-ECX270861-Pressure-Replacement-Select,/Hayward-ECX270861-Pressure-Replacement-Select/dp/B004VU8MTG/ref=zg_bs_1273011011_1?_encoding=UTF8&psc=1&refRID=QT84J3XXR8BKN6M6RBQ9
4,Pumps,Hayward-W3SP1580-Power-Pool-Pump,/Hayward-W3SP1580-Power-Pool-Pump/dp/B07SS494Q2/ref=zg_bs_1273011011_2?_encoding=UTF8&psc=1&refRID=QT84J3XXR8BKN6M6RBQ9
5,Pumps,product-reviews,/product-reviews/B07WG9QJHH/ref=zg_bs_1273011011_cr_2?ie=UTF8&refRID=QT84J3XXR8BKN6M6RBQ9
6,Pumps,product-reviews,/product-reviews/B07WG9QJHH/ref=zg_bs_1273011011_cr_2?ie=UTF8&refRID=QT84J3XXR8BKN6M6RBQ9
7,Pumps,Hayward-W3SP1580-Power-Pool-Pump,/Hayward-W3SP1580-Power-Pool-Pump/dp/B07SS494Q2/ref=zg_bs_1273011011_2?_encoding=UTF8&psc=1&refRID=QT84J3XXR8BKN6M6RBQ9
8,Pumps,Hayward-W3SP2600X5-Super-Pump-Pool,/Hayward-W3SP2600X5-Super-Pump-Pool/dp/B07SR4MLMB/ref=zg_bs_1273011011_3?_encoding=UTF8&psc=1&refRID=QT84J3XXR8BKN6M6RBQ9
9,Pumps,product-reviews,/product-reviews/B0917BMJ1S/ref=zg_bs_1273011011_cr_3?ie=UTF8&refRID=QT84J3XXR8BKN6M6RBQ9
10,Pumps,product-reviews,/product-reviews/B0917BMJ1S/ref=zg_bs_1273011011_cr_3?ie=UTF8&refRID=QT84J3XXR8BKN6M6RBQ9
11,Pumps,Hayward-W3SP2600X5-Super-Pump-Pool,/Hayward-W3SP2600X5-Super-Pump-Pool/dp/B07SR4MLMB/ref=zg_bs_1273011011_3?_encoding=UTF8&psc=1&refRID=QT84J3XXR8BKN6M6RBQ9
12,Pumps,Bestway-58388E-1000-Filter-Cartridge,/Bestway-58388E-1000-Filter-Cartridge/dp/B07982142G/ref=zg_bs_1273011011_4?_encoding=UTF8&psc=1&refRID=QT84J3XXR8BKN6M6RBQ9
13,Pumps,product-reviews,/product-reviews/B00PLCNYX2/ref=zg_bs_1273011011_cr_4?ie=UTF8&refRID=QT84J3XXR8BKN6M6RBQ9
14,Pumps,product-reviews,/product-reviews/B00PLCNYX2/ref=zg_bs_1273011011_cr_4?ie=UTF8&refRID=QT84J3XXR8BKN6M6RBQ9
15,Pumps,Bestway-58388E-1000-Filter-Cartridge,/Bestway-58388E-1000-Filter-Cartridge/dp/B07982142G/ref=zg_bs_1273011011_4?_encoding=UTF8&psc=1&refRID=QT84J3XXR8BKN6M6RBQ9
16,Pumps,,https://www.amazon.com/gp/new-releases/lawn-garden/1273011011/ref=zg_bs_tab_t_bsnr
17,Pumps,,https://www.amazon.com/gp/new-releases/lawn-garden/1273011011/ref=zg_bs_tab_t_bsnr
18,Pumps,,https://www.amazon.com/gp/most-wished-for/lawn-garden/1273011011/ref=zg_bs_tab_t_mw
19,Pumps,,https://www.amazon.com/gp/most-wished-for/lawn-garden/1273011011/ref=zg_bs_tab_t_mw
20,Pumps,Harris-H1572730-ProForce-Above-Ground,/Harris-H1572730-ProForce-Above-Ground/dp/B01BSV5N9M/ref=zg_bs_1273011011_5?_encoding=UTF8&psc=1&refRID=QT84J3XXR8BKN6M6RBQ9
21,Pumps,product-reviews,/product-reviews/B01BSV5N9M/ref=zg_bs_1273011011_cr_5?ie=UTF8&refRID=QT84J3XXR8BKN6M6RBQ9
22,Pumps,product-reviews,/product-reviews/B01BSV5N9M/ref=zg_bs_1273011011_cr_5?ie=UTF8&refRID=QT84J3XXR8BKN6M6RBQ9
23,Pumps,Harris-H1572730-ProForce-Above-Ground,/Harris-H1572730-ProForce-Above-Ground/dp/B01BSV5N9M/ref=zg_bs_1273011011_5?_encoding=UTF8&psc=1&refRID=QT84J3XXR8BKN6M6RBQ9
24,Pumps,Hayward-SP1419D-Opening-Hydrostream-Directional,/Hayward-SP1419D-Opening-Hydrostream-Directional/dp/B004VTGNGG/ref=zg_bs_1273011011_6?_encoding=UTF8&psc=1&refRID=QT84J3XXR8BKN6M6RBQ9
25,Pumps,product-reviews,/product-reviews/B08X65VZ79/ref=zg_bs_1273011011_cr_6?ie=UTF8&refRID=QT84J3XXR8BKN6M6RBQ9
26,Pumps,product-reviews,/product-reviews/B08X65VZ79/ref=zg_bs_1273011011_cr_6?ie=UTF8&refRID=QT84J3XXR8BKN6M6RBQ9
27,Pumps,Hayward-SP1419D-Opening-Hydrostream-Directional,/Hayward-SP1419D-Opening-Hydrostream-Directional/dp/B004VTGNGG/ref=zg_bs_1273011011_6?_encoding=UTF8&psc=1&refRID=QT84J3XXR8BKN6M6RBQ9
28,Pumps,VIVOHOME-Powerful-Primming-Swimming-Certified,/VIVOHOME-Powerful-Primming-Swimming-Certified/dp/B07XZ1H18N/ref=zg_bs_1273011011_7?_encoding=UTF8&psc=1&refRID=QT84J3XXR8BKN6M6RBQ9
29,Pumps,product-reviews,/product-reviews/B083WFNDQJ/ref=zg_bs_1273011011_cr_7?ie=UTF8&refRID=QT84J3XXR8BKN6M6RBQ9
30,Pumps,product-reviews,/product-reviews/B083WFNDQJ/ref=zg_bs_1273011011_cr_7?ie=UTF8&refRID=QT84J3XXR8BKN6M6RBQ9
31,Pumps,VIVOHOME-Powerful-Primming-Swimming-Certified,/VIVOHOME-Powerful-Primming-Swimming-Certified/dp/B07XZ1H18N/ref=zg_bs_1273011011_7?_encoding=UTF8&psc=1&refRID=QT84J3XXR8BKN6M6RBQ9
32,Pumps,POLARIS-Booster-Pressure-Cleaners-180-480,/POLARIS-Booster-Pressure-Cleaners-180-480/dp/B00IYSVX2Y/ref=zg_bs_1273011011_8?_encoding=UTF8&psc=1&refRID=QT84J3XXR8BKN6M6RBQ9
33,Pumps,product-reviews,/product-reviews/B00IYSVX2Y/ref=zg_bs_1273011011_cr_8?ie=UTF8&refRID=QT84J3XXR8BKN6M6RBQ9
34,Pumps,product-reviews,/product-reviews/B00IYSVX2Y/ref=zg_bs_1273011011_cr_8?ie=UTF8&refRID=QT84J3XXR8BKN6M6RBQ9
35,Pumps,POLARIS-Booster-Pressure-Cleaners-180-480,/POLARIS-Booster-Pressure-Cleaners-180-480/dp/B00IYSVX2Y/ref=zg_bs_1273011011_8?_encoding=UTF8&psc=1&refRID=QT84J3XXR8BKN6M6RBQ9
36,Pumps,Zodiac-Systems-Suction-Adapter-Swimming,/Zodiac-Systems-Suction-Adapter-Swimming/dp/B092PTSJ8C/ref=zg_bs_1273011011_9?_encoding=UTF8&psc=1&refRID=QT84J3XXR8BKN6M6RBQ9
37,Pumps,Zodiac-Systems-Suction-Adapter-Swimming,/Zodiac-Systems-Suction-Adapter-Swimming/dp/B092PTSJ8C/ref=zg_bs_1273011011_9?_encoding=UTF8&psc=1&refRID=QT84J3XXR8BKN6M6RBQ9
38,Pumps,WAYNE-57729-WYNP-WAPC250-Automatic-Removal,/WAYNE-57729-WYNP-WAPC250-Automatic-Removal/dp/B008PPPRUK/ref=zg_bs_1273011011_10?_encoding=UTF8&psc=1&refRID=QT84J3XXR8BKN6M6RBQ9
39,Pumps,product-reviews,/product-reviews/B008PPPRUK/ref=zg_bs_1273011011_cr_10?ie=UTF8&refRID=QT84J3XXR8BKN6M6RBQ9
