,sub_cat,item_name,URL
0,Reference,Well-Spoken-Thesaurus-Powerful-Everyday-Phrases-ebook,/Well-Spoken-Thesaurus-Powerful-Everyday-Phrases-ebook/dp/B004NNVI2O/ref=zg_bs_9154158011_1?_encoding=UTF8&psc=1&refRID=AV1TB59NM5YE2JNWE19W
1,Reference,product-reviews,/product-reviews/B004NNVI2O/ref=zg_bs_9154158011_cr_1?ie=UTF8&refRID=AV1TB59NM5YE2JNWE19W
2,Reference,product-reviews,/product-reviews/B004NNVI2O/ref=zg_bs_9154158011_cr_1?ie=UTF8&refRID=AV1TB59NM5YE2JNWE19W
3,Reference,Well-Spoken-Thesaurus-Powerful-Everyday-Phrases-ebook,/Well-Spoken-Thesaurus-Powerful-Everyday-Phrases-ebook/dp/B004NNVI2O/ref=zg_bs_9154158011_1?_encoding=UTF8&psc=1&refRID=AV1TB59NM5YE2JNWE19W
4,Reference,99-Invisible-City-Hidden-Everyday-ebook,/99-Invisible-City-Hidden-Everyday-ebook/dp/B086YHKSJX/ref=zg_bs_9154158011_2?_encoding=UTF8&psc=1&refRID=AV1TB59NM5YE2JNWE19W
5,Reference,product-reviews,/product-reviews/B086YHKSJX/ref=zg_bs_9154158011_cr_2?ie=UTF8&refRID=AV1TB59NM5YE2JNWE19W
6,Reference,product-reviews,/product-reviews/B086YHKSJX/ref=zg_bs_9154158011_cr_2?ie=UTF8&refRID=AV1TB59NM5YE2JNWE19W
7,Reference,99-Invisible-City-Hidden-Everyday-ebook,/99-Invisible-City-Hidden-Everyday-ebook/dp/B086YHKSJX/ref=zg_bs_9154158011_2?_encoding=UTF8&psc=1&refRID=AV1TB59NM5YE2JNWE19W
8,Reference,Your-Inner-Fish-Journey-3-5-Billion-Year-ebook,/Your-Inner-Fish-Journey-3-5-Billion-Year-ebook/dp/B0010SKTRA/ref=zg_bs_9154158011_3?_encoding=UTF8&psc=1&refRID=AV1TB59NM5YE2JNWE19W
9,Reference,product-reviews,/product-reviews/B0010SKTRA/ref=zg_bs_9154158011_cr_3?ie=UTF8&refRID=AV1TB59NM5YE2JNWE19W
10,Reference,product-reviews,/product-reviews/B0010SKTRA/ref=zg_bs_9154158011_cr_3?ie=UTF8&refRID=AV1TB59NM5YE2JNWE19W
11,Reference,Your-Inner-Fish-Journey-3-5-Billion-Year-ebook,/Your-Inner-Fish-Journey-3-5-Billion-Year-ebook/dp/B0010SKTRA/ref=zg_bs_9154158011_3?_encoding=UTF8&psc=1&refRID=AV1TB59NM5YE2JNWE19W
12,Reference,Caliente-Wonder-Readers-Spanish-Emergent-ebook,/Caliente-Wonder-Readers-Spanish-Emergent-ebook/dp/B07DNGC252/ref=zg_bs_9154158011_4?_encoding=UTF8&psc=1&refRID=AV1TB59NM5YE2JNWE19W
13,Reference,product-reviews,/product-reviews/B07DNGC252/ref=zg_bs_9154158011_cr_4?ie=UTF8&refRID=AV1TB59NM5YE2JNWE19W
14,Reference,product-reviews,/product-reviews/B07DNGC252/ref=zg_bs_9154158011_cr_4?ie=UTF8&refRID=AV1TB59NM5YE2JNWE19W
15,Reference,Caliente-Wonder-Readers-Spanish-Emergent-ebook,/Caliente-Wonder-Readers-Spanish-Emergent-ebook/dp/B07DNGC252/ref=zg_bs_9154158011_4?_encoding=UTF8&psc=1&refRID=AV1TB59NM5YE2JNWE19W
16,Reference,,https://www.amazon.com/gp/new-releases/digital-text/9154158011/ref=zg_bs_tab_t_bsnr
17,Reference,,https://www.amazon.com/gp/new-releases/digital-text/9154158011/ref=zg_bs_tab_t_bsnr
