,sub_cat,item_name,URL
0,Religion & Spirituality,Righteous-Mind-Divided-Politics-Religion-ebook,/Righteous-Mind-Divided-Politics-Religion-ebook/dp/B0052FF7YM/ref=zg_bs_158280011_1?_encoding=UTF8&psc=1&refRID=J0YZ5EP2SXGBAAMYB7Y5
1,Religion & Spirituality,product-reviews,/product-reviews/B0052FF7YM/ref=zg_bs_158280011_cr_1?ie=UTF8&refRID=J0YZ5EP2SXGBAAMYB7Y5
2,Religion & Spirituality,product-reviews,/product-reviews/B0052FF7YM/ref=zg_bs_158280011_cr_1?ie=UTF8&refRID=J0YZ5EP2SXGBAAMYB7Y5
3,Religion & Spirituality,Righteous-Mind-Divided-Politics-Religion-ebook,/Righteous-Mind-Divided-Politics-Religion-ebook/dp/B0052FF7YM/ref=zg_bs_158280011_1?_encoding=UTF8&psc=1&refRID=J0YZ5EP2SXGBAAMYB7Y5
4,Religion & Spirituality,Book-Help-Memoir-Remedies-ebook,/Book-Help-Memoir-Remedies-ebook/dp/B07BV42GGZ/ref=zg_bs_158280011_2?_encoding=UTF8&psc=1&refRID=J0YZ5EP2SXGBAAMYB7Y5
5,Religion & Spirituality,product-reviews,/product-reviews/B07BV42GGZ/ref=zg_bs_158280011_cr_2?ie=UTF8&refRID=J0YZ5EP2SXGBAAMYB7Y5
6,Religion & Spirituality,product-reviews,/product-reviews/B07BV42GGZ/ref=zg_bs_158280011_cr_2?ie=UTF8&refRID=J0YZ5EP2SXGBAAMYB7Y5
7,Religion & Spirituality,Book-Help-Memoir-Remedies-ebook,/Book-Help-Memoir-Remedies-ebook/dp/B07BV42GGZ/ref=zg_bs_158280011_2?_encoding=UTF8&psc=1&refRID=J0YZ5EP2SXGBAAMYB7Y5
8,Religion & Spirituality,Life-Changing-Magic-Tidying-Decluttering-Organizing-ebook,/Life-Changing-Magic-Tidying-Decluttering-Organizing-ebook/dp/B00KK0PICK/ref=zg_bs_158280011_3?_encoding=UTF8&psc=1&refRID=J0YZ5EP2SXGBAAMYB7Y5
9,Religion & Spirituality,product-reviews,/product-reviews/B00KK0PICK/ref=zg_bs_158280011_cr_3?ie=UTF8&refRID=J0YZ5EP2SXGBAAMYB7Y5
10,Religion & Spirituality,product-reviews,/product-reviews/B00KK0PICK/ref=zg_bs_158280011_cr_3?ie=UTF8&refRID=J0YZ5EP2SXGBAAMYB7Y5
11,Religion & Spirituality,Life-Changing-Magic-Tidying-Decluttering-Organizing-ebook,/Life-Changing-Magic-Tidying-Decluttering-Organizing-ebook/dp/B00KK0PICK/ref=zg_bs_158280011_3?_encoding=UTF8&psc=1&refRID=J0YZ5EP2SXGBAAMYB7Y5
12,Religion & Spirituality,Cowboy-his-Neighbor-Brothers-Billionaire-ebook,/Cowboy-his-Neighbor-Brothers-Billionaire-ebook/dp/B07X7HPKVQ/ref=zg_bs_158280011_4?_encoding=UTF8&psc=1&refRID=J0YZ5EP2SXGBAAMYB7Y5
13,Religion & Spirituality,product-reviews,/product-reviews/B07X7HPKVQ/ref=zg_bs_158280011_cr_4?ie=UTF8&refRID=J0YZ5EP2SXGBAAMYB7Y5
14,Religion & Spirituality,product-reviews,/product-reviews/B07X7HPKVQ/ref=zg_bs_158280011_cr_4?ie=UTF8&refRID=J0YZ5EP2SXGBAAMYB7Y5
15,Religion & Spirituality,Cowboy-his-Neighbor-Brothers-Billionaire-ebook,/Cowboy-his-Neighbor-Brothers-Billionaire-ebook/dp/B07X7HPKVQ/ref=zg_bs_158280011_4?_encoding=UTF8&psc=1&refRID=J0YZ5EP2SXGBAAMYB7Y5
16,Religion & Spirituality,,https://www.amazon.com/gp/new-releases/digital-text/158280011/ref=zg_bs_tab_t_bsnr
17,Religion & Spirituality,,https://www.amazon.com/gp/new-releases/digital-text/158280011/ref=zg_bs_tab_t_bsnr
18,Religion & Spirituality,Roanoke-Solving-Mystery-Lost-Colony-ebook,/Roanoke-Solving-Mystery-Lost-Colony-ebook/dp/B00771H8DW/ref=zg_bs_158280011_5?_encoding=UTF8&psc=1&refRID=J0YZ5EP2SXGBAAMYB7Y5
19,Religion & Spirituality,product-reviews,/product-reviews/B00771H8DW/ref=zg_bs_158280011_cr_5?ie=UTF8&refRID=J0YZ5EP2SXGBAAMYB7Y5
20,Religion & Spirituality,product-reviews,/product-reviews/B00771H8DW/ref=zg_bs_158280011_cr_5?ie=UTF8&refRID=J0YZ5EP2SXGBAAMYB7Y5
21,Religion & Spirituality,Roanoke-Solving-Mystery-Lost-Colony-ebook,/Roanoke-Solving-Mystery-Lost-Colony-ebook/dp/B00771H8DW/ref=zg_bs_158280011_5?_encoding=UTF8&psc=1&refRID=J0YZ5EP2SXGBAAMYB7Y5
22,Religion & Spirituality,Escaped-Auschwitz-Shocking-Story-Helped-ebook,/Escaped-Auschwitz-Shocking-Story-Helped-ebook/dp/B0847SV2FF/ref=zg_bs_158280011_6?_encoding=UTF8&psc=1&refRID=J0YZ5EP2SXGBAAMYB7Y5
23,Religion & Spirituality,product-reviews,/product-reviews/B0847SV2FF/ref=zg_bs_158280011_cr_6?ie=UTF8&refRID=J0YZ5EP2SXGBAAMYB7Y5
24,Religion & Spirituality,product-reviews,/product-reviews/B0847SV2FF/ref=zg_bs_158280011_cr_6?ie=UTF8&refRID=J0YZ5EP2SXGBAAMYB7Y5
