,sub_cat,item_name,URL
0,Saunas,Durasage-Lightweight-Portable-Relaxation-Generator,/Durasage-Lightweight-Portable-Relaxation-Generator/dp/B07J1Z14DF/ref=zg_bs_2475549011_1?_encoding=UTF8&psc=1&refRID=AR9REY9Y7RS6AR8EN4RJ
1,Saunas,product-reviews,/product-reviews/B07K4TJ2VT/ref=zg_bs_2475549011_cr_1?ie=UTF8&refRID=AR9REY9Y7RS6AR8EN4RJ
2,Saunas,product-reviews,/product-reviews/B07K4TJ2VT/ref=zg_bs_2475549011_cr_1?ie=UTF8&refRID=AR9REY9Y7RS6AR8EN4RJ
3,Saunas,Durasage-Lightweight-Portable-Relaxation-Generator,/Durasage-Lightweight-Portable-Relaxation-Generator/dp/B07J1Z14DF/ref=zg_bs_2475549011_1?_encoding=UTF8&psc=1&refRID=AR9REY9Y7RS6AR8EN4RJ
4,Saunas,SereneLife-SLISAU30BK-Full-Portable-Sauna,/SereneLife-SLISAU30BK-Full-Portable-Sauna/dp/B07WC64NPQ/ref=zg_bs_2475549011_2?_encoding=UTF8&psc=1&refRID=AR9REY9Y7RS6AR8EN4RJ
5,Saunas,product-reviews,/product-reviews/B0851PWWDH/ref=zg_bs_2475549011_cr_2?ie=UTF8&refRID=AR9REY9Y7RS6AR8EN4RJ
6,Saunas,product-reviews,/product-reviews/B0851PWWDH/ref=zg_bs_2475549011_cr_2?ie=UTF8&refRID=AR9REY9Y7RS6AR8EN4RJ
7,Saunas,SereneLife-SLISAU30BK-Full-Portable-Sauna,/SereneLife-SLISAU30BK-Full-Portable-Sauna/dp/B07WC64NPQ/ref=zg_bs_2475549011_2?_encoding=UTF8&psc=1&refRID=AR9REY9Y7RS6AR8EN4RJ
8,Saunas,SereneLife-AZSLISAU10BK-Portable-Infrared-Sauna,/SereneLife-AZSLISAU10BK-Portable-Infrared-Sauna/dp/B079QXK2TQ/ref=zg_bs_2475549011_3?_encoding=UTF8&psc=1&refRID=AR9REY9Y7RS6AR8EN4RJ
9,Saunas,product-reviews,/product-reviews/B079QXK2TQ/ref=zg_bs_2475549011_cr_3?ie=UTF8&refRID=AR9REY9Y7RS6AR8EN4RJ
10,Saunas,product-reviews,/product-reviews/B079QXK2TQ/ref=zg_bs_2475549011_cr_3?ie=UTF8&refRID=AR9REY9Y7RS6AR8EN4RJ
11,Saunas,SereneLife-AZSLISAU10BK-Portable-Infrared-Sauna,/SereneLife-AZSLISAU10BK-Portable-Infrared-Sauna/dp/B079QXK2TQ/ref=zg_bs_2475549011_3?_encoding=UTF8&psc=1&refRID=AR9REY9Y7RS6AR8EN4RJ
12,Saunas,OppsDecor-Portable-Personal-Therapeutic-Relaxation,/OppsDecor-Portable-Personal-Therapeutic-Relaxation/dp/B07YNV5QYF/ref=zg_bs_2475549011_4?_encoding=UTF8&psc=1&refRID=AR9REY9Y7RS6AR8EN4RJ
13,Saunas,product-reviews,/product-reviews/B08JQQSSDW/ref=zg_bs_2475549011_cr_4?ie=UTF8&refRID=AR9REY9Y7RS6AR8EN4RJ
14,Saunas,product-reviews,/product-reviews/B08JQQSSDW/ref=zg_bs_2475549011_cr_4?ie=UTF8&refRID=AR9REY9Y7RS6AR8EN4RJ
