,sub_cat,item_name,URL
0,Science & Math,When-Breath-Becomes-Paul-Kalanithi-ebook,/When-Breath-Becomes-Paul-Kalanithi-ebook/dp/B00XSSYR50/ref=zg_bs_158597011_1?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
1,Science & Math,product-reviews,/product-reviews/B00XSSYR50/ref=zg_bs_158597011_cr_1?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
2,Science & Math,product-reviews,/product-reviews/B00XSSYR50/ref=zg_bs_158597011_cr_1?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
3,Science & Math,When-Breath-Becomes-Paul-Kalanithi-ebook,/When-Breath-Becomes-Paul-Kalanithi-ebook/dp/B00XSSYR50/ref=zg_bs_158597011_1?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
4,Science & Math,Unsettled-Climate-Science-Doesnt-Matters-ebook,/Unsettled-Climate-Science-Doesnt-Matters-ebook/dp/B08JQKQGD5/ref=zg_bs_158597011_2?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
5,Science & Math,Unsettled-Climate-Science-Doesnt-Matters-ebook,/Unsettled-Climate-Science-Doesnt-Matters-ebook/dp/B08JQKQGD5/ref=zg_bs_158597011_2?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
6,Science & Math,Entangled-Life-Worlds-Change-Futures-ebook,/Entangled-Life-Worlds-Change-Futures-ebook/dp/B07WKJS8P1/ref=zg_bs_158597011_3?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
7,Science & Math,product-reviews,/product-reviews/B07WKJS8P1/ref=zg_bs_158597011_cr_3?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
8,Science & Math,product-reviews,/product-reviews/B07WKJS8P1/ref=zg_bs_158597011_cr_3?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
9,Science & Math,Entangled-Life-Worlds-Change-Futures-ebook,/Entangled-Life-Worlds-Change-Futures-ebook/dp/B07WKJS8P1/ref=zg_bs_158597011_3?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
10,Science & Math,Who-Are-How-Got-Here-ebook,/Who-Are-How-Got-Here-ebook/dp/B073NP8WT3/ref=zg_bs_158597011_4?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
11,Science & Math,product-reviews,/product-reviews/B073NP8WT3/ref=zg_bs_158597011_cr_4?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
12,Science & Math,product-reviews,/product-reviews/B073NP8WT3/ref=zg_bs_158597011_cr_4?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
13,Science & Math,Who-Are-How-Got-Here-ebook,/Who-Are-How-Got-Here-ebook/dp/B073NP8WT3/ref=zg_bs_158597011_4?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
14,Science & Math,,https://www.amazon.com/gp/new-releases/digital-text/158597011/ref=zg_bs_tab_t_bsnr
15,Science & Math,,https://www.amazon.com/gp/new-releases/digital-text/158597011/ref=zg_bs_tab_t_bsnr
16,Science & Math,Incognito-Secret-Lives-David-Eagleman-ebook,/Incognito-Secret-Lives-David-Eagleman-ebook/dp/B004J4WK9W/ref=zg_bs_158597011_5?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
17,Science & Math,product-reviews,/product-reviews/B004J4WK9W/ref=zg_bs_158597011_cr_5?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
18,Science & Math,product-reviews,/product-reviews/B004J4WK9W/ref=zg_bs_158597011_cr_5?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
19,Science & Math,Incognito-Secret-Lives-David-Eagleman-ebook,/Incognito-Secret-Lives-David-Eagleman-ebook/dp/B004J4WK9W/ref=zg_bs_158597011_5?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
20,Science & Math,Your-Inner-Fish-Journey-3-5-Billion-Year-ebook,/Your-Inner-Fish-Journey-3-5-Billion-Year-ebook/dp/B0010SKTRA/ref=zg_bs_158597011_6?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
21,Science & Math,product-reviews,/product-reviews/B0010SKTRA/ref=zg_bs_158597011_cr_6?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
22,Science & Math,product-reviews,/product-reviews/B0010SKTRA/ref=zg_bs_158597011_cr_6?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
23,Science & Math,Your-Inner-Fish-Journey-3-5-Billion-Year-ebook,/Your-Inner-Fish-Journey-3-5-Billion-Year-ebook/dp/B0010SKTRA/ref=zg_bs_158597011_6?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
24,Science & Math,Hot-Zone-Terrifying-Story-Origins-ebook,/Hot-Zone-Terrifying-Story-Origins-ebook/dp/B007DCU4IQ/ref=zg_bs_158597011_7?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
25,Science & Math,product-reviews,/product-reviews/B007DCU4IQ/ref=zg_bs_158597011_cr_7?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
26,Science & Math,product-reviews,/product-reviews/B007DCU4IQ/ref=zg_bs_158597011_cr_7?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
27,Science & Math,Hot-Zone-Terrifying-Story-Origins-ebook,/Hot-Zone-Terrifying-Story-Origins-ebook/dp/B007DCU4IQ/ref=zg_bs_158597011_7?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
28,Science & Math,This-Naked-Mind-Discover-Happiness-ebook,/This-Naked-Mind-Discover-Happiness-ebook/dp/B077VTJC8P/ref=zg_bs_158597011_8?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
29,Science & Math,product-reviews,/product-reviews/B077VTJC8P/ref=zg_bs_158597011_cr_8?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
30,Science & Math,product-reviews,/product-reviews/B077VTJC8P/ref=zg_bs_158597011_cr_8?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
31,Science & Math,This-Naked-Mind-Discover-Happiness-ebook,/This-Naked-Mind-Discover-Happiness-ebook/dp/B077VTJC8P/ref=zg_bs_158597011_8?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
32,Science & Math,Code-Breaker-Jennifer-Doudna-Editing-ebook,/Code-Breaker-Jennifer-Doudna-Editing-ebook/dp/B08G1XNG7J/ref=zg_bs_158597011_9?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
33,Science & Math,product-reviews,/product-reviews/B08G1XNG7J/ref=zg_bs_158597011_cr_9?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
34,Science & Math,product-reviews,/product-reviews/B08G1XNG7J/ref=zg_bs_158597011_cr_9?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
35,Science & Math,Code-Breaker-Jennifer-Doudna-Editing-ebook,/Code-Breaker-Jennifer-Doudna-Editing-ebook/dp/B08G1XNG7J/ref=zg_bs_158597011_9?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
36,Science & Math,This-Your-Brain-Food-Indispensable-ebook,/This-Your-Brain-Food-Indispensable-ebook/dp/B0827TG4N3/ref=zg_bs_158597011_10?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
37,Science & Math,product-reviews,/product-reviews/B0827TG4N3/ref=zg_bs_158597011_cr_10?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
38,Science & Math,product-reviews,/product-reviews/B0827TG4N3/ref=zg_bs_158597011_cr_10?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
39,Science & Math,This-Your-Brain-Food-Indispensable-ebook,/This-Your-Brain-Food-Indispensable-ebook/dp/B0827TG4N3/ref=zg_bs_158597011_10?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
40,Science & Math,Kindred-Neanderthal-Life-Love-Death-ebook,/Kindred-Neanderthal-Life-Love-Death-ebook/dp/B07YLYHBVF/ref=zg_bs_158597011_11?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
41,Science & Math,product-reviews,/product-reviews/B07YLYHBVF/ref=zg_bs_158597011_cr_11?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
42,Science & Math,product-reviews,/product-reviews/B07YLYHBVF/ref=zg_bs_158597011_cr_11?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
43,Science & Math,Kindred-Neanderthal-Life-Love-Death-ebook,/Kindred-Neanderthal-Life-Love-Death-ebook/dp/B07YLYHBVF/ref=zg_bs_158597011_11?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
44,Science & Math,Vagina-Bible-Vulva-Separating-Medicine-ebook,/Vagina-Bible-Vulva-Separating-Medicine-ebook/dp/B07L25YWR1/ref=zg_bs_158597011_12?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
45,Science & Math,product-reviews,/product-reviews/B07L25YWR1/ref=zg_bs_158597011_cr_12?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
46,Science & Math,product-reviews,/product-reviews/B07L25YWR1/ref=zg_bs_158597011_cr_12?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
47,Science & Math,Vagina-Bible-Vulva-Separating-Medicine-ebook,/Vagina-Bible-Vulva-Separating-Medicine-ebook/dp/B07L25YWR1/ref=zg_bs_158597011_12?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
48,Science & Math,Authentic-Happiness-Psychology-Potential-Fulfillment-ebook,/Authentic-Happiness-Psychology-Potential-Fulfillment-ebook/dp/B000FBJFWI/ref=zg_bs_158597011_13?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
49,Science & Math,product-reviews,/product-reviews/B000FBJFWI/ref=zg_bs_158597011_cr_13?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
50,Science & Math,product-reviews,/product-reviews/B000FBJFWI/ref=zg_bs_158597011_cr_13?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
51,Science & Math,Authentic-Happiness-Psychology-Potential-Fulfillment-ebook,/Authentic-Happiness-Psychology-Potential-Fulfillment-ebook/dp/B000FBJFWI/ref=zg_bs_158597011_13?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
52,Science & Math,Longitude-Genius-Greatest-Scientific-Problem-ebook,/Longitude-Genius-Greatest-Scientific-Problem-ebook/dp/B003WUYE66/ref=zg_bs_158597011_14?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
53,Science & Math,product-reviews,/product-reviews/B003WUYE66/ref=zg_bs_158597011_cr_14?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
54,Science & Math,product-reviews,/product-reviews/B003WUYE66/ref=zg_bs_158597011_cr_14?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
55,Science & Math,Longitude-Genius-Greatest-Scientific-Problem-ebook,/Longitude-Genius-Greatest-Scientific-Problem-ebook/dp/B003WUYE66/ref=zg_bs_158597011_14?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
56,Science & Math,Childhood-Disrupted-Biography-Becomes-Biology-ebook,/Childhood-Disrupted-Biography-Becomes-Biology-ebook/dp/B00P434AWM/ref=zg_bs_158597011_15?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
57,Science & Math,product-reviews,/product-reviews/B00P434AWM/ref=zg_bs_158597011_cr_15?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
58,Science & Math,product-reviews,/product-reviews/B00P434AWM/ref=zg_bs_158597011_cr_15?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
59,Science & Math,Childhood-Disrupted-Biography-Becomes-Biology-ebook,/Childhood-Disrupted-Biography-Becomes-Biology-ebook/dp/B00P434AWM/ref=zg_bs_158597011_15?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
60,Science & Math,Invention-Nature-Alexander-Humboldts-World-ebook,/Invention-Nature-Alexander-Humboldts-World-ebook/dp/B00RKO0L3A/ref=zg_bs_158597011_16?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
61,Science & Math,product-reviews,/product-reviews/B00RKO0L3A/ref=zg_bs_158597011_cr_16?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
62,Science & Math,product-reviews,/product-reviews/B00RKO0L3A/ref=zg_bs_158597011_cr_16?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
63,Science & Math,Invention-Nature-Alexander-Humboldts-World-ebook,/Invention-Nature-Alexander-Humboldts-World-ebook/dp/B00RKO0L3A/ref=zg_bs_158597011_16?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
64,Science & Math,Seven-Half-Lessons-About-Brain-ebook,/Seven-Half-Lessons-About-Brain-ebook/dp/B081TT1V8M/ref=zg_bs_158597011_17?_encoding=UTF8&psc=1&refRID=VGA2J2CAJPYQ6HAVBV7N
65,Science & Math,product-reviews,/product-reviews/B081TT1V8M/ref=zg_bs_158597011_cr_17?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
66,Science & Math,product-reviews,/product-reviews/B081TT1V8M/ref=zg_bs_158597011_cr_17?ie=UTF8&refRID=VGA2J2CAJPYQ6HAVBV7N
