,sub_cat,item_name,URL
0,Self-Help,Lives-Stoics-Living-Marcus-Aurelius-ebook,/Lives-Stoics-Living-Marcus-Aurelius-ebook/dp/B083HL8RLK/ref=zg_bs_156563011_1?_encoding=UTF8&psc=1&refRID=MWZ66GEW5B9DN62P0BBR
1,Self-Help,product-reviews,/product-reviews/B083HL8RLK/ref=zg_bs_156563011_cr_1?ie=UTF8&refRID=MWZ66GEW5B9DN62P0BBR
2,Self-Help,product-reviews,/product-reviews/B083HL8RLK/ref=zg_bs_156563011_cr_1?ie=UTF8&refRID=MWZ66GEW5B9DN62P0BBR
3,Self-Help,Lives-Stoics-Living-Marcus-Aurelius-ebook,/Lives-Stoics-Living-Marcus-Aurelius-ebook/dp/B083HL8RLK/ref=zg_bs_156563011_1?_encoding=UTF8&psc=1&refRID=MWZ66GEW5B9DN62P0BBR
4,Self-Help,Getting-Things-Done-Stress-Free-Productivity-ebook,/Getting-Things-Done-Stress-Free-Productivity-ebook/dp/B00KWG9M2E/ref=zg_bs_156563011_2?_encoding=UTF8&psc=1&refRID=MWZ66GEW5B9DN62P0BBR
5,Self-Help,product-reviews,/product-reviews/B00KWG9M2E/ref=zg_bs_156563011_cr_2?ie=UTF8&refRID=MWZ66GEW5B9DN62P0BBR
6,Self-Help,product-reviews,/product-reviews/B00KWG9M2E/ref=zg_bs_156563011_cr_2?ie=UTF8&refRID=MWZ66GEW5B9DN62P0BBR
7,Self-Help,Getting-Things-Done-Stress-Free-Productivity-ebook,/Getting-Things-Done-Stress-Free-Productivity-ebook/dp/B00KWG9M2E/ref=zg_bs_156563011_2?_encoding=UTF8&psc=1&refRID=MWZ66GEW5B9DN62P0BBR
8,Self-Help,Everything-Figureoutable-Marie-Forleo-ebook,/Everything-Figureoutable-Marie-Forleo-ebook/dp/B07N5KD7ZB/ref=zg_bs_156563011_3?_encoding=UTF8&psc=1&refRID=MWZ66GEW5B9DN62P0BBR
9,Self-Help,product-reviews,/product-reviews/B07N5KD7ZB/ref=zg_bs_156563011_cr_3?ie=UTF8&refRID=MWZ66GEW5B9DN62P0BBR
10,Self-Help,product-reviews,/product-reviews/B07N5KD7ZB/ref=zg_bs_156563011_cr_3?ie=UTF8&refRID=MWZ66GEW5B9DN62P0BBR
11,Self-Help,Everything-Figureoutable-Marie-Forleo-ebook,/Everything-Figureoutable-Marie-Forleo-ebook/dp/B07N5KD7ZB/ref=zg_bs_156563011_3?_encoding=UTF8&psc=1&refRID=MWZ66GEW5B9DN62P0BBR
12,Self-Help,Beginners-Transformative-Power-Lifelong-Learning-ebook,/Beginners-Transformative-Power-Lifelong-Learning-ebook/dp/B082S311FG/ref=zg_bs_156563011_4?_encoding=UTF8&psc=1&refRID=MWZ66GEW5B9DN62P0BBR
