,sub_cat,item_name,URL
0,Sports & Outdoors,End-Game-Vegas-Aces-Book-ebook,/End-Game-Vegas-Aces-Book-ebook/dp/B08WPMM319/ref=zg_bs_159818011_1?_encoding=UTF8&psc=1&refRID=6CJDMGMHP33SQA92SK8H
1,Sports & Outdoors,product-reviews,/product-reviews/B08WPMM319/ref=zg_bs_159818011_cr_1?ie=UTF8&refRID=6CJDMGMHP33SQA92SK8H
2,Sports & Outdoors,product-reviews,/product-reviews/B08WPMM319/ref=zg_bs_159818011_cr_1?ie=UTF8&refRID=6CJDMGMHP33SQA92SK8H
3,Sports & Outdoors,End-Game-Vegas-Aces-Book-ebook,/End-Game-Vegas-Aces-Book-ebook/dp/B08WPMM319/ref=zg_bs_159818011_1?_encoding=UTF8&psc=1&refRID=6CJDMGMHP33SQA92SK8H
4,Sports & Outdoors,BAD-KARMA-True-Story-Mexican-ebook,/BAD-KARMA-True-Story-Mexican-ebook/dp/B081BD8TVY/ref=zg_bs_159818011_2?_encoding=UTF8&psc=1&refRID=6CJDMGMHP33SQA92SK8H
5,Sports & Outdoors,product-reviews,/product-reviews/B081BD8TVY/ref=zg_bs_159818011_cr_2?ie=UTF8&refRID=6CJDMGMHP33SQA92SK8H
6,Sports & Outdoors,product-reviews,/product-reviews/B081BD8TVY/ref=zg_bs_159818011_cr_2?ie=UTF8&refRID=6CJDMGMHP33SQA92SK8H
7,Sports & Outdoors,BAD-KARMA-True-Story-Mexican-ebook,/BAD-KARMA-True-Story-Mexican-ebook/dp/B081BD8TVY/ref=zg_bs_159818011_2?_encoding=UTF8&psc=1&refRID=6CJDMGMHP33SQA92SK8H
8,Sports & Outdoors,Home-Game-Vegas-Aces-Book-ebook,/Home-Game-Vegas-Aces-Book-ebook/dp/B08WJR5NR6/ref=zg_bs_159818011_3?_encoding=UTF8&psc=1&refRID=6CJDMGMHP33SQA92SK8H
9,Sports & Outdoors,product-reviews,/product-reviews/B08WJR5NR6/ref=zg_bs_159818011_cr_3?ie=UTF8&refRID=6CJDMGMHP33SQA92SK8H
10,Sports & Outdoors,product-reviews,/product-reviews/B08WJR5NR6/ref=zg_bs_159818011_cr_3?ie=UTF8&refRID=6CJDMGMHP33SQA92SK8H
11,Sports & Outdoors,Home-Game-Vegas-Aces-Book-ebook,/Home-Game-Vegas-Aces-Book-ebook/dp/B08WJR5NR6/ref=zg_bs_159818011_3?_encoding=UTF8&psc=1&refRID=6CJDMGMHP33SQA92SK8H
12,Sports & Outdoors,Waiting-Game-Vegas-Aces-Book-ebook,/Waiting-Game-Vegas-Aces-Book-ebook/dp/B08WPMKHB4/ref=zg_bs_159818011_4?_encoding=UTF8&psc=1&refRID=6CJDMGMHP33SQA92SK8H
13,Sports & Outdoors,product-reviews,/product-reviews/B08WPMKHB4/ref=zg_bs_159818011_cr_4?ie=UTF8&refRID=6CJDMGMHP33SQA92SK8H
