,sub_cat,item_name,URL
0,Swimming Pools,Summer-Waves-Inflatable-Ground-Filter,/Summer-Waves-Inflatable-Ground-Filter/dp/B06Y49GJX4/ref=zg_bs_166442011_1?_encoding=UTF8&psc=1&refRID=Y1QJNCEDZD08DKE99KVM
1,Swimming Pools,product-reviews,/product-reviews/B06Y49GJX4/ref=zg_bs_166442011_cr_1?ie=UTF8&refRID=Y1QJNCEDZD08DKE99KVM
2,Swimming Pools,product-reviews,/product-reviews/B06Y49GJX4/ref=zg_bs_166442011_cr_1?ie=UTF8&refRID=Y1QJNCEDZD08DKE99KVM
3,Swimming Pools,Summer-Waves-Inflatable-Ground-Filter,/Summer-Waves-Inflatable-Ground-Filter/dp/B06Y49GJX4/ref=zg_bs_166442011_1?_encoding=UTF8&psc=1&refRID=Y1QJNCEDZD08DKE99KVM
4,Swimming Pools,Intex-Ultra-Filter-Ladder-Ground,/Intex-Ultra-Filter-Ladder-Ground/dp/B07F39F71J/ref=zg_bs_166442011_2?_encoding=UTF8&psc=1&refRID=Y1QJNCEDZD08DKE99KVM
5,Swimming Pools,product-reviews,/product-reviews/B07YNK6LWD/ref=zg_bs_166442011_cr_2?ie=UTF8&refRID=Y1QJNCEDZD08DKE99KVM
6,Swimming Pools,product-reviews,/product-reviews/B07YNK6LWD/ref=zg_bs_166442011_cr_2?ie=UTF8&refRID=Y1QJNCEDZD08DKE99KVM
7,Swimming Pools,Intex-Ultra-Filter-Ladder-Ground,/Intex-Ultra-Filter-Ladder-Ground/dp/B07F39F71J/ref=zg_bs_166442011_2?_encoding=UTF8&psc=1&refRID=Y1QJNCEDZD08DKE99KVM
8,Swimming Pools,Intex-Sunset-Glow-Baby-Pool,/Intex-Sunset-Glow-Baby-Pool/dp/B000I9RZOW/ref=zg_bs_166442011_3?_encoding=UTF8&psc=1&refRID=Y1QJNCEDZD08DKE99KVM
9,Swimming Pools,product-reviews,/product-reviews/B000I9RZOW/ref=zg_bs_166442011_cr_3?ie=UTF8&refRID=Y1QJNCEDZD08DKE99KVM
10,Swimming Pools,product-reviews,/product-reviews/B000I9RZOW/ref=zg_bs_166442011_cr_3?ie=UTF8&refRID=Y1QJNCEDZD08DKE99KVM
11,Swimming Pools,Intex-Sunset-Glow-Baby-Pool,/Intex-Sunset-Glow-Baby-Pool/dp/B000I9RZOW/ref=zg_bs_166442011_3?_encoding=UTF8&psc=1&refRID=Y1QJNCEDZD08DKE99KVM
12,Swimming Pools,Homech-Inflatable-Swimming-Full-Sized-Toddlers,/Homech-Inflatable-Swimming-Full-Sized-Toddlers/dp/B083PRCZDM/ref=zg_bs_166442011_4?_encoding=UTF8&psc=1&refRID=Y1QJNCEDZD08DKE99KVM
13,Swimming Pools,product-reviews,/product-reviews/B083PRCZDM/ref=zg_bs_166442011_cr_4?ie=UTF8&refRID=Y1QJNCEDZD08DKE99KVM
14,Swimming Pools,product-reviews,/product-reviews/B083PRCZDM/ref=zg_bs_166442011_cr_4?ie=UTF8&refRID=Y1QJNCEDZD08DKE99KVM
15,Swimming Pools,Homech-Inflatable-Swimming-Full-Sized-Toddlers,/Homech-Inflatable-Swimming-Full-Sized-Toddlers/dp/B083PRCZDM/ref=zg_bs_166442011_4?_encoding=UTF8&psc=1&refRID=Y1QJNCEDZD08DKE99KVM
16,Swimming Pools,,https://www.amazon.com/gp/new-releases/lawn-garden/166442011/ref=zg_bs_tab_t_bsnr
17,Swimming Pools,,https://www.amazon.com/gp/new-releases/lawn-garden/166442011/ref=zg_bs_tab_t_bsnr
18,Swimming Pools,,https://www.amazon.com/gp/most-wished-for/lawn-garden/166442011/ref=zg_bs_tab_t_mw
19,Swimming Pools,,https://www.amazon.com/gp/most-wished-for/lawn-garden/166442011/ref=zg_bs_tab_t_mw
20,Swimming Pools,Sable-Inflatable-Full-Sized-Toddlers-Backyard,/Sable-Inflatable-Full-Sized-Toddlers-Backyard/dp/B082NXWCMW/ref=zg_bs_166442011_5?_encoding=UTF8&psc=1&refRID=Y1QJNCEDZD08DKE99KVM
21,Swimming Pools,product-reviews,/product-reviews/B089HPST92/ref=zg_bs_166442011_cr_5?ie=UTF8&refRID=Y1QJNCEDZD08DKE99KVM
22,Swimming Pools,product-reviews,/product-reviews/B089HPST92/ref=zg_bs_166442011_cr_5?ie=UTF8&refRID=Y1QJNCEDZD08DKE99KVM
23,Swimming Pools,Sable-Inflatable-Full-Sized-Toddlers-Backyard,/Sable-Inflatable-Full-Sized-Toddlers-Backyard/dp/B082NXWCMW/ref=zg_bs_166442011_5?_encoding=UTF8&psc=1&refRID=Y1QJNCEDZD08DKE99KVM
24,Swimming Pools,Members-Mark-J8EQHE29D7-2-Inflatable-Backrests,/Members-Mark-J8EQHE29D7-2-Inflatable-Backrests/dp/B09279Z7SH/ref=zg_bs_166442011_6?_encoding=UTF8&psc=1&refRID=Y1QJNCEDZD08DKE99KVM
25,Swimming Pools,product-reviews,/product-reviews/B09139143H/ref=zg_bs_166442011_cr_6?ie=UTF8&refRID=Y1QJNCEDZD08DKE99KVM
26,Swimming Pools,product-reviews,/product-reviews/B09139143H/ref=zg_bs_166442011_cr_6?ie=UTF8&refRID=Y1QJNCEDZD08DKE99KVM
27,Swimming Pools,Members-Mark-J8EQHE29D7-2-Inflatable-Backrests,/Members-Mark-J8EQHE29D7-2-Inflatable-Backrests/dp/B09279Z7SH/ref=zg_bs_166442011_6?_encoding=UTF8&psc=1&refRID=Y1QJNCEDZD08DKE99KVM
28,Swimming Pools,Homech-Inflatable-Swimming-Toddlers-Backyard,/Homech-Inflatable-Swimming-Toddlers-Backyard/dp/B083Q2L4VZ/ref=zg_bs_166442011_7?_encoding=UTF8&psc=1&refRID=Y1QJNCEDZD08DKE99KVM
29,Swimming Pools,product-reviews,/product-reviews/B083Q2L4VZ/ref=zg_bs_166442011_cr_7?ie=UTF8&refRID=Y1QJNCEDZD08DKE99KVM
30,Swimming Pools,product-reviews,/product-reviews/B083Q2L4VZ/ref=zg_bs_166442011_cr_7?ie=UTF8&refRID=Y1QJNCEDZD08DKE99KVM
31,Swimming Pools,Homech-Inflatable-Swimming-Toddlers-Backyard,/Homech-Inflatable-Swimming-Toddlers-Backyard/dp/B083Q2L4VZ/ref=zg_bs_166442011_7?_encoding=UTF8&psc=1&refRID=Y1QJNCEDZD08DKE99KVM
32,Swimming Pools,Intex-Crystal-Blue-Inflatable-Pool,/Intex-Crystal-Blue-Inflatable-Pool/dp/B000SN61UC/ref=zg_bs_166442011_8?_encoding=UTF8&psc=1&refRID=Y1QJNCEDZD08DKE99KVM
33,Swimming Pools,product-reviews,/product-reviews/B000SN61UC/ref=zg_bs_166442011_cr_8?ie=UTF8&refRID=Y1QJNCEDZD08DKE99KVM
34,Swimming Pools,product-reviews,/product-reviews/B000SN61UC/ref=zg_bs_166442011_cr_8?ie=UTF8&refRID=Y1QJNCEDZD08DKE99KVM
35,Swimming Pools,Intex-Crystal-Blue-Inflatable-Pool,/Intex-Crystal-Blue-Inflatable-Pool/dp/B000SN61UC/ref=zg_bs_166442011_8?_encoding=UTF8&psc=1&refRID=Y1QJNCEDZD08DKE99KVM
36,Swimming Pools,Intex-20in-Easy-Swimming-28101,/Intex-20in-Easy-Swimming-28101/dp/B00A8LGG86/ref=zg_bs_166442011_9?_encoding=UTF8&psc=1&refRID=Y1QJNCEDZD08DKE99KVM
37,Swimming Pools,product-reviews,/product-reviews/B076DFXNQ9/ref=zg_bs_166442011_cr_9?ie=UTF8&refRID=Y1QJNCEDZD08DKE99KVM
38,Swimming Pools,product-reviews,/product-reviews/B076DFXNQ9/ref=zg_bs_166442011_cr_9?ie=UTF8&refRID=Y1QJNCEDZD08DKE99KVM
39,Swimming Pools,Intex-20in-Easy-Swimming-28101,/Intex-20in-Easy-Swimming-28101/dp/B00A8LGG86/ref=zg_bs_166442011_9?_encoding=UTF8&psc=1&refRID=Y1QJNCEDZD08DKE99KVM
40,Swimming Pools,Bestway-Steel-Above-Ground-Pool,/Bestway-Steel-Above-Ground-Pool/dp/B08VHPXG33/ref=zg_bs_166442011_10?_encoding=UTF8&psc=1&refRID=Y1QJNCEDZD08DKE99KVM
41,Swimming Pools,product-reviews,/product-reviews/B08VHPXG33/ref=zg_bs_166442011_cr_10?ie=UTF8&refRID=Y1QJNCEDZD08DKE99KVM
42,Swimming Pools,product-reviews,/product-reviews/B08VHPXG33/ref=zg_bs_166442011_cr_10?ie=UTF8&refRID=Y1QJNCEDZD08DKE99KVM
43,Swimming Pools,Bestway-Steel-Above-Ground-Pool,/Bestway-Steel-Above-Ground-Pool/dp/B08VHPXG33/ref=zg_bs_166442011_10?_encoding=UTF8&psc=1&refRID=Y1QJNCEDZD08DKE99KVM
44,Swimming Pools,Intex-10ft-Prism-Frame-Filter,/Intex-10ft-Prism-Frame-Filter/dp/B07F3DNDL4/ref=zg_bs_166442011_11?_encoding=UTF8&psc=1&refRID=Y1QJNCEDZD08DKE99KVM
45,Swimming Pools,product-reviews,/product-reviews/B092KBGZYG/ref=zg_bs_166442011_cr_11?ie=UTF8&refRID=Y1QJNCEDZD08DKE99KVM
46,Swimming Pools,product-reviews,/product-reviews/B092KBGZYG/ref=zg_bs_166442011_cr_11?ie=UTF8&refRID=Y1QJNCEDZD08DKE99KVM
47,Swimming Pools,Intex-10ft-Prism-Frame-Filter,/Intex-10ft-Prism-Frame-Filter/dp/B07F3DNDL4/ref=zg_bs_166442011_11?_encoding=UTF8&psc=1&refRID=Y1QJNCEDZD08DKE99KVM
48,Swimming Pools,Inflatable-Swimming-Hesung-Full-Sized-Wear-Resistant,/Inflatable-Swimming-Hesung-Full-Sized-Wear-Resistant/dp/B08RRW3QJS/ref=zg_bs_166442011_12?_encoding=UTF8&psc=1&refRID=Y1QJNCEDZD08DKE99KVM
49,Swimming Pools,product-reviews,/product-reviews/B08RRW3QJS/ref=zg_bs_166442011_cr_12?ie=UTF8&refRID=Y1QJNCEDZD08DKE99KVM
50,Swimming Pools,product-reviews,/product-reviews/B08RRW3QJS/ref=zg_bs_166442011_cr_12?ie=UTF8&refRID=Y1QJNCEDZD08DKE99KVM
51,Swimming Pools,Inflatable-Swimming-Hesung-Full-Sized-Wear-Resistant,/Inflatable-Swimming-Hesung-Full-Sized-Wear-Resistant/dp/B08RRW3QJS/ref=zg_bs_166442011_12?_encoding=UTF8&psc=1&refRID=Y1QJNCEDZD08DKE99KVM
52,Swimming Pools,Intex-30in-Easy-Pool-Filter,/Intex-30in-Easy-Pool-Filter/dp/B00OX5B7SM/ref=zg_bs_166442011_13?_encoding=UTF8&psc=1&refRID=Y1QJNCEDZD08DKE99KVM
53,Swimming Pools,product-reviews,/product-reviews/B07YNKFKVZ/ref=zg_bs_166442011_cr_13?ie=UTF8&refRID=Y1QJNCEDZD08DKE99KVM
54,Swimming Pools,product-reviews,/product-reviews/B07YNKFKVZ/ref=zg_bs_166442011_cr_13?ie=UTF8&refRID=Y1QJNCEDZD08DKE99KVM
55,Swimming Pools,Intex-30in-Easy-Pool-Filter,/Intex-30in-Easy-Pool-Filter/dp/B00OX5B7SM/ref=zg_bs_166442011_13?_encoding=UTF8&psc=1&refRID=Y1QJNCEDZD08DKE99KVM
56,Swimming Pools,Inflatable-Swimming-Full-Sized-Children-Wear-Resistant,/Inflatable-Swimming-Full-Sized-Children-Wear-Resistant/dp/B08R7HS4YT/ref=zg_bs_166442011_14?_encoding=UTF8&psc=1&refRID=Y1QJNCEDZD08DKE99KVM
57,Swimming Pools,product-reviews,/product-reviews/B08R7HS4YT/ref=zg_bs_166442011_cr_14?ie=UTF8&refRID=Y1QJNCEDZD08DKE99KVM
