,sub_cat,item_name,URL
0,Teen & Young Adult,Kaaterskill-Falls-Novel-Allegra-Goodman-ebook,/Kaaterskill-Falls-Novel-Allegra-Goodman-ebook/dp/B002SXIEOG/ref=zg_bs_3511261011_1?_encoding=UTF8&psc=1&refRID=S5ABM07FESPDWN3Y5GTA
1,Teen & Young Adult,product-reviews,/product-reviews/B002SXIEOG/ref=zg_bs_3511261011_cr_1?ie=UTF8&refRID=S5ABM07FESPDWN3Y5GTA
2,Teen & Young Adult,product-reviews,/product-reviews/B002SXIEOG/ref=zg_bs_3511261011_cr_1?ie=UTF8&refRID=S5ABM07FESPDWN3Y5GTA
3,Teen & Young Adult,Kaaterskill-Falls-Novel-Allegra-Goodman-ebook,/Kaaterskill-Falls-Novel-Allegra-Goodman-ebook/dp/B002SXIEOG/ref=zg_bs_3511261011_1?_encoding=UTF8&psc=1&refRID=S5ABM07FESPDWN3Y5GTA
4,Teen & Young Adult,Harry-Potter-Sorcerers-Stone-Rowling-ebook,/Harry-Potter-Sorcerers-Stone-Rowling-ebook/dp/B0192CTMYG/ref=zg_bs_3511261011_2?_encoding=UTF8&psc=1&refRID=S5ABM07FESPDWN3Y5GTA
5,Teen & Young Adult,product-reviews,/product-reviews/B0192CTMYG/ref=zg_bs_3511261011_cr_2?ie=UTF8&refRID=S5ABM07FESPDWN3Y5GTA
6,Teen & Young Adult,product-reviews,/product-reviews/B0192CTMYG/ref=zg_bs_3511261011_cr_2?ie=UTF8&refRID=S5ABM07FESPDWN3Y5GTA
7,Teen & Young Adult,Harry-Potter-Sorcerers-Stone-Rowling-ebook,/Harry-Potter-Sorcerers-Stone-Rowling-ebook/dp/B0192CTMYG/ref=zg_bs_3511261011_2?_encoding=UTF8&psc=1&refRID=S5ABM07FESPDWN3Y5GTA
8,Teen & Young Adult,Selection-Kiera-Cass-ebook,/Selection-Kiera-Cass-ebook/dp/B006564VQC/ref=zg_bs_3511261011_3?_encoding=UTF8&psc=1&refRID=S5ABM07FESPDWN3Y5GTA
9,Teen & Young Adult,product-reviews,/product-reviews/B006564VQC/ref=zg_bs_3511261011_cr_3?ie=UTF8&refRID=S5ABM07FESPDWN3Y5GTA
10,Teen & Young Adult,product-reviews,/product-reviews/B006564VQC/ref=zg_bs_3511261011_cr_3?ie=UTF8&refRID=S5ABM07FESPDWN3Y5GTA
11,Teen & Young Adult,Selection-Kiera-Cass-ebook,/Selection-Kiera-Cass-ebook/dp/B006564VQC/ref=zg_bs_3511261011_3?_encoding=UTF8&psc=1&refRID=S5ABM07FESPDWN3Y5GTA
