,sub_cat,item_name,URL
0,Travel,BAD-KARMA-True-Story-Mexican-ebook,/BAD-KARMA-True-Story-Mexican-ebook/dp/B081BD8TVY/ref=zg_bs_159936011_1?_encoding=UTF8&psc=1&refRID=4ETAAS7QTB8F4XWC5S69
1,Travel,product-reviews,/product-reviews/B081BD8TVY/ref=zg_bs_159936011_cr_1?ie=UTF8&refRID=4ETAAS7QTB8F4XWC5S69
2,Travel,product-reviews,/product-reviews/B081BD8TVY/ref=zg_bs_159936011_cr_1?ie=UTF8&refRID=4ETAAS7QTB8F4XWC5S69
3,Travel,BAD-KARMA-True-Story-Mexican-ebook,/BAD-KARMA-True-Story-Mexican-ebook/dp/B081BD8TVY/ref=zg_bs_159936011_1?_encoding=UTF8&psc=1&refRID=4ETAAS7QTB8F4XWC5S69
4,Travel,99-Invisible-City-Hidden-Everyday-ebook,/99-Invisible-City-Hidden-Everyday-ebook/dp/B086YHKSJX/ref=zg_bs_159936011_2?_encoding=UTF8&psc=1&refRID=4ETAAS7QTB8F4XWC5S69
5,Travel,product-reviews,/product-reviews/B086YHKSJX/ref=zg_bs_159936011_cr_2?ie=UTF8&refRID=4ETAAS7QTB8F4XWC5S69
6,Travel,product-reviews,/product-reviews/B086YHKSJX/ref=zg_bs_159936011_cr_2?ie=UTF8&refRID=4ETAAS7QTB8F4XWC5S69
7,Travel,99-Invisible-City-Hidden-Everyday-ebook,/99-Invisible-City-Hidden-Everyday-ebook/dp/B086YHKSJX/ref=zg_bs_159936011_2?_encoding=UTF8&psc=1&refRID=4ETAAS7QTB8F4XWC5S69
8,Travel,Boy-Who-Talked-Dogs-Memoir-ebook,/Boy-Who-Talked-Dogs-Memoir-ebook/dp/B00MSYV186/ref=zg_bs_159936011_3?_encoding=UTF8&psc=1&refRID=4ETAAS7QTB8F4XWC5S69
9,Travel,product-reviews,/product-reviews/B00MSYV186/ref=zg_bs_159936011_cr_3?ie=UTF8&refRID=4ETAAS7QTB8F4XWC5S69
10,Travel,product-reviews,/product-reviews/B00MSYV186/ref=zg_bs_159936011_cr_3?ie=UTF8&refRID=4ETAAS7QTB8F4XWC5S69
11,Travel,Boy-Who-Talked-Dogs-Memoir-ebook,/Boy-Who-Talked-Dogs-Memoir-ebook/dp/B00MSYV186/ref=zg_bs_159936011_3?_encoding=UTF8&psc=1&refRID=4ETAAS7QTB8F4XWC5S69
