,sub_cat,item_name,URL
0,Women,Bachelorette-Customizable-T-Shirts-Bridesmaids-Graphic,/Bachelorette-Customizable-T-Shirts-Bridesmaids-Graphic/dp/B07Q3LWTFF/ref=zg_bs_17714783011_1?_encoding=UTF8&psc=1&refRID=8CJADBFJCSCQFGTAV3RZ
1,Women,product-reviews,/product-reviews/B07Q3LWTFF/ref=zg_bs_17714783011_cr_1?ie=UTF8&refRID=8CJADBFJCSCQFGTAV3RZ
2,Women,product-reviews,/product-reviews/B07Q3LWTFF/ref=zg_bs_17714783011_cr_1?ie=UTF8&refRID=8CJADBFJCSCQFGTAV3RZ
3,Women,Bachelorette-Customizable-T-Shirts-Bridesmaids-Graphic,/Bachelorette-Customizable-T-Shirts-Bridesmaids-Graphic/dp/B07Q3LWTFF/ref=zg_bs_17714783011_1?_encoding=UTF8&psc=1&refRID=8CJADBFJCSCQFGTAV3RZ
4,Women,Bridesmaid-Proposal-Bridal-Bachelorette-Wedding,/Bridesmaid-Proposal-Bridal-Bachelorette-Wedding/dp/B07YF2282D/ref=zg_bs_17714783011_2?_encoding=UTF8&psc=1&refRID=8CJADBFJCSCQFGTAV3RZ
5,Women,product-reviews,/product-reviews/B07YF2282D/ref=zg_bs_17714783011_cr_2?ie=UTF8&refRID=8CJADBFJCSCQFGTAV3RZ
6,Women,product-reviews,/product-reviews/B07YF2282D/ref=zg_bs_17714783011_cr_2?ie=UTF8&refRID=8CJADBFJCSCQFGTAV3RZ
7,Women,Bridesmaid-Proposal-Bridal-Bachelorette-Wedding,/Bridesmaid-Proposal-Bridal-Bachelorette-Wedding/dp/B07YF2282D/ref=zg_bs_17714783011_2?_encoding=UTF8&psc=1&refRID=8CJADBFJCSCQFGTAV3RZ
8,Women,Washable-Burgundy-Filter-Reusable-Wedding,/Washable-Burgundy-Filter-Reusable-Wedding/dp/B08JVGJTRG/ref=zg_bs_17714783011_3?_encoding=UTF8&psc=1&refRID=8CJADBFJCSCQFGTAV3RZ
9,Women,product-reviews,/product-reviews/B08JVGJTRG/ref=zg_bs_17714783011_cr_3?ie=UTF8&refRID=8CJADBFJCSCQFGTAV3RZ
10,Women,product-reviews,/product-reviews/B08JVGJTRG/ref=zg_bs_17714783011_cr_3?ie=UTF8&refRID=8CJADBFJCSCQFGTAV3RZ
11,Women,Washable-Burgundy-Filter-Reusable-Wedding,/Washable-Burgundy-Filter-Reusable-Wedding/dp/B08JVGJTRG/ref=zg_bs_17714783011_3?_encoding=UTF8&psc=1&refRID=8CJADBFJCSCQFGTAV3RZ
12,Women,Glitter-Disneyland-Birthday-Outfits-T-shirts,/Glitter-Disneyland-Birthday-Outfits-T-shirts/dp/B07VQDMMVZ/ref=zg_bs_17714783011_4?_encoding=UTF8&psc=1&refRID=8CJADBFJCSCQFGTAV3RZ
13,Women,product-reviews,/product-reviews/B07VQDMMVZ/ref=zg_bs_17714783011_cr_4?ie=UTF8&refRID=8CJADBFJCSCQFGTAV3RZ
14,Women,product-reviews,/product-reviews/B07VQDMMVZ/ref=zg_bs_17714783011_cr_4?ie=UTF8&refRID=8CJADBFJCSCQFGTAV3RZ
15,Women,Glitter-Disneyland-Birthday-Outfits-T-shirts,/Glitter-Disneyland-Birthday-Outfits-T-shirts/dp/B07VQDMMVZ/ref=zg_bs_17714783011_4?_encoding=UTF8&psc=1&refRID=8CJADBFJCSCQFGTAV3RZ
16,Women,,https://www.amazon.com/gp/new-releases/handmade/17714783011/ref=zg_bs_tab_t_bsnr
17,Women,,https://www.amazon.com/gp/new-releases/handmade/17714783011/ref=zg_bs_tab_t_bsnr
18,Women,,https://www.amazon.com/gp/most-wished-for/handmade/17714783011/ref=zg_bs_tab_t_mw
19,Women,,https://www.amazon.com/gp/most-wished-for/handmade/17714783011/ref=zg_bs_tab_t_mw
20,Women,Disney-Family-Matching-Shirts-Kingdom,/Disney-Family-Matching-Shirts-Kingdom/dp/B07WTTG373/ref=zg_bs_17714783011_5?_encoding=UTF8&psc=1&refRID=8CJADBFJCSCQFGTAV3RZ
21,Women,product-reviews,/product-reviews/B07WTTG373/ref=zg_bs_17714783011_cr_5?ie=UTF8&refRID=8CJADBFJCSCQFGTAV3RZ
22,Women,product-reviews,/product-reviews/B07WTTG373/ref=zg_bs_17714783011_cr_5?ie=UTF8&refRID=8CJADBFJCSCQFGTAV3RZ
23,Women,Disney-Family-Matching-Shirts-Kingdom,/Disney-Family-Matching-Shirts-Kingdom/dp/B07WTTG373/ref=zg_bs_17714783011_5?_encoding=UTF8&psc=1&refRID=8CJADBFJCSCQFGTAV3RZ
24,Women,Minnie-T-Shirt-Matching-Disney-Shirts,/Minnie-T-Shirt-Matching-Disney-Shirts/dp/B07Y7PW3G8/ref=zg_bs_17714783011_6?_encoding=UTF8&psc=1&refRID=8CJADBFJCSCQFGTAV3RZ
25,Women,product-reviews,/product-reviews/B07Y7PW3G8/ref=zg_bs_17714783011_cr_6?ie=UTF8&refRID=8CJADBFJCSCQFGTAV3RZ
26,Women,product-reviews,/product-reviews/B07Y7PW3G8/ref=zg_bs_17714783011_cr_6?ie=UTF8&refRID=8CJADBFJCSCQFGTAV3RZ
27,Women,Minnie-T-Shirt-Matching-Disney-Shirts,/Minnie-T-Shirt-Matching-Disney-Shirts/dp/B07Y7PW3G8/ref=zg_bs_17714783011_6?_encoding=UTF8&psc=1&refRID=8CJADBFJCSCQFGTAV3RZ
28,Women,Bachelorette-Bridesmaid-Proposal-Bridesmaids-Graphics,/Bachelorette-Bridesmaid-Proposal-Bridesmaids-Graphics/dp/B07QKYSBHK/ref=zg_bs_17714783011_7?_encoding=UTF8&psc=1&refRID=8CJADBFJCSCQFGTAV3RZ
29,Women,product-reviews,/product-reviews/B07QKYSBHK/ref=zg_bs_17714783011_cr_7?ie=UTF8&refRID=8CJADBFJCSCQFGTAV3RZ
30,Women,product-reviews,/product-reviews/B07QKYSBHK/ref=zg_bs_17714783011_cr_7?ie=UTF8&refRID=8CJADBFJCSCQFGTAV3RZ
31,Women,Bachelorette-Bridesmaid-Proposal-Bridesmaids-Graphics,/Bachelorette-Bridesmaid-Proposal-Bridesmaids-Graphics/dp/B07QKYSBHK/ref=zg_bs_17714783011_7?_encoding=UTF8&psc=1&refRID=8CJADBFJCSCQFGTAV3RZ
32,Women,My-Avaitors-Vacation-Disneyland-Disneyworld,/My-Avaitors-Vacation-Disneyland-Disneyworld/dp/B07L9SZ8FZ/ref=zg_bs_17714783011_8?_encoding=UTF8&psc=1&refRID=8CJADBFJCSCQFGTAV3RZ
33,Women,product-reviews,/product-reviews/B07L9SZ8FZ/ref=zg_bs_17714783011_cr_8?ie=UTF8&refRID=8CJADBFJCSCQFGTAV3RZ
34,Women,product-reviews,/product-reviews/B07L9SZ8FZ/ref=zg_bs_17714783011_cr_8?ie=UTF8&refRID=8CJADBFJCSCQFGTAV3RZ
35,Women,My-Avaitors-Vacation-Disneyland-Disneyworld,/My-Avaitors-Vacation-Disneyland-Disneyworld/dp/B07L9SZ8FZ/ref=zg_bs_17714783011_8?_encoding=UTF8&psc=1&refRID=8CJADBFJCSCQFGTAV3RZ
36,Women,Bridal-Party-Bridesmaid-Robes-Custom,/Bridal-Party-Bridesmaid-Robes-Custom/dp/B0848HKH4K/ref=zg_bs_17714783011_9?_encoding=UTF8&psc=1&refRID=8CJADBFJCSCQFGTAV3RZ
37,Women,product-reviews,/product-reviews/B0848HKH4K/ref=zg_bs_17714783011_cr_9?ie=UTF8&refRID=8CJADBFJCSCQFGTAV3RZ
38,Women,product-reviews,/product-reviews/B0848HKH4K/ref=zg_bs_17714783011_cr_9?ie=UTF8&refRID=8CJADBFJCSCQFGTAV3RZ
39,Women,Bridal-Party-Bridesmaid-Robes-Custom,/Bridal-Party-Bridesmaid-Robes-Custom/dp/B0848HKH4K/ref=zg_bs_17714783011_9?_encoding=UTF8&psc=1&refRID=8CJADBFJCSCQFGTAV3RZ
40,Women,Bridesmaid-Gifts-Wedding-Bridal-Personalized,/Bridesmaid-Gifts-Wedding-Bridal-Personalized/dp/B07R9M1MY9/ref=zg_bs_17714783011_10?_encoding=UTF8&psc=1&refRID=8CJADBFJCSCQFGTAV3RZ
41,Women,product-reviews,/product-reviews/B07R9M1MY9/ref=zg_bs_17714783011_cr_10?ie=UTF8&refRID=8CJADBFJCSCQFGTAV3RZ
42,Women,product-reviews,/product-reviews/B07R9M1MY9/ref=zg_bs_17714783011_cr_10?ie=UTF8&refRID=8CJADBFJCSCQFGTAV3RZ
43,Women,Bridesmaid-Gifts-Wedding-Bridal-Personalized,/Bridesmaid-Gifts-Wedding-Bridal-Personalized/dp/B07R9M1MY9/ref=zg_bs_17714783011_10?_encoding=UTF8&psc=1&refRID=8CJADBFJCSCQFGTAV3RZ
