,sub_cat,item_name,URL
0,World Literature,Kaaterskill-Falls-Novel-Allegra-Goodman-ebook,/Kaaterskill-Falls-Novel-Allegra-Goodman-ebook/dp/B002SXIEOG/ref=zg_bs_10311_1?_encoding=UTF8&psc=1&refRID=X08HB278K4343AZ8AV7Z
1,World Literature,product-reviews,/product-reviews/B002SXIEOG/ref=zg_bs_10311_cr_1?ie=UTF8&refRID=X08HB278K4343AZ8AV7Z
2,World Literature,product-reviews,/product-reviews/B002SXIEOG/ref=zg_bs_10311_cr_1?ie=UTF8&refRID=X08HB278K4343AZ8AV7Z
3,World Literature,Kaaterskill-Falls-Novel-Allegra-Goodman-ebook,/Kaaterskill-Falls-Novel-Allegra-Goodman-ebook/dp/B002SXIEOG/ref=zg_bs_10311_1?_encoding=UTF8&psc=1&refRID=X08HB278K4343AZ8AV7Z
4,World Literature,This-Magnificent-Dappled-Sea-Novel,/This-Magnificent-Dappled-Sea-Novel/dp/B087V8XWZG/ref=zg_bs_10311_2?_encoding=UTF8&psc=1&refRID=X08HB278K4343AZ8AV7Z
5,World Literature,product-reviews,/product-reviews/B087V8XWZG/ref=zg_bs_10311_cr_2?ie=UTF8&refRID=X08HB278K4343AZ8AV7Z
6,World Literature,product-reviews,/product-reviews/B087V8XWZG/ref=zg_bs_10311_cr_2?ie=UTF8&refRID=X08HB278K4343AZ8AV7Z
7,World Literature,This-Magnificent-Dappled-Sea-Novel,/This-Magnificent-Dappled-Sea-Novel/dp/B087V8XWZG/ref=zg_bs_10311_2?_encoding=UTF8&psc=1&refRID=X08HB278K4343AZ8AV7Z
8,World Literature,Postcards-Stranger-Imogen-Clark-ebook,/Postcards-Stranger-Imogen-Clark-ebook/dp/B07B2VX1LR/ref=zg_bs_10311_3?_encoding=UTF8&psc=1&refRID=X08HB278K4343AZ8AV7Z
9,World Literature,product-reviews,/product-reviews/B07B2VX1LR/ref=zg_bs_10311_cr_3?ie=UTF8&refRID=X08HB278K4343AZ8AV7Z
10,World Literature,product-reviews,/product-reviews/B07B2VX1LR/ref=zg_bs_10311_cr_3?ie=UTF8&refRID=X08HB278K4343AZ8AV7Z
11,World Literature,Postcards-Stranger-Imogen-Clark-ebook,/Postcards-Stranger-Imogen-Clark-ebook/dp/B07B2VX1LR/ref=zg_bs_10311_3?_encoding=UTF8&psc=1&refRID=X08HB278K4343AZ8AV7Z
12,World Literature,No-Longer-Human-Osamu-Dazai,/No-Longer-Human-Osamu-Dazai/dp/0811204812/ref=zg_bs_10311_4?_encoding=UTF8&psc=1&refRID=X08HB278K4343AZ8AV7Z
13,World Literature,product-reviews,/product-reviews/0811204812/ref=zg_bs_10311_cr_4?ie=UTF8&refRID=X08HB278K4343AZ8AV7Z
14,World Literature,product-reviews,/product-reviews/0811204812/ref=zg_bs_10311_cr_4?ie=UTF8&refRID=X08HB278K4343AZ8AV7Z
15,World Literature,No-Longer-Human-Osamu-Dazai,/No-Longer-Human-Osamu-Dazai/dp/0811204812/ref=zg_bs_10311_4?_encoding=UTF8&psc=1&refRID=X08HB278K4343AZ8AV7Z
16,World Literature,,https://www.amazon.com/gp/new-releases/books/10311/ref=zg_bs_tab_t_bsnr
17,World Literature,,https://www.amazon.com/gp/new-releases/books/10311/ref=zg_bs_tab_t_bsnr
18,World Literature,,https://www.amazon.com/gp/most-wished-for/books/10311/ref=zg_bs_tab_t_mw
19,World Literature,,https://www.amazon.com/gp/most-wished-for/books/10311/ref=zg_bs_tab_t_mw
20,World Literature,Contract-Book-1-ebook,/Contract-Book-1-ebook/dp/B01D6TA9Y8/ref=zg_bs_10311_5?_encoding=UTF8&psc=1&refRID=X08HB278K4343AZ8AV7Z
21,World Literature,product-reviews,/product-reviews/B01D6TA9Y8/ref=zg_bs_10311_cr_5?ie=UTF8&refRID=X08HB278K4343AZ8AV7Z
